match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,description
13981514,FT,0.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13981514,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,,,,
13981514,,,,,87,,,4,,,substitution,,125050847.0,False,True,regular,,,,,,
13981514,,,,,87,,,4,,,substitution,,125050846.0,False,True,regular,,,,,,
13981514,,,,,82,,,9,,,substitution,,125050765.0,False,False,regular,,,,,,
13981514,,,,,82,,,9,,,substitution,,125050764.0,False,False,regular,,,,,,
13981514,,,,,73,,,18,,,substitution,,125050584.0,False,True,regular,,,,,,
13981514,,,,,72,,,19,,,card,,124274694.0,,True,yellow,Eljif Elmas,Foul,False,838232.0,Eljif Elmas,
13981514,,,,,71,,,20,,,substitution,,125050585.0,False,False,regular,,,,,,
13981514,,,,,71,,,20,,,substitution,,125050539.0,False,False,regular,,,,,,
13981514,,,,,67,,,24,,,card,,124274590.0,,True,yellow,Matteo Politano,Foul,False,235672.0,Matteo Politano,
13981514,,,,,46,,,45,,,substitution,,125050154.0,True,True,injury,,,,,,
13981514,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13981514,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,,
13981514,,,,,39,,,7,,,card,,124274123.0,,False,yellow,Ivan Smolčić,Foul,False,974581.0,Ivan Smolčić,
13981514,,,,,38,,,8,,,substitution,,125049759.0,True,True,injury,,,,,,
13981514,,,,,26,,,20,,,inGamePenalty,,118579316.0,,False,missed,,goalkeeperSave,,125407.0,Álvaro Morata,Goalkeeper save
13981514,,,,,21,,,25,,,card,,124273923.0,,True,yellow,Frank Anguissa,Foul,False,787941.0,Frank Anguissa,
13981514,,,,,16,,,30,,,card,,124273883.0,,False,yellow,Máximo Perrone,Foul,False,1086286.0,Máximo Perrone,
13981514,,,,,8,,,38,,,substitution,,125049399.0,True,False,injury,,,,,,
13981514,,,,,-5,,,6,,,card,,124274481.0,,False,yellow,Cesc Fàbregas,Argument,False,,,
