match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,player_firstName,stat_dispossessed,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,player_lastName,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,player_sofascoreId,stat_bigChanceMissed,stat_punches,stat_outfielderBlock,stat_goalAssist,stat_hitWoodwork,stat_goals
11409101,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,30.0,28.0,10.0,8.0,23.0,23.0,5.0,7.0,12.0,3.0,5.0,1.0,1.0,90.0,44.0,7.7,2.0,0.00124487,0,0.8796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409101,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,60.0,54.0,1.0,1.0,17.0,17.0,41.0,49.0,4.0,,,,,84.0,81.0,7.4,9.0,0.307738,1,,6.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0254,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11409101,home,Sporting Braga,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,66.0,63.0,4.0,3.0,42.0,44.0,21.0,22.0,8.0,,,,,84.0,75.0,7.1,3.0,0.0117345,1,,,,,2.0,5.0,1.0,1.0,1.0,1.0,0.0169,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
11409101,home,Sporting Braga,Serdar Saatçı,serdar-saatci,S. Saatçı,D,15,190,434,M,1084880,EUR,1045180800,D,5,5,False,42.0,40.0,3.0,1.0,27.0,28.0,13.0,14.0,3.0,,,,,55.0,46.0,6.6,2.0,0.0059994,0,,,,,2.0,,,,,1.0,,,,1.0,,3.0,,,,Serdar Saatci,,,,,,,,,,,,,,,,,,
11409101,home,Sporting Braga,Cristián Borja,cristian-borja,C. Borja,D,26,182,1124,M,831038,EUR,729993600,D,26,26,False,70.0,68.0,1.0,1.0,28.0,29.0,42.0,47.0,7.0,,,,,90.0,96.0,7.5,10.0,0.187409,0,,6.0,2.0,1.0,4.0,6.0,4.0,4.0,,,,3.0,,2.0,,2.0,,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,
11409101,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,28,28,False,99.0,92.0,9.0,5.0,36.0,38.0,56.0,64.0,8.0,,,,,90.0,117.0,7.5,12.0,0.0636287,1,,3.0,,1.0,7.0,5.0,,,1.0,3.0,0.0882,2.0,2.0,2.0,,4.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
11409101,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,16,16,False,14.0,12.0,1.0,1.0,4.0,4.0,8.0,12.0,1.0,,,,,33.0,21.0,6.1,7.0,0.0122226,0,,2.0,,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,
11409101,home,Sporting Braga,Álvaro Djaló,alvaro-djalo,Á. Djaló,F,14,176,1150,M,1160960,EUR,934761600,M,14,14,False,30.0,22.0,,,3.0,3.0,20.0,32.0,1.0,,,,,84.0,61.0,7.3,24.0,0.126501,4,,5.0,1.0,1.0,8.0,5.0,5.0,1.0,1.0,,0.1944,2.0,1.0,2.0,,1.0,,1.0,1.0,Álvaro Djaló,1.0,4.0,2.0,,,,1.0,2.0,1.0,0.0814,,,,,,,,
11409101,home,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,45.0,41.0,3.0,2.0,13.0,13.0,30.0,36.0,5.0,,,,,90.0,65.0,7.4,12.0,0.0901021,6,,4.0,2.0,1.0,6.0,4.0,1.0,,4.0,1.0,0.8683,1.0,2.0,,,,,1.0,1.0,,3.0,1.0,1.0,1.0,,,,1.0,1.0,0.0498,True,,,,,,,
11409101,home,Sporting Braga,Bruma,bruma,Bruma,F,7,173,2690,M,97012,EUR,782956800,M,7,7,False,49.0,39.0,1.0,1.0,8.0,8.0,31.0,44.0,3.0,,,,,90.0,76.0,6.8,25.0,0.059944,1,,3.0,,,7.0,6.0,9.0,5.0,,,0.0346,2.0,,1.0,,,,,,,2.0,3.0,1.0,1.0,,,,,1.0,,,,,,,,,
