match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_keyPass,stat_shotOffTarget,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,captain,stat_bigChanceCreated,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_accurateCross,stat_errorLeadToAShot,stat_penaltyConceded,stat_errorLeadToAGoal
13472588,away,Red Bull Bragantino,Bruno Praxedes,bruno-praxedes,B. Praxedes,M,25,186,445,M,,1018093,EUR,1013126400,M,25,25,True,15.0,13.0,2.0,1.0,0.0,7.0,7.0,8.0,,,,,,,31.0,28.0,6.2,7.0,0.0252981,56.592886075369,5.0,-31.185,3.675,1,,,,6.0,2.0,,,8.0,4.0,1.0,1.0,,,,,2.0,4.0,0.0256,,,1.0,,4.0,2.0,1.0,,1.0,,,,,,1.0,,,
13472588,away,Red Bull Bragantino,Matheus Fernandes,matheus-fernandes,M. Fernandes,M,35,183,759,M,,840150,EUR,899164800,M,35,35,True,10.0,9.0,,,0.0,5.0,5.0,5.0,,1.0,,,,,16.0,12.0,6.8,1.0,0.00606854,3.737382105164,1.0,-3.675,-3.675,0,,,,4.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Isidro Pitta,isidro-pitta,I. Pitta,F,9,183,1815,M,,979861,EUR,934588800,F,9,9,True,4.0,4.0,,,0.0,1.0,1.0,3.0,,,,,,,16.0,5.0,6.4,1.0,0.00126877,10.240430757294,2.0,8.61,5.355,0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Ignacio Laquintana,ignacio-laquintana,I. Laquintana,M,19,177,612,M,,948004,EUR,917827200,M,33,33,True,4.0,4.0,,,0.0,1.0,1.0,3.0,,,,,,,10.0,4.0,6.6,,0.00212868,9.8985331546201,2.0,-2.31,-0.42,0,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Fernando,fernando,Fernando,F,11,176,592,M,,911195,EUR,920246400,F,11,11,True,4.0,4.0,,,0.0,1.0,1.0,3.0,,,,,,,10.0,6.0,6.5,2.0,0.00327555,,,,,0,,,,3.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Fabrício,fabricio,Fabrício,G,37,190,53,M,,1047208,EUR,961027200,G,37,37,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Lucão,lucao,Lucão,G,40,190,225,M,,981586,EUR,983145600,G,40,40,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Guilherme Lopes,guilherme-lopes,G. Lopes,D,31,178,87,M,,1097858,EUR,1013644800,D,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Eduardo Santos,eduardo-santos,Eduardo,D,3,196,161,M,,925189,EUR,880675200,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Nathan Mendes,nathan-mendes,N. Mendes,D,45,182,358,M,,1116955,EUR,1029715200,D,45,45,True,,,,,,,,,,,,,,,,,,,,,,,,0,,Nathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472588,away,Red Bull Bragantino,Davi Gomes,davi-gomes,D. Gomes,M,27,177,199,M,,2032806,EUR,1118016000,M,27,27,True,,,,,,,,,,,,,,,,,,,,,,,,0,,Davi Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
