match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_blockedScoringAttempt,stat_goalAssist,stat_shotOffTarget,stat_hitWoodwork,stat_totalOffside
11067471,home,América Mineiro,Mateus Pasinato,,,mateus-pasinato,Mateus Pasinato,G,41,192,80,M,914169,EUR,709689600,G,14,14,False,25.0,16.0,15.0,6.0,12.0,13.0,4.0,12.0,1.0,2.0,1.0,1.0,1.0,10.0,4.0,2.0,4.0,1.0,1.0,1.0,90.0,38.0,7.1,9.0,0.0,0.0,0.00064976,0,0.1714,,,,,,,,,,,,,,,,,,,,,,,
11067471,home,América Mineiro,Marcinho,,,marcinho,Marcinho,D,6,178,148,M,840148,EUR,832204800,D,25,25,False,29.0,20.0,5.0,2.0,10.0,13.0,11.0,17.0,1.0,4.0,1.0,1.0,3.0,3.0,,,,,,,75.0,49.0,6.9,12.0,0.0,0.0,0.0803048,0,,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11067471,home,América Mineiro,Wanderson,,,wanderson,Wanderson,D,,186,41,M,368846,EUR,665884800,D,4,4,False,16.0,11.0,5.0,2.0,8.0,8.0,3.0,8.0,2.0,2.0,,,7.0,1.0,,,,,,,90.0,27.0,6.8,5.0,0.0,0.0,0.00138809,0,,,,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,
11067471,home,América Mineiro,Iago Maidana,,,iago-maidana,I. Maidana,D,36,194,211,M,599686,EUR,823564800,D,3,3,False,18.0,8.0,7.0,2.0,6.0,11.0,2.0,7.0,1.0,2.0,,,8.0,4.0,,,,,,,90.0,30.0,6.4,11.0,0.0,0.0,0.00309743,0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,
11067471,home,América Mineiro,Danilo Avelar,,,danilo-avelar,Danilo Avelar,D,,184,107,M,121221,EUR,613353600,D,22,22,False,11.0,7.0,1.0,,3.0,4.0,4.0,7.0,3.0,4.0,,,1.0,,,,,,,,62.0,22.0,6.5,7.0,0.0,0.0,0.0963802,0,,,,,2.0,,,,2.0,1.0,,1.0,2.0,,True,,,,,,,,,
11067471,home,América Mineiro,Breno Cascardo,Breno Cascardo,,breno-cascardo,Breno Cascardo,M,80,183,161,M,1469514,EUR,1064448000,M,28,28,False,26.0,18.0,3.0,,6.0,9.0,12.0,17.0,,4.0,1.0,1.0,,9.0,,,,,,,75.0,34.0,7.0,9.0,0.1241,0.5879,0.0517536,1,,,,3.0,8.0,4.0,,,,2.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,
11067471,home,América Mineiro,Lucas Kal,,,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,21,21,False,31.0,26.0,3.0,2.0,14.0,16.0,12.0,15.0,,2.0,,,2.0,5.0,,,,,,,90.0,41.0,6.7,6.0,0.0,0.0,0.0210608,0,,,,3.0,7.0,3.0,,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,
11067471,home,América Mineiro,Everaldo,,,everaldo,Everaldo,M,,172,208,M,923951,EUR,770083200,M,37,37,False,22.0,18.0,2.0,1.0,6.0,7.0,12.0,16.0,,6.0,2.0,2.0,,5.0,,,,,,,90.0,36.0,6.9,7.0,0.0245,0.0,0.0676017,1,,1.0,,1.0,3.0,1.0,,,,2.0,1.0,1.0,,2.0,,1.0,,,2.0,1.0,,,,
11067471,home,América Mineiro,Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,6,177,616,M,794312,EUR,770688000,M,5,5,False,41.0,32.0,5.0,2.0,13.0,14.0,19.0,28.0,,6.0,3.0,,1.0,9.0,,,,,,,90.0,60.0,6.7,16.0,0.0,0.0,0.25778,0,,1.0,,,10.0,4.0,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,2.0,,,3.0,,1.0,,,
11067471,home,América Mineiro,Felipe Azevedo,,,felipe-azevedo,Felipe Azevedo,M,11,175,88,M,166471,EUR,537235200,M,11,11,False,11.0,7.0,2.0,,4.0,5.0,3.0,6.0,1.0,4.0,3.0,1.0,1.0,8.0,,,,,,,72.0,30.0,6.5,13.0,0.0885,0.6054,0.00289027,1,,,,3.0,12.0,4.0,,,1.0,2.0,1.0,5.0,2.0,,,1.0,1.0,1.0,,,,,,
