match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_penaltyConceded,stat_wonContest,stat_shotOffTarget,player_sofascoreId,stat_totalOffside,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon
12782888,home,RSC Anderlecht,Colin Coosemans,,,colin-coosemans,C. Coosemans,G,26,185,265,M,122399,EUR,712800000,G,26,26,False,23.0,22.0,2.0,2.0,0.0,20.0,21.0,2.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,7.0,90.0,33.0,8.3,2.0,0.00213719,0,1.0935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12782888,home,RSC Anderlecht,Thomas Foket,,,thomas-foket,T. Foket,D,25,177,266,M,245615,EUR,780451200,D,25,25,False,28.0,22.0,1.0,,0.0,7.0,11.0,18.0,22.0,1.0,4.0,4.0,1.0,,,,,72.0,50.0,7.1,11.0,0.244206,3,,5.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.2395,0.1761,2.0,,,,,,,,,,,,,,,,,
12782888,home,RSC Anderlecht,Leander Dendoncker,,,leander-dendoncker,L. Dendoncker,M,20,188,1662,M,190405,EUR,797904000,D,32,32,False,67.0,62.0,10.0,8.0,0.0,40.0,42.0,22.0,25.0,1.0,2.0,4.0,,,,,,90.0,75.0,6.5,7.0,0.0137037,0,,,,5.0,8.0,,,,2.0,1.0,1.0,,,,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12782888,home,RSC Anderlecht,Zanka,,,zanka,Zanka,D,,189,459,M,26404,EUR,640828800,D,13,13,False,74.0,67.0,8.0,5.0,0.0,43.0,45.0,24.0,29.0,2.0,4.0,4.0,2.0,,,,,90.0,84.0,6.8,7.0,0.0168498,0,,,,2.0,7.0,,,,4.0,1.0,,,,,,,,,1.0,6.0,3.0,1.0,,,,,,,,,
12782888,home,RSC Anderlecht,Ludwig Augustinsson,,,ludwig-augustinsson,L. Augustinsson,D,6,181,394,M,138546,EUR,766886400,D,6,6,False,61.0,52.0,5.0,4.0,0.0,22.0,28.0,30.0,38.0,3.0,7.0,4.0,1.0,,,,,90.0,84.0,7.1,17.0,0.0834785,0,,5.0,,1.0,4.0,1.0,,,3.0,3.0,,,,1.0,,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,,
12782888,home,RSC Anderlecht,Mario Stroeykens,Mathieu,Stroeykens,mario-stroeykens,M. Stroeykens,M,29,177,3682,M,1101702,EUR,1096416000,M,29,29,False,51.0,45.0,4.0,3.0,0.0,13.0,14.0,32.0,38.0,,9.0,7.0,3.0,,,,,87.0,71.0,7.1,12.0,0.22374,3,,1.0,,1.0,6.0,4.0,,2.0,,4.0,1.0,0.2051,,1.0,,1.0,2.0,,3.0,,,,2.0,1.0,,,,,,,
12782888,home,RSC Anderlecht,Mats Rits,,,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,23,23,False,56.0,48.0,8.0,4.0,0.0,31.0,33.0,17.0,23.0,1.0,3.0,5.0,,,,,,90.0,62.0,6.7,8.0,0.0158946,0,,,,,2.0,,,,1.0,2.0,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,
12782888,home,RSC Anderlecht,Theo Leoni,,,theo-leoni,T. Leoni,M,6,174,569,M,867251,EUR,956275200,M,17,17,False,41.0,34.0,2.0,,0.0,15.0,16.0,21.0,28.0,1.0,2.0,,,,,,,69.0,55.0,6.7,13.0,0.284856,0,,3.0,2.0,,1.0,,,,2.0,1.0,5.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
12782888,home,RSC Anderlecht,Francis Amuzu,,,amuzu-francis,F. Amuzu,M,9,170,1932,M,901889,EUR,935366400,F,7,7,False,8.0,7.0,1.0,,0.0,,1.0,7.0,8.0,,2.0,1.0,2.0,,,,,45.0,13.0,6.6,2.0,0.0110295,0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12782888,home,RSC Anderlecht,Kasper Dolberg,,,kasper-dolberg,K. Dolberg,F,9,187,4191,M,795761,EUR,876096000,F,12,12,False,12.0,8.0,,,0.0,,1.0,9.0,12.0,5.0,6.0,2.0,1.0,,,,,90.0,28.0,7.1,9.0,0.0954778,7,,1.0,1.0,1.0,5.0,,3.0,2.0,1.0,,3.0,0.858,0.1114,1.0,,1.0,2.0,,,1.0,,,,2.0,KDolberg,,,,,,
