match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed
10665991,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000.0,G,48,48,False,19.0,12.0,16.0,9.0,7.0,9.0,5.0,10.0,2.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,90.0,30.0,7.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,
10665991,home,Al-Ettifaq,Saeed Almuwallad,,,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800.0,D,2,2,False,37.0,24.0,5.0,1.0,10.0,15.0,16.0,28.0,2.0,5.0,3.0,9.0,1.0,,,,,,90.0,73.0,7.6,23.0,2,1.0,6.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,
10665991,home,Al-Ettifaq,Saad Al-Mousa,Saad Al-Mousa,,saad-al-mousa,S. Al-Mousa,D,6,182.0,373,M,1134250,EUR,1039478400.0,D,5,5,False,32.0,22.0,7.0,1.0,20.0,24.0,2.0,8.0,2.0,5.0,,4.0,2.0,1.0,,,,,90.0,38.0,6.7,10.0,0,,,,1.0,2.0,,,,,,2.0,,,1.0,1.0,,,,,,,,
10665991,home,Al-Ettifaq,Marcel Tisserand,,,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000.0,D,32,32,False,35.0,30.0,7.0,5.0,22.0,25.0,8.0,10.0,,,3.0,7.0,,,,,,,90.0,39.0,6.7,5.0,0,,,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,
10665991,home,Al-Ettifaq,Abdullah Al Khateeb,,,abdullah-al-khateeb,A. A. Khateeb,D,70,173.0,38,M,920498,EUR,794966400.0,D,70,70,False,31.0,27.0,3.0,1.0,17.0,17.0,10.0,14.0,1.0,4.0,,1.0,3.0,,,,,,90.0,40.0,6.6,6.0,1,,,,,4.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,
10665991,home,Al-Ettifaq,Alhwsawi Sanousi Mohammed,Alhwsawi Sanousi Mohammed,,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200.0,D,12,12,False,30.0,22.0,,,6.0,9.0,16.0,22.0,1.0,7.0,1.0,5.0,4.0,1.0,,,,,90.0,54.0,8.0,13.0,2,,1.0,,1.0,2.0,1.0,1.0,,,3.0,2.0,2.0,1.0,,,,2.0,1.0,2.0,,,,
10665991,home,Al-Ettifaq,Mohammed Al-Kuwaykibi,,,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400.0,M,7,7,False,27.0,19.0,2.0,2.0,4.0,6.0,15.0,23.0,,5.0,,5.0,2.0,3.0,,,,,90.0,45.0,6.6,15.0,2,,2.0,,,3.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,2.0,True,1.0,,
10665991,home,Al-Ettifaq,Berat Ayberk Özdemir,,,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187.0,216,M,876857,EUR,895881600.0,M,98,98,False,54.0,41.0,6.0,5.0,18.0,22.0,23.0,32.0,,6.0,,11.0,4.0,2.0,,,,,90.0,66.0,7.3,13.0,0,,,,1.0,4.0,,,,,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,
10665991,home,Al-Ettifaq,Ali Hazazi,,,ali-hazazi,A. Hazazi,M,11,185.0,62,M,818699,EUR,761529600.0,M,11,11,False,49.0,39.0,6.0,4.0,20.0,22.0,19.0,27.0,1.0,6.0,1.0,10.0,3.0,1.0,,,,,90.0,70.0,6.9,15.0,1,,,,,7.0,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,2.0,,4.0,,,,,,,
10665991,home,Al-Ettifaq,Naïm Sliti,Naïm,Sliti,naim-sliti,N. Sliti,M,5,173.0,1348,M,153158,EUR,712195200.0,M,10,10,False,21.0,17.0,1.0,1.0,3.0,4.0,15.0,20.0,,2.0,,5.0,1.0,1.0,,,,,76.0,35.0,6.4,11.0,1,,3.0,1.0,1.0,5.0,3.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,2.0,
