match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_penaltyConceded,stat_dispossessed,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon
11352402,home,Newcastle United,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3081,M,42209,EUR,600825600,G,1,1,False,13.0,8.0,6.0,1.0,8.0,10.0,3.0,14.0,4.0,1.0,4.0,90.0,28.0,6.8,5.0,2.868e-05,0,-0.2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352402,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,69256,EUR,653702400,D,2,2,False,59.0,39.0,7.0,1.0,16.0,23.0,49.0,4.0,,,,90.0,98.0,8.1,35.0,0.0755567,1,,ktrippier2,True,1.0,24.0,13.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,0.3287,0.8042,2.0,,,,,,,,,,,,,,
11352402,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,101882,EUR,693187200,D,5,5,False,48.0,32.0,15.0,8.0,21.0,29.0,20.0,6.0,,,,90.0,68.0,6.6,19.0,0.0343231,3,,,,,11.0,1.0,,1.0,7.0,6.0,1.0,,,,,2.0,3.0,3.0,,2.0,1.0,0.1127,,1.0,5.0,1.0,2.0,1.0,2.0,,,,,,,,,
11352402,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,910046,EUR,947635200,D,4,4,False,37.0,30.0,7.0,3.0,22.0,25.0,12.0,2.0,,,,90.0,45.0,6.1,9.0,0.0114309,0,,,,,8.0,,,1.0,6.0,3.0,1.0,,,,,2.0,2.0,2.0,1.0,,1.0,,,,4.0,,,1.0,,,,,,,,,,
11352402,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,99090,EUR,705369600,D,33,33,False,33.0,18.0,5.0,1.0,14.0,21.0,12.0,5.0,,,,64.0,51.0,5.4,16.0,0.00145502,0,,,,,4.0,,,3.0,8.0,9.0,1.0,1.0,,,,2.0,5.0,1.0,,,2.0,,,,2.0,,,,,4.0,1.0,,,,,,,
11352402,home,Newcastle United,Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1652,M,866191,EUR,878169600,M,36,36,False,31.0,26.0,1.0,1.0,14.0,15.0,18.0,2.0,,,,90.0,48.0,8.1,11.0,0.0744304,4,,,,,12.0,2.0,,1.0,8.0,7.0,,,,2.0,2.0,,4.0,2.0,2.0,2.0,2.0,0.9003,1.5441,,,1.0,1.0,,,4.0,,2.0,,,,,,
11352402,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,866469,EUR,879638400,M,39,39,False,51.0,41.0,6.0,4.0,24.0,26.0,29.0,2.0,,,,90.0,74.0,7.7,17.0,0.432104,1,,BrunoGuimarães,,1.0,20.0,4.0,3.0,,7.0,7.0,4.0,2.0,2.0,,,,1.0,,3.0,4.0,,0.1404,,2.0,2.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,
11352402,home,Newcastle United,Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,67,188,3304,M,1400650,EUR,1146441600,M,67,67,False,37.0,31.0,3.0,2.0,11.0,15.0,22.0,3.0,,,,90.0,53.0,7.0,9.0,0.037411,0,,,,1.0,20.0,,,2.0,8.0,11.0,1.0,,,,,,7.0,4.0,1.0,2.0,1.0,,,2.0,2.0,,,,,3.0,,1.0,,,,,,
11352402,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,372336,EUR,793584000,F,23,23,False,31.0,19.0,2.0,1.0,3.0,4.0,32.0,5.0,,,,90.0,58.0,6.9,20.0,0.203204,5,,,,,16.0,5.0,,,4.0,5.0,3.0,2.0,,,,,1.0,1.0,1.0,2.0,1.0,0.3769,,1.0,,2.0,3.0,,,1.0,,1.0,1.0,,,,,
11352402,home,Newcastle United,Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15696,M,914902,EUR,982972800,F,10,10,False,16.0,9.0,1.0,,2.0,4.0,12.0,2.0,,,,45.0,21.0,6.8,9.0,0.0420651,2,,AGordon,,,7.0,,,,2.0,1.0,1.0,1.0,,1.0,,,,,2.0,,2.0,0.2936,0.0414,,,1.0,,,,,,,,,,,,
