match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_totalCross,player_lastName,stat_challengeLost,player_sofascoreId,stat_penaltyWon,stat_shotOffTarget,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
13472812,home,Grêmio,Enzo,Enzo Henrique,enzo-henrique-dos-santos,Enzo,D,6,183,195,M,1491470,EUR,1026950400,D,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,dos Santos,,,,,,,,,,,
13472812,home,Grêmio,Viery,Viery,viery,Viery,D,44,187,542,M,1907760,EUR,1104537600,D,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,home,Grêmio,Jemerson,,jemerson,Jemerson,D,21,184,1651,M,328519,EUR,714614400,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,home,Grêmio,Alex Santana,,alex-santana,A. Santana,M,80,182,2736,M,358166,EUR,800323200,M,80,80,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,home,Grêmio,Camilo,,camilo,Camilo,M,15,176,596,M,975319,EUR,919728000,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,home,Grêmio,Jardiel,Jardiel,jardiel,Jardiel,F,40,182,435,M,1631875,EUR,1111363200,M,40,40,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,away,São Paulo,Rafael,,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,14.0,14.0,4.0,4.0,0.0,12.0,12.0,2.0,2.0,,,1.0,8.0,4.0,5.0,,,,90.0,26.0,7.8,,0.00024465,0,1.4287,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
13472812,away,São Paulo,Alan Franco,,alan-franco,A. Franco,D,28,183,2959,M,875402,EUR,844992000,D,28,28,False,31.0,29.0,1.0,1.0,0.0,14.0,16.0,15.0,15.0,,2.0,3.0,3.0,,,,,,45.0,37.0,6.8,2.0,0.00431282,0,,,1.0,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
13472812,away,São Paulo,Robert Arboleda,,robert-arboleda,R. Arboleda,D,5,187,3954,M,338937,EUR,688089600,D,5,5,False,54.0,52.0,1.0,1.0,0.0,41.0,42.0,11.0,12.0,,,7.0,3.0,,,,,,90.0,68.0,7.2,2.0,0.00561697,1,,,,1.0,,,,,2.0,,,1.0,0.0582,,,,,3.0,,,,,,,1.0,,,,,,,
13472812,away,São Paulo,Sabino,,sabino,Sabino,D,35,185,1662,M,975118,EUR,846201600,D,35,35,False,81.0,70.0,4.0,1.0,0.0,32.0,38.0,38.0,43.0,4.0,7.0,4.0,6.0,,,,,,90.0,98.0,6.5,14.0,0.0364668,0,,,2.0,7.0,2.0,,,,2.0,2.0,1.0,4.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,
13472812,away,São Paulo,Maílton,,mailton,Maílton,D,22,169,775,M,973857,EUR,896572800,M,22,22,False,44.0,34.0,3.0,,0.0,12.0,17.0,22.0,27.0,1.0,3.0,2.0,5.0,,,,,,90.0,62.0,6.7,15.0,0.189674,0,,,1.0,6.0,2.0,,,,2.0,1.0,1.0,3.0,,2.0,,1.0,,,,6.0,,,,,,,3.0,,,,,
13472812,away,São Paulo,Marcos Antônio,,marcos-antonio,M. Antônio,M,8,166,3050,M,905453,EUR,960854400,M,20,20,False,92.0,85.0,2.0,2.0,0.0,26.0,26.0,59.0,66.0,,2.0,3.0,5.0,,,,,,90.0,109.0,7.2,11.0,0.303608,2,,,1.0,4.0,1.0,,,1.0,1.0,,,1.0,0.0774,1.0,3.0,2.0,,,,,,1.0,,,1.0,,,1.0,,,,
13472812,away,São Paulo,Alisson,,alisson,Alisson,M,25,174,2789,M,291723,EUR,740966400,M,25,25,False,111.0,103.0,5.0,4.0,0.0,35.0,36.0,68.0,75.0,,2.0,2.0,2.0,,,,,,90.0,120.0,7.0,10.0,0.12093,0,,,2.0,6.0,1.0,,,,,1.0,,,,3.0,,1.0,,,,2.0,,3.0,,,,,1.0,,,,,
13472812,away,São Paulo,Wendell,,wendell,Wendell,D,18,176,3255,M,335033,EUR,743126400,M,18,18,False,10.0,10.0,2.0,2.0,0.0,4.0,4.0,6.0,6.0,,2.0,,3.0,,,,,,13.0,12.0,7.0,,0.00996766,0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
13472812,away,São Paulo,Rodriguinho,Rodriguinho,rodriguinho,Rodriguinho,M,15,185,1942,M,1200730,EUR,1079395200,F,15,15,False,44.0,37.0,1.0,,0.0,10.0,11.0,27.0,33.0,2.0,4.0,,1.0,,,,,,66.0,52.0,6.6,11.0,0.0232433,0,,,,3.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
