match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_totalCross,stat_accurateCross,stat_keyPass,stat_dispossessed,captain,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_penaltyWon,stat_blockedScoringAttempt,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_penaltyConceded
11407336,home,Frosinone,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,80,80,False,30.0,21.0,10.0,2.0,20.0,23.0,1.0,7.0,11.0,1.0,4.0,5.0,90.0,47.0,7.0,10.0,0.0,0.0,0.00017632,0,-0.8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Anthony Oyono,anthony-oyono,A. Oyono,D,20,179,394,M,1106257,EUR,987033600,D,22,22,False,34.0,29.0,2.0,,21.0,21.0,8.0,13.0,3.0,,,,90.0,59.0,6.4,10.0,0.0511,0.0,0.00483713,0,,Anthony Oyono,,1.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Ilario Monterisi,ilario-monterisi,I. Monterisi,D,30,190,147,M,1009363,EUR,1008720000,D,30,30,False,94.0,85.0,11.0,6.0,74.0,79.0,11.0,15.0,5.0,,,,90.0,105.0,6.7,10.0,0.0,0.0,0.00524998,0,,,,1.0,2.0,3.0,,,5.0,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193,92,M,111487,EUR,634521600,D,6,6,False,42.0,40.0,1.0,,35.0,36.0,5.0,6.0,2.0,,,,90.0,51.0,6.5,2.0,0.0,0.0,0.00233108,0,,,,,1.0,,,,4.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Riccardo Marchizza,marchizza-riccardo,R. Marchizza,D,5,185,121,M,792311,EUR,890870400,D,3,3,False,21.0,17.0,3.0,1.0,11.0,14.0,7.0,8.0,5.0,,,,90.0,38.0,6.3,6.0,0.0,0.0,0.014713,0,,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Francesco Gelli,francesco-gelli,F. Gelli,M,10,173,62,M,595900,EUR,845337600,M,14,14,False,54.0,49.0,1.0,1.0,36.0,37.0,14.0,21.0,1.0,,,,90.0,64.0,6.5,10.0,0.0,0.0,0.0919678,0,,,,,4.0,2.0,,,,1.0,,,,1.0,2.0,3.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Luca Mazzitelli,luca-mazzitelli,L. Mazzitelli,M,4,180,415,M,369866,EUR,816393600,M,36,36,False,53.0,44.0,7.0,2.0,27.0,31.0,17.0,22.0,2.0,,,,75.0,64.0,6.3,12.0,0.0,0.0,0.00604452,0,,,,,4.0,3.0,1.0,2.0,3.0,,,,,1.0,2.0,2.0,,,,,,True,1.0,,,,,,,,,,,,,,,
11407336,home,Frosinone,Abdou Harroui,abdou-harroui,A. Harroui,M,21,181,1064,M,915812,EUR,884649600,M,21,21,False,38.0,35.0,2.0,1.0,17.0,18.0,18.0,20.0,6.0,,,,86.0,54.0,7.0,8.0,0.7884,0.9835,0.0191254,1,,,,,5.0,4.0,1.0,3.0,,,,3.0,3.0,2.0,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
11407336,home,Frosinone,Jaime Báez,jaime-baez,J. Báez,M,28,178,206,M,796443,EUR,798768000,F,7,7,False,20.0,16.0,2.0,1.0,6.0,8.0,10.0,13.0,6.0,,,,75.0,34.0,7.3,8.0,0.0821,0.0,0.0309563,2,,,,1.0,7.0,4.0,1.0,,,,,,,1.0,3.0,1.0,3.0,1.0,,,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,
11407336,home,Frosinone,Marvin Çuni,marvin-cuni,M. Çuni,F,90,188,299,M,946006,EUR,994723200,F,11,11,False,14.0,14.0,,,9.0,9.0,5.0,5.0,2.0,,,,67.0,23.0,6.4,6.0,0.0,0.0,0.00274403,0,,,,1.0,5.0,3.0,,1.0,,,,,,3.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,
11407336,home,Frosinone,Giuseppe Caso,giuseppe-caso,G. Caso,F,30,173,119,M,946985,EUR,913161600,F,10,10,False,14.0,13.0,1.0,1.0,4.0,4.0,9.0,10.0,1.0,,,,67.0,26.0,6.8,6.0,0.0221,0.0,0.0277104,1,,,,,4.0,6.0,1.0,5.0,,,,1.0,1.0,2.0,2.0,,,,,,1.0,,3.0,,,,,,,1.0,,,,,,,,
11407336,home,Frosinone,Gennaro Borrelli,borrelli-gennaro,G. Borrelli,F,29,194,533,M,979479,EUR,952646400,F,9,9,True,,,,,,,,1.0,,,,,23.0,1.0,6.4,1.0,0.0,0.0,0.0,0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
