match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_onTargetScoringAttempt,captain,stat_accurateCross,stat_challengeLost,player_sofascoreId,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceCreated,stat_expectedGoalsOnTarget,stat_totalOffside,stat_errorLeadToAShot,stat_crossNotClaimed,stat_goodHighClaim,stat_punches,stat_clearanceOffLine,stat_hitWoodwork
14771903,home,Damac FC,Kewin,kewin,Kewin,G,1,187.0,116,M,865371,EUR,790992000,G,1,1,False,18.0,15.0,11.0,8.0,0.0,13.0,13.0,2.0,5.0,3.0,7.0,1.0,1.0,2.0,2.0,90.0,27.0,7.2,3.0,0.00063235,0.013,0,0.2315,0.06,0.0,0.29,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771903,home,Damac FC,Abdul Rahman Al Khaibari,abdul-rahman-al-khaibari,A. R. A. Khaibari,D,22,180.0,16,M,1549073,EUR,953337600,D,22,22,False,20.0,17.0,,,0.0,9.0,10.0,8.0,10.0,,,,,,,45.0,32.0,6.8,9.0,0.00236953,,0,,-0.07,0.07,0.19,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771903,home,Damac FC,Jamal Harkass,jamal-harkass,J. Harkass,D,15,185.0,1144,M,970761,EUR,817171200,D,15,15,False,61.0,58.0,13.0,13.0,0.0,37.0,38.0,21.0,23.0,2.0,3.0,,,,,90.0,72.0,7.2,4.0,0.00703872,,2,,0.22,0.06,0.15,,,4.0,3.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.4249,-0.57,,,,,,,,,,,,,,,,,,
14771903,home,Damac FC,Hassan Rubayyi,hassan-rubayyi,H. Rubayyi,D,5,,2,M,1163711,EUR,1056240000,D,5,5,False,49.0,42.0,8.0,7.0,0.0,29.0,32.0,13.0,17.0,3.0,2.0,,,,,90.0,57.0,7.6,7.0,0.00434789,,1,,0.06,0.04,0.43,,,3.0,6.0,,1.0,,,,,,3.0,6.0,,,,,,0.1036,-0.24,Hassan Rubayyi,,1.0,,,,,,,,,,,,,,,
14771903,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,False,56.0,43.0,7.0,4.0,0.0,16.0,17.0,27.0,39.0,,6.0,,,,,90.0,92.0,7.2,29.0,0.124023,,0,,0.42,0.27,0.15,,4.0,6.0,3.0,2.0,,1.0,1.0,8.0,1.0,1.0,,,3.0,1.0,,,1.0,,,Dhari Al-Enezi,,,True,1.0,1.0,,,,,,,,,,,,
14771903,home,Damac FC,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170.0,6357,M,822492,EUR,901497600,M,2,2,False,48.0,43.0,14.0,13.0,0.0,17.0,17.0,26.0,31.0,3.0,5.0,,,,,90.0,62.0,8.1,9.0,0.0568161,,1,,0.49,0.13,0.32,,,5.0,6.0,1.0,,5.0,3.0,,,2.0,,,3.0,1.0,,,,0.1459,0.0,,,,,,,morlayesylla2,1.0,1.0,,,,,,,,,
14771903,home,Damac FC,Valentín Vada,valentin-vada,V. Vada,M,8,175.0,250,M,580802,EUR,826070400,M,8,8,False,63.0,54.0,7.0,6.0,0.0,21.0,21.0,33.0,42.0,1.0,7.0,,,,,90.0,85.0,7.3,16.0,0.167998,,1,,0.27,0.35,-0.02,,5.0,4.0,4.0,2.0,,1.0,,2.0,3.0,2.0,,,,,,,2.0,0.0868,0.02,,,,,2.0,,,1.0,3.0,,,,,,,,,
14771903,home,Damac FC,Jesús Medina,jesus-medina,J. Medina,M,28,179.0,371,M,589306,EUR,862358400,M,28,28,False,47.0,38.0,5.0,2.0,0.0,18.0,19.0,20.0,28.0,,7.0,,,,,90.0,71.0,6.6,22.0,0.23636,,5,,0.16,0.07,0.15,,10.0,5.0,4.0,,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,0.1395,-0.43,,,1.0,,2.0,,,2.0,1.0,1.0,0.0415,,,,,,,
14771903,home,Damac FC,Abdullah Al-Qahtani,abdullah-al-qahtani,A. Al-Qahtani,M,7,172.0,38,M,974064,EUR,854668800,M,7,7,False,37.0,31.0,4.0,2.0,0.0,9.0,10.0,22.0,27.0,,6.0,,,,,69.0,53.0,6.7,13.0,0.0231749,,2,,0.11,0.09,0.14,,2.0,4.0,3.0,2.0,,2.0,1.0,3.0,,2.0,,1.0,,,,1.0,,0.052,-0.04,,,1.0,,,,,,1.0,,0.1097,,,,,,,
14771903,home,Damac FC,David Kaiki,david-kaiki,D. Kaiki,F,77,176.0,48,,2154548,EUR,1088208000,M,77,77,False,32.0,30.0,,,0.0,11.0,11.0,19.0,21.0,,,,,,,90.0,50.0,7.4,7.0,0.312129,,0,,0.48,0.0,-0.05,,4.0,3.0,5.0,,,1.0,1.0,3.0,1.0,1.0,,,4.0,3.0,,,,,,David Kaiki,,,,3.0,1.0,,,5.0,1.0,,,,,,,,
