match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_jerseyNumber,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_ownGoals,stat_aerialWon,stat_shotOffTarget,captain,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_clearanceOffLine,stat_goodHighClaim,stat_hitWoodwork,player_sofascoreId,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10382293,home,SC Cambuur,Robbin Ruiter,,,robbin-ruiter,R. Ruiter,G,196.0,25,M,40935,EUR,543628800,G,12,12,False,42.0,20.0,31.0,9.0,12.0,14.0,8.0,28.0,1.0,4.0,3.0,6.0,1.0,1.0,90.0,53.0,6.9,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382293,home,SC Cambuur,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,178.0,82,M,795221,EUR,772761600,D,24,24,False,35.0,31.0,5.0,3.0,21.0,23.0,10.0,13.0,1.0,5.0,,,,,76.0,54.0,6.1,11.0,1,1.0,1.0,7.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10382293,home,SC Cambuur,Calvin Mac-Intosh,Calvin,Mac-Intosh,calvin-mac-intosh,C. Mac-Intosh,D,180.0,21,M,73801,EUR,618624000,D,3,3,False,52.0,44.0,10.0,5.0,34.0,37.0,10.0,15.0,6.0,8.0,,,,,90.0,65.0,6.5,8.0,0,,2.0,3.0,4.0,1.0,,,,1.0,,,1.0,,,3,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10382293,home,SC Cambuur,Floris Smand,Floris Smand,,floris-smand,F. Smand,D,185.0,51,M,1394011,EUR,1043020800,D,33,33,False,52.0,49.0,4.0,4.0,38.0,39.0,11.0,13.0,2.0,6.0,,,,,90.0,61.0,6.7,3.0,1,,6.0,6.0,5.0,,,,2.0,2.0,2.0,,,,,3,,,,,3.0,1.0,,,,,,,,,,,,
10382293,home,SC Cambuur,Alex Bangura,,,alex-bangura,A. Bangura,D,183.0,149,M,967178,EUR,931824000,D,16,16,False,19.0,17.0,2.0,2.0,8.0,8.0,9.0,11.0,,3.0,,,,,54.0,27.0,6.4,2.0,0,,2.0,3.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,24,,,1.0,,,,True,,,,,,,,,,,
10382293,home,SC Cambuur,Jamie Jacobs,,,jamie-jacobs,J. Jacobs,M,182.0,92,M,893744,EUR,881107200,M,8,8,False,29.0,20.0,2.0,1.0,10.0,13.0,10.0,16.0,4.0,7.0,,,,,76.0,48.0,6.6,14.0,2,,,2.0,4.0,,1.0,,,1.0,,2.0,,,1.0,23,3.0,2.0,1.0,,1.0,,,2.0,,,,,,,,,,
10382293,home,SC Cambuur,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,181.0,102,M,893748,EUR,887760000,M,6,6,False,37.0,33.0,4.0,4.0,15.0,15.0,18.0,22.0,1.0,5.0,,,,,90.0,53.0,6.8,9.0,2,,,5.0,2.0,1.0,,,3.0,2.0,1.0,2.0,,2.0,2.0,4,2.0,,2.0,,,,,2.0,,,,,,,,,,
10382293,home,SC Cambuur,Daniel van Kaam,,,daniel-van-kaam,D. v. Kaam,M,175.0,86,M,876257,EUR,961718400,M,21,21,False,33.0,28.0,4.0,2.0,14.0,15.0,14.0,19.0,1.0,6.0,,,,,90.0,48.0,6.8,8.0,2,1.0,1.0,3.0,6.0,,1.0,,2.0,1.0,1.0,,,,,8,3.0,2.0,,,3.0,2.0,,,,,,,,,,,,
10382293,home,SC Cambuur,Navarone Foor,,,navarone-foor,N. Foor,M,170.0,71,M,156562,EUR,697161600,F,19,19,False,28.0,20.0,2.0,1.0,9.0,11.0,12.0,20.0,,4.0,,,,,90.0,50.0,7.2,13.0,2,3.0,2.0,4.0,8.0,1.0,,,1.0,2.0,1.0,1.0,3.0,,1.0,25,4.0,3.0,,,,2.0,,,1.0,1.0,,,,,,,,
10382293,home,SC Cambuur,Björn Johnsen,,,bjorn-johnsen,B. Johnsen,F,195.0,238,M,258739,EUR,689385600,F,9,9,False,19.0,8.0,,,3.0,5.0,5.0,14.0,,2.0,,,,,76.0,22.0,6.5,13.0,0,,6.0,6.0,5.0,,,,,,,2.0,,,,28,,,,,5.0,,,,,,,,,,,,,
