match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,stat_totalCross,stat_keyPass,stat_accurateCross,player_lastName,stat_dispossessed,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_punches
12624381,home,Al-Qadsiah,Koen Casteels,koen-casteels,K. Casteels,G,1,197.0,1420,M,70987,EUR,709430400,G,1,1,False,32.0,28.0,10.0,6.0,0.0,26.0,26.0,2.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,42.0,7.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624381,home,Al-Qadsiah,Ibrahim Mahnashi,ibrahim-mahnashi,I. Mahnashi,M,40,,10,M,917267,EUR,942883200,D,40,40,False,32.0,30.0,2.0,2.0,0.0,15.0,16.0,15.0,16.0,,2.0,1.0,1.0,,,,,,45.0,36.0,6.9,3.0,0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12624381,home,Al-Qadsiah,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180.0,14931,M,69404,EUR,632620800,D,6,6,False,48.0,44.0,3.0,2.0,0.0,35.0,37.0,9.0,11.0,,1.0,5.0,,,,,,,90.0,55.0,7.0,4.0,0,,,,,,nachofdez90,True,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12624381,home,Al-Qadsiah,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184.0,492,M,980578,EUR,953856000,D,17,17,False,57.0,56.0,2.0,1.0,0.0,37.0,37.0,19.0,20.0,2.0,4.0,4.0,,,,,,,90.0,68.0,6.8,2.0,0,,2.0,1.0,,,,,6.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12624381,home,Al-Qadsiah,Mohammed Abu Al-Shamat,mohammed-waheeb-abu-al-shamat,M. A. Al-Shamat,M,2,170.0,199,M,1804369,EUR,1029024000,M,2,2,False,51.0,46.0,3.0,2.0,1.0,12.0,12.0,34.0,40.0,1.0,5.0,3.0,2.0,,,,,,89.0,68.0,7.9,8.0,0,1.0,2.0,2.0,2.0,1.0,,,4.0,,2.0,,,1.0,Mohammed Waheeb Abu Al-Shamat,1.0,3.0,,,,,,,,,,,
12624381,home,Al-Qadsiah,Nahitan Nández,nahitan-nandez,N. Nandez,M,8,175.0,1910,M,589620,EUR,820108800,M,8,8,False,69.0,58.0,6.0,2.0,0.0,19.0,21.0,40.0,54.0,,2.0,6.0,1.0,,,,,,90.0,82.0,6.9,17.0,0,,2.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,6.0,,1.0,,,,,,,,,,
12624381,home,Al-Qadsiah,Ezequiel Fernández,ezequiel-fernandez,E. Fernández,M,6,178.0,5873,M,1003012,EUR,1027555200,M,5,5,False,72.0,66.0,4.0,3.0,0.0,33.0,33.0,33.0,39.0,1.0,5.0,7.0,1.0,,,,,,90.0,86.0,7.3,8.0,0,3.0,5.0,,,1.0,equifernandez,,,1.0,2.0,3.0,2.0,1.0,,,,,,1.0,,,,,,,,
12624381,home,Al-Qadsiah,Cameron Puertas,cameron-puertas,C. Puertas,M,18,178.0,1147,M,916176,EUR,903398400,M,88,88,False,50.0,45.0,3.0,3.0,0.0,16.0,18.0,31.0,40.0,,7.0,2.0,4.0,,,,,,90.0,80.0,7.6,17.0,3,1.0,9.0,4.0,3.0,2.0,,,,1.0,1.0,,,2.0,,8.0,2.0,2.0,,3.0,2.0,1.0,2.0,1.0,,,,
12624381,home,Al-Qadsiah,Turki Al-Ammar,turki-al-ammar,T. Al-Ammar,M,7,170.0,151,M,965177,EUR,938044800,M,7,7,False,33.0,31.0,,,0.0,8.0,8.0,23.0,29.0,,4.0,5.0,1.0,,,,,,80.0,49.0,7.6,7.0,1,,1.0,3.0,3.0,,,,,1.0,1.0,,,,,4.0,1.0,,,1.0,,,,1.0,,,,
12624381,home,Al-Qadsiah,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,P. Aubameyang,F,17,187.0,49593,M,51498,EUR,614131200,F,10,10,False,36.0,29.0,2.0,1.0,0.0,7.0,8.0,23.0,32.0,,2.0,1.0,1.0,,,,,,89.0,52.0,9.1,13.0,5,,3.0,2.0,1.0,1.0,Auba,,1.0,,,,,1.0,,4.0,3.0,1.0,,1.0,,,2.0,3.0,2.0,,,
