match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_wasFouled,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_totalCross,stat_accurateCross,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_goalAssist,player_sofascoreId,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_penaltyWon,stat_penaltyMiss,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11369881,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,29.0,18.0,22.0,11.0,12.0,17.0,6.0,12.0,14.0,2.0,6.0,2.0,2.0,6.0,90.0,44.0,9.3,11.0,0.00143182,0,2.0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369881,home,KAA Gent,Ismael Kandouss,,,ismael-kandouss,I. Kandouss,D,27,192,739,M,934196,EUR,879292800,D,5,5,False,46.0,41.0,6.0,4.0,14.0,17.0,27.0,29.0,3.0,,,,,,90.0,51.0,6.1,5.0,0.0144296,1,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.1375,0.2192,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369881,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,37.0,34.0,2.0,1.0,27.0,28.0,7.0,9.0,4.0,,,,,,90.0,42.0,6.4,3.0,0.00382304,0,,2.0,6.0,3.0,,,,,3.0,,,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11369881,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,False,61.0,51.0,13.0,7.0,35.0,36.0,16.0,25.0,4.0,,,,,,90.0,74.0,6.6,10.0,0.0546194,0,,,7.0,3.0,,,,,4.0,2.0,,2.0,,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369881,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,40.0,29.0,8.0,5.0,11.0,15.0,19.0,29.0,8.0,,,,,,86.0,64.0,7.0,19.0,0.0343226,0,,1.0,5.0,8.0,2.0,2.0,,,1.0,,,2.0,,,2.0,1.0,1.0,,4.0,4.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,
11369881,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,65.0,58.0,14.0,11.0,23.0,25.0,37.0,42.0,12.0,,,,,,90.0,78.0,8.1,8.0,0.456109,1,,1.0,8.0,7.0,3.0,3.0,,1.0,1.0,,,1.0,0.0305,0.0305,2.0,1.0,4.0,,2.0,2.0,2.0,1.0,,True,1.0,1.0,4.0,,,,,,,,,,,,,,
11369881,home,KAA Gent,Julien De Sart,,,julien-de-sart,J. De Sart,M,4,187,181,M,149795,EUR,788140800,M,13,13,False,51.0,31.0,6.0,1.0,9.0,15.0,22.0,36.0,10.0,,,,,,90.0,70.0,7.0,24.0,0.0558087,2,,3.0,8.0,13.0,1.0,,,,1.0,,,2.0,0.1738,,3.0,3.0,2.0,,7.0,,,5.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11369881,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3096,M,1009738,EUR,1022544000,M,3,3,False,41.0,25.0,1.0,1.0,13.0,14.0,13.0,32.0,7.0,,,,,,90.0,71.0,7.0,31.0,0.526648,0,,5.0,12.0,10.0,8.0,4.0,,,,1.0,,3.0,,,3.0,1.0,,,,5.0,1.0,,3.0,,3.0,2.0,2.0,,,,,1.0,,,,,,,,,
11369881,home,KAA Gent,Tarik Tissoudali,,,tarik-tissoudali,T. Tissoudali,F,9,182,4096,M,584472,EUR,733708800,F,10,10,False,19.0,15.0,,,4.0,4.0,11.0,15.0,,,,,,,71.0,29.0,7.4,8.0,0.0796036,3,,1.0,6.0,3.0,4.0,2.0,,3.0,,,,1.0,0.3429,0.4015,2.0,,1.0,,,,,,2.0,,,,,,,,,,tissoudali14,1.0,2.0,1.0,,,,,
11369881,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177,1224,M,942937,EUR,929491200,F,7,7,False,40.0,34.0,,,5.0,7.0,31.0,36.0,6.0,,,,,,71.0,54.0,7.3,9.0,0.358531,2,,1.0,2.0,4.0,,,1.0,1.0,,1.0,,1.0,0.2389,0.1353,1.0,2.0,,,1.0,3.0,2.0,1.0,2.0,,,,3.0,1.0,,,,,,,,,,,,,
