match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,confirmed,from
10913505,FT,0.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10913505,,,,,90,2.0,,1,,,card,Khaled Al-Semeiry,Foul,False,120644620.0,True,yellow,857390.0,Khaled Al-Semeiry,,,,
10913505,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,2.0,,,
10913505,,,,,89,,,2,,,substitution,,,,121597200.0,False,regular,,,,False,,
10913505,,,,,89,,,2,,,substitution,,,,121597199.0,False,regular,,,,False,,
10913505,,,,,82,,,9,,,substitution,,,,121597175.0,True,regular,,,,False,,
10913505,,,,,82,,,9,,,substitution,,,,121597174.0,True,regular,,,,False,,
10913505,,,,,81,,,10,,,substitution,,,,121597173.0,True,regular,,,,False,,
10913505,,,,,78,,,13,,,substitution,,,,121597169.0,False,regular,,,,False,,
10913505,,0.0,3.0,,73,,,18,,,goal,,,,168216722.0,False,regular,794331.0,Ahmed Sharahili,,,,
10913505,,0.0,2.0,,69,,,22,,,goal,,,,168216714.0,False,regular,797619.0,Romarinho,,,,
10913505,,,,,65,,,26,,,substitution,,,,121597162.0,False,regular,,,,False,,
10913505,,,,,64,,,27,,,substitution,,,,121597161.0,True,regular,,,,False,,
10913505,,,,,63,,,28,,,varDecision,,,,15704.0,False,goalAwarded,926730.0,Haroune Camara,,,False,
10913505,,0.0,1.0,,54,,,37,,,goal,,,,168216686.0,False,penalty,826961.0,Abderrazak Hamdallah,,,,penalty
10913505,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10913505,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,4.0,,,
10913505,,,,,12,,,34,,,substitution,,,,121597082.0,True,injury,,,,True,,
