match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_aerialWon,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_wasFouled,player_firstName,player_lastName,stat_ownGoals,stat_punches,stat_clearanceOffLine,stat_totalOffside,stat_errorLeadToAShot
12504433,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,21.0,15.0,10.0,4.0,0.0,14.0,14.0,1.0,7.0,1.0,9.0,1.0,1.0,2.0,3.0,2.0,90.0,31.0,7.3,6.0,0.00048092,0,0.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504433,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,101.0,92.0,3.0,2.0,0.0,31.0,32.0,61.0,70.0,,7.0,,,,,,90.0,117.0,7.9,11.0,0.165611,1,,dilorenzo22,True,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0637,,,,,,,,,,,,,,,,,,,,,,
12504433,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,113.0,110.0,9.0,9.0,0.0,40.0,42.0,70.0,71.0,3.0,6.0,,,,,,90.0,124.0,7.8,6.0,0.0418244,2,,,,,1.0,4.0,4.0,,,1.0,,,2.0,2.0,0.3113,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12504433,home,Napoli,Juan Jesus,juan-jesus,Juan Jesus,D,5,185,2485,M,108484,EUR,676512000,D,5,5,False,116.0,112.0,8.0,7.0,0.0,46.0,46.0,66.0,70.0,,5.0,,,,,,90.0,120.0,7.2,4.0,0.0197875,0,,,,,2.0,4.0,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12504433,home,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,D,37,37,False,91.0,87.0,3.0,3.0,0.0,36.0,38.0,54.0,61.0,,5.0,,,,,,83.0,116.0,7.2,17.0,0.451478,0,,,,8.0,,6.0,,1.0,4.0,,,2.0,,,,,1.0,,,,3.0,,3.0,1.0,2.0,,,,,,,,,,,,
12504433,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,61.0,55.0,1.0,1.0,0.0,18.0,18.0,37.0,44.0,1.0,3.0,,,,,,90.0,80.0,8.0,10.0,0.0422896,3,,anguiss_29,,1.0,5.0,9.0,6.0,2.0,2.0,2.0,,2.0,2.0,1.0,0.1863,2.0,1.0,,1.0,,2.0,1.0,,,1.0,2.0,1.0,0.0576,,,,,,,,,
12504433,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,67.0,61.0,4.0,3.0,0.0,22.0,25.0,39.0,42.0,1.0,6.0,,,,,,90.0,73.0,7.2,6.0,0.0566699,0,,StanLobotka,,,,2.0,2.0,1.0,,,,1.0,,,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,
12504433,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,25.0,20.0,,,0.0,5.0,6.0,15.0,19.0,,3.0,,,,,,77.0,43.0,7.0,11.0,0.118261,4,,ScottMcTominay,,,1.0,4.0,5.0,1.0,1.0,1.0,,,1.0,1.0,0.5157,2.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,1.0,,0.1943,2.0,1.0,,,,,,,
12504433,home,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,F,21,21,False,46.0,42.0,2.0,2.0,0.0,14.0,14.0,28.0,38.0,1.0,4.0,,,,,,77.0,65.0,6.9,15.0,0.0574389,1,,,,6.0,1.0,7.0,2.0,2.0,2.0,1.0,,2.0,1.0,,0.0037,,2.0,,,,,,,,,,,,,1.0,,,,,,,
12504433,home,Napoli,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,11,11,False,18.0,12.0,,,1.0,1.0,1.0,11.0,17.0,,,,,,,,77.0,21.0,7.1,7.0,0.086759,1,,RLukaku,,,4.0,4.0,1.0,,,1.0,,,,,0.0673,1.0,,,,,1.0,,,,3.0,,,,,,,,,,,,
