match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_interceptionWon,stat_totalContest,stat_shotOffTarget,stat_expectedGoals,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,player_sofascoreId,captain,player_firstName,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock
11369413,home,Celta Vigo,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,25,25,False,15.0,13.0,5.0,3.0,12.0,13.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,90.0,20.0,6.5,2.0,0.00016482,0,-0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369413,home,Celta Vigo,Kevin Vázquez,kevin-vazquez,K. Vázquez,D,20,173,142,M,795257,EUR,732844800,D,20,20,False,27.0,19.0,,,7.0,7.0,13.0,22.0,5.0,2.0,2.0,,,54.0,38.0,7.0,9.0,0.197402,0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11369413,home,Celta Vigo,Carl Starfelt,carl-starfelt,C. Starfelt,D,2,185,781,M,360718,EUR,801964800,D,2,2,False,42.0,39.0,5.0,3.0,23.0,24.0,16.0,19.0,3.0,9.0,,,,54.0,47.0,6.8,4.0,0.00754999,0,,1.0,,1.0,3.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11369413,home,Celta Vigo,Unai Núñez,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,4,4,False,73.0,64.0,8.0,4.0,30.0,32.0,34.0,41.0,5.0,11.0,1.0,,,90.0,87.0,7.4,10.0,0.241754,2,,,,5.0,2.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,0.062,,,,,,,,,,,,,,,,,,,,,
11369413,home,Celta Vigo,Manuel Sánchez,manuel-sanchez,M. Sánchez,D,23,179,623,M,984789,EUR,966988800,D,23,23,False,37.0,34.0,1.0,,10.0,11.0,26.0,34.0,1.0,2.0,,,,81.0,63.0,7.4,13.0,0.933323,1,,8.0,2.0,1.0,,4.0,2.0,1.0,,2.0,,,,0.1268,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
11369413,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,M,3,3,False,58.0,48.0,1.0,1.0,4.0,6.0,44.0,55.0,7.0,1.0,3.0,,,90.0,82.0,7.9,13.0,0.756951,2,,3.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,1.0,0.0937,,,,,,3.0,1.0,2.0,1.0,0.2782,,,,,,,,,,,
11369413,home,Celta Vigo,Renato Tapia,renato-tapia,R. Tapia,M,13,185,3151,M,352376,EUR,806889600,M,5,5,False,88.0,78.0,8.0,7.0,27.0,31.0,51.0,60.0,6.0,11.0,2.0,,,90.0,105.0,7.4,14.0,0.0617757,1,,3.0,,4.0,3.0,6.0,1.0,,,1.0,1.0,2.0,1.0,0.0223,,,,,,1.0,,1.0,,,,,,,,,,,,,
11369413,home,Celta Vigo,Luca De La Torre,luca-de-la-torre,L. D. L. Torre,M,14,178,551,M,846492,EUR,895881600,M,14,14,False,51.0,47.0,,,9.0,9.0,38.0,42.0,,3.0,,,,89.0,63.0,6.4,12.0,0.266841,1,,,,2.0,,10.0,,,,1.0,,3.0,,0.1706,,1.0,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,
11369413,home,Celta Vigo,Jonathan Bamba,jonathan-bamba,J. Bamba,F,19,175,1936,M,595576,EUR,827798400,M,17,17,False,42.0,37.0,,,4.0,4.0,36.0,48.0,9.0,7.0,4.0,,,90.0,75.0,7.9,17.0,0.220748,4,,10.0,3.0,2.0,1.0,7.0,,,,5.0,,6.0,1.0,0.1285,,2.0,,1.0,,1.0,,4.0,2.0,0.0901,1.0,,,,,,,,,,
11369413,home,Celta Vigo,Jørgen Strand Larsen,jorgen-strand-larsen,J. S. Larsen,F,22,193,4810,M,876599,EUR,949795200,F,18,18,False,11.0,7.0,,,3.0,3.0,4.0,9.0,5.0,,3.0,,,89.0,28.0,7.8,8.0,0.0105635,7,,1.0,,1.0,1.0,4.0,1.0,,,,,1.0,4.0,1.3792,,2.0,,1.0,1.0,1.0,,1.0,2.0,0.8575,1.0,1.0,1.0,,,,,,,,
