match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_blockedScoringAttempt,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_errorLeadToAShot,stat_lastManTackle,stat_totalOffside
12501503,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,True,19.0,16.0,8.0,5.0,0.0,15.0,16.0,1.0,3.0,1.0,6.0,2.0,2.0,1.0,90.0,26.0,7.3,3.0,0.00011992,0,0.3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501503,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,,64.0,61.0,2.0,2.0,0.0,30.0,31.0,32.0,35.0,3.0,1.0,,,,90.0,77.0,7.7,4.0,0.296983,0,,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12501503,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3401,M,,826195,EUR,940464000,D,46,46,False,,70.0,66.0,3.0,3.0,0.0,45.0,46.0,21.0,24.0,2.0,7.0,,,,90.0,76.0,7.9,4.0,0.0287427,1,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,0.2071,0.7942,,,,,,,,,,,,,,,,,
12501503,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194,8727,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,,73.0,69.0,2.0,1.0,0.0,35.0,35.0,34.0,39.0,5.0,2.0,,,,90.0,86.0,7.4,5.0,0.0179364,2,,1.0,,,,2.0,,1.0,,,,1.0,,,0.1077,0.0843,1.0,1.0,,,,,,,,,,,,,,,
12501503,home,Milan,Davide Bartesaghi,davide-bartesaghi,D. Bartesaghi,D,33,193,5573,M,,1390489,EUR,1135814400,D,33,33,False,,41.0,41.0,,,0.0,14.0,14.0,29.0,31.0,,1.0,,,,61.0,51.0,7.0,3.0,0.0915606,0,,4.0,2.0,,1.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
12501503,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,,66.0,64.0,2.0,1.0,0.0,19.0,19.0,45.0,47.0,2.0,4.0,,,,90.0,77.0,7.3,5.0,0.0628895,1,,,,1.0,4.0,6.0,,3.0,1.0,,1.0,,,3.0,0.0201,,2.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,
12501503,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,,71.0,69.0,1.0,1.0,0.0,21.0,21.0,48.0,51.0,1.0,10.0,,,,90.0,86.0,7.9,5.0,0.162861,3,,1.0,,,2.0,1.0,3.0,1.0,,,3.0,1.0,,1.0,0.1371,0.0369,,,,1.0,,2.0,1.0,1.0,,,,,,,,,
12501503,home,Milan,Yunus Musah,yunus-musah,Y. Musah,M,6,178,4211,M,yunusmusah8,983815,EUR,1038528000,M,80,80,False,,20.0,19.0,,,0.0,7.0,7.0,12.0,13.0,,,,,,45.0,25.0,6.7,4.0,0.0048491,1,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,0.0148,,,,,,,1.0,3.0,,,,,,,,,,
12501503,home,Milan,João Félix,joao-felix,J. Félix,F,79,181,127180,M,JFélix,851671,EUR,942192000,M,79,79,False,,30.0,28.0,1.0,,0.0,5.0,5.0,23.0,25.0,,2.0,,,,80.0,47.0,8.4,5.0,0.298035,5,,,,,,7.0,,,,5.0,1.0,3.0,1.0,,0.3754,0.2978,2.0,,,,,2.0,3.0,1.0,1.0,1.0,,,,,,,
12501503,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,M,11,11,False,,60.0,53.0,3.0,3.0,0.0,17.0,18.0,37.0,44.0,,3.0,,,,86.0,76.0,8.0,12.0,0.133827,3,,2.0,1.0,1.0,4.0,7.0,,1.0,1.0,2.0,3.0,,,,0.2072,,1.0,,2.0,4.0,3.0,3.0,1.0,,,,,,,,,,
12501503,home,Milan,Luka Jović,luka-jovic,L. Jović,F,9,181,15141,M,lukajovic,319129,EUR,882835200,F,9,9,False,,6.0,4.0,1.0,,0.0,1.0,1.0,3.0,5.0,,,,,,45.0,11.0,6.3,5.0,0.00258135,0,,,,1.0,3.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
12501503,home,Milan,Francesco Camarda,camarda-francesco,F. Camarda,F,22,189,9850,M,camardafrancesco9,1520771,EUR,1205107200,F,73,73,True,,13.0,11.0,,,0.0,2.0,2.0,9.0,11.0,,2.0,,,,45.0,19.0,7.1,4.0,0.0269394,3,,,,,1.0,1.0,,,,,3.0,,,2.0,0.1508,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,
