match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,stat_wasFouled,stat_totalOffside,player_firstName,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_goals,stat_goalAssist,player_lastName,stat_errorLeadToAShot
11369445,home,Barcelona,Iñaki Peña,inaki-pena,I. Peña,G,13,185,45964,M,inakipenya,794949,EUR,920332800,G,13,13,False,24.0,20.0,7.0,3.0,19.0,20.0,1.0,4.0,8.0,1.0,3.0,3.0,90.0,34.0,6.2,4.0,0.00018068,0,-0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369445,home,Barcelona,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90478,M,JCancelo,138892,EUR,769996800,D,2,2,False,72.0,61.0,5.0,1.0,21.0,22.0,40.0,50.0,6.0,,,,90.0,98.0,7.8,16.0,0.224687,1,,1.0,2.0,8.0,1.0,6.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0505,0.047,1.0,,,,,,,,,,,,,,,,,
11369445,home,Barcelona,Ronald Araújo,ronald-araujo,R. Araújo,D,4,191,137257,M,RAraújo,925097,EUR,920764800,D,4,4,False,98.0,91.0,8.0,4.0,50.0,52.0,41.0,46.0,7.0,1.0,,,90.0,109.0,6.6,9.0,0.0355959,4,,5.0,2.0,5.0,,,,,1.0,2.0,,1.0,,,2.0,0.2361,0.2404,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
11369445,home,Barcelona,Andreas Christensen,andreas-christensen,A. Christensen,D,15,188,56340,M,andreaschristensen3,186795,EUR,829094400,D,15,15,False,33.0,31.0,2.0,1.0,16.0,16.0,15.0,17.0,2.0,,,,45.0,43.0,6.6,3.0,0.0150461,0,,1.0,3.0,4.0,,2.0,1.0,,,2.0,,1.0,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,
11369445,home,Barcelona,Alejandro Balde,alejandro-balde,A. Balde,D,3,175,128076,M,AlejandroBalde,997035,EUR,1066435200,D,3,3,False,30.0,29.0,,,6.0,7.0,23.0,23.0,6.0,,,,90.0,52.0,6.7,8.0,0.0440747,1,,,8.0,6.0,3.0,5.0,2.0,,,,,,,,1.0,0.0186,,3.0,1.0,1.0,,1.0,4.0,1.0,,,,,,,,,,,
11369445,home,Barcelona,Fermín López,fermin-lopez,F. López,M,16,176,179218,M,FermínLópez,1153270,EUR,1052611200,M,32,32,False,30.0,26.0,,,9.0,10.0,17.0,20.0,1.0,,,,67.0,35.0,6.3,6.0,0.0250446,1,,1.0,8.0,2.0,,1.0,,,,,,,,,1.0,0.0584,,,,1.0,,4.0,1.0,,Fermín López,3.0,,,,,,,,,
11369445,home,Barcelona,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,22,22,False,82.0,74.0,1.0,,27.0,28.0,48.0,56.0,3.0,,,,90.0,97.0,7.3,14.0,0.723247,1,,,5.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,0.6229,,7.0,1.0,1.0,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,
11369445,home,Barcelona,Sergi Roberto,sergi-roberto,S. Roberto,M,8,178,10482,M,sergiroberto,123976,EUR,697420800,M,20,20,False,69.0,64.0,1.0,1.0,23.0,25.0,42.0,45.0,8.0,,,,90.0,83.0,9.0,6.0,0.126934,5,,2.0,4.0,4.0,1.0,,,,3.0,,,,2.0,1.0,,0.895,1.459,3.0,1.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,True,1.0,2.0,,,
11369445,home,Barcelona,Raphinha,raphinha,Raphinha,M,11,176,878494,M,Raphinha,831005,EUR,850521600,F,11,11,False,28.0,22.0,2.0,1.0,2.0,3.0,28.0,38.0,3.0,,,,76.0,54.0,9.2,13.0,0.655106,2,,,3.0,,,,,1.0,1.0,,,2.0,,,2.0,0.524,0.9497,7.0,,1.0,,3.0,,,,,13.0,8.0,,,,1.0,1.0,,
11369445,home,Barcelona,Robert Lewandowski,robert-lewandowski,R. Lewandowski,F,9,186,575097,M,Lewa,41789,EUR,588124800,F,9,9,False,20.0,15.0,,,3.0,3.0,12.0,17.0,2.0,,,,90.0,32.0,8.3,7.0,0.317152,8,,5.0,6.0,5.0,1.0,1.0,,2.0,3.0,1.0,,,,,,0.7565,0.6557,4.0,4.0,3.0,2.0,1.0,,1.0,,,,,2.0,,,,1.0,,
