match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,stat_unsuccessfulTouch,stat_dispossessed,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goals,stat_errorLeadToAShot,stat_hitWoodwork
12528196,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185.0,235,M,825850,EUR,923529600,G,25,25,False,19.0,16.0,7.0,4.0,0.0,14.0,14.0,2.0,5.0,12.0,1.0,1.0,1.0,2.0,90.0,32.0,6.2,3.0,0.00025499,0,0.1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528196,home,Kayserispor,Gökhan Sazdağı,gokhan-sazdagi,G. Sazdağı,D,25,179.0,948,M,595396,EUR,780019200,D,11,11,False,52.0,39.0,7.0,2.0,0.0,19.0,23.0,20.0,32.0,7.0,,,,,90.0,77.0,7.3,17.0,0.0876274,2,,True,3.0,2.0,3.0,4.0,12.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,0.5169,2.0,,,,,,,,,,,,,
12528196,home,Kayserispor,Joseph Attamah,joseph-attamah,J. Attamah,D,3,180.0,183,M,332963,EUR,769564800,D,3,3,False,64.0,62.0,5.0,3.0,0.0,46.0,46.0,16.0,18.0,1.0,,,,,90.0,68.0,6.5,3.0,0.00651798,0,,,,3.0,2.0,3.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
12528196,home,Kayserispor,Arif Kocaman,kocaman-arif,A. Kocaman,D,43,184.0,69,M,1173638,EUR,1063497600,D,54,54,False,72.0,63.0,6.0,1.0,0.0,48.0,52.0,15.0,20.0,6.0,,,,,90.0,82.0,6.6,9.0,0.00564854,0,,,,3.0,8.0,4.0,8.0,,,,,,,4.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,
12528196,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180.0,84,M,122922,EUR,671414400,D,23,23,False,59.0,52.0,8.0,3.0,0.0,31.0,33.0,21.0,26.0,4.0,,,,,90.0,79.0,6.6,8.0,0.0483248,0,,,,3.0,1.0,4.0,4.0,,,,,,,3.0,2.0,,3.0,1.0,,,,1.0,,,,,1.0,,,,,,,,
12528196,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183.0,403,M,98003,EUR,681523200,M,10,10,False,41.0,38.0,3.0,2.0,1.0,25.0,25.0,14.0,20.0,3.0,,,,,84.0,57.0,7.6,12.0,0.795455,2,,,4.0,1.0,,5.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,2.0,0.0776,3.0,,,,2.0,2.0,1.0,2.0,1.0,0.4663,,,,
12528196,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177.0,1057,M,966811,EUR,973296000,M,8,8,False,94.0,83.0,6.0,4.0,0.0,41.0,47.0,43.0,53.0,5.0,,,,,90.0,105.0,7.2,16.0,0.168452,0,,,6.0,,,3.0,5.0,,,,,,,,,,3.0,3.0,2.0,3.0,,1.0,,,,,,1.0,,,,,,,
12528196,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172.0,61,M,781408,EUR,822268800,M,28,28,False,24.0,19.0,2.0,2.0,0.0,8.0,9.0,11.0,19.0,2.0,,,,,62.0,37.0,6.8,12.0,0.0905226,1,,,4.0,,1.0,3.0,3.0,1.0,,,1.0,1.0,,,,,,,2.0,,0.1416,3.0,,,,1.0,2.0,,,,,,,,
12528196,home,Kayserispor,Mehmet Eray Özbek,mehmet-eray-ozbek,M. E. Özbek,M,16,178.0,34,M,1011955,EUR,1042070400,M,16,16,False,25.0,20.0,1.0,,0.0,7.0,8.0,14.0,19.0,3.0,,,,,78.0,39.0,7.1,8.0,0.0655195,4,,,2.0,,,6.0,5.0,4.0,1.0,,,1.0,1.0,,1.0,,2.0,1.0,3.0,1.0,0.2452,,,,,1.0,,1.0,,2.0,0.2529,,,,
12528196,home,Kayserispor,Carlos Mané,carlos-mane,C. Mané,M,20,172.0,381,M,859748,EUR,763344000,M,20,20,False,24.0,21.0,,,0.0,8.0,8.0,13.0,16.0,2.0,,,,,62.0,34.0,7.0,4.0,0.0584507,2,,,,,,1.0,1.0,,,,,,1.0,2.0,2.0,,1.0,,,,0.0328,2.0,,,,,1.0,,,1.0,0.0182,1.0,,,
