match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,captain,stat_onTargetScoringAttempt,stat_totalContest,stat_totalOffside,stat_wonContest,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,player_sofascoreId,stat_hitWoodwork
11360021,home,SV Wehen Wiesbaden,Florian Stritzel,Florian,Stritzel,florian-stritzel,F. Stritzel,G,16,196,35,M,147436,EUR,759974400,G,16,16,False,11.0,10.0,8.0,7.0,6.0,6.0,4.0,5.0,2.0,4.0,4.0,5.0,1.0,90.0,20.0,7.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Martin Angha,,,martin-angha,M. Angha,D,2,188,38,M,134246,EUR,759196800,D,2,2,False,31.0,22.0,3.0,2.0,18.0,21.0,5.0,11.0,2.0,,,,,90.0,46.0,7.2,9.0,1,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Marcus Mathisen,,,marcus-mathisen,M. Mathisen,D,16,185,141,M,352986,EUR,825379200,D,24,24,False,42.0,38.0,8.0,5.0,29.0,30.0,9.0,12.0,4.0,9.0,,,,90.0,57.0,6.1,7.0,2,,,,,3.0,2.0,1.0,,,1.0,2.0,2.0,2.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Aleksandar Vukotić,,,aleksandar-vukotic,A. Vukotić,D,20,201,113,M,858360,EUR,806371200,D,26,26,False,58.0,46.0,11.0,7.0,28.0,30.0,18.0,28.0,4.0,7.0,,,,90.0,69.0,6.9,12.0,0,,,,3.0,3.0,8.0,1.0,,,,1.0,3.0,3.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Sascha Mockenhaupt,Sascha,Mockenhaupt,sascha-mockenhaupt,S. Mockenhaupt,D,4,187,24,M,250425,EUR,684460800,M,4,4,False,28.0,16.0,1.0,1.0,13.0,19.0,3.0,11.0,1.0,6.0,,,,87.0,52.0,6.6,17.0,2,,2.0,,,6.0,3.0,,,1.0,1.0,1.0,3.0,2.0,,,3.0,,,,3.0,,True,1.0,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Bjarke Jacobsen,,,bjarke-jacobsen,B. Jacobsen,M,15,190,21,M,577008,EUR,745891200,M,19,19,False,17.0,11.0,2.0,,8.0,11.0,3.0,6.0,,4.0,,,,74.0,28.0,6.6,6.0,0,,,,,4.0,7.0,3.0,,,,1.0,5.0,4.0,2.0,,,,,,,1.0,,,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Gino Fechner,,,gino-fechner,G. Fechner,M,6,186,10,M,797869,EUR,873417600,M,6,6,False,14.0,11.0,3.0,2.0,7.0,8.0,4.0,6.0,,3.0,,,,66.0,20.0,6.5,5.0,0,,,,,4.0,2.0,,,,,1.0,2.0,2.0,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,
11360021,home,SV Wehen Wiesbaden,Thijmen Goppel,,,thijmen-goppel,T. Goppel,M,7,178,98,M,908847,EUR,856051200,M,9,9,False,21.0,15.0,2.0,1.0,14.0,17.0,1.0,10.0,,4.0,,,,66.0,38.0,6.1,17.0,0,,6.0,,,5.0,1.0,1.0,,,,1.0,,,,,2.0,,,2.0,2.0,,,,1.0,,1.0,,,,,
11360021,home,SV Wehen Wiesbaden,Kianz Froese,,,kianz-froese,K. Froese,M,10,172,33,M,358898,EUR,829612800,F,30,30,False,15.0,6.0,4.0,2.0,3.0,5.0,4.0,12.0,,3.0,,,,45.0,23.0,6.8,11.0,0,,2.0,1.0,1.0,,4.0,,,,,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
11360021,home,SV Wehen Wiesbaden,Ivan Prtajin,,,prtajin-ivan,I. Prtajin,F,9,189,855,M,796672,EUR,832032000,F,18,18,False,25.0,18.0,1.0,1.0,12.0,15.0,6.0,10.0,3.0,2.0,,,,90.0,40.0,8.2,13.0,5,,,,,6.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,2.0,1.0,1.0,,4.0,2.0,1.0,,1.0,2.0,,,
