match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,captain,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,stat_ownGoals,stat_goals,stat_bigChanceCreated
12437716,home,Mallorca,Dominik Greif,dominik-greif,D. Greif,G,1,197,925,M,791046,EUR,860284800,G,1,1,False,37.0,26.0,19.0,8.0,0.0,21.0,23.0,5.0,14.0,14.0,1.0,2.0,2.0,90.0,47.0,6.7,11.0,0.00193923,0,0.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437716,home,Mallorca,Antonio Sánchez,antonio-sanchez,A. Sánchez,M,6,179,256,M,949722,EUR,861667200,D,18,18,False,37.0,23.0,7.0,2.0,0.0,10.0,17.0,14.0,25.0,4.0,,,,81.0,60.0,6.9,19.0,0.154988,0,,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12437716,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,40.0,36.0,3.0,2.0,0.0,26.0,28.0,10.0,13.0,2.0,,,,90.0,51.0,6.8,6.0,0.00276333,1,,1.0,,1.0,1.0,2.0,4.0,,,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,0.07,,,,,,,,,,,,,,
12437716,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,58.0,49.0,3.0,3.0,0.0,35.0,40.0,14.0,18.0,4.0,,,,90.0,70.0,7.2,10.0,0.00706597,1,,,,1.0,4.0,6.0,6.0,,,1.0,1.0,2.0,2.0,,,4.0,,3.0,0.0122,True,1.0,1.0,1.0,,,,,,,,,,
12437716,home,Mallorca,Toni Lato,toni-lato,T. Lato,D,3,173,265,M,828239,EUR,880070400,D,3,3,False,33.0,24.0,6.0,2.0,0.0,13.0,15.0,13.0,21.0,4.0,,,,69.0,48.0,6.2,12.0,0.038886,0,,3.0,2.0,,1.0,4.0,3.0,1.0,,4.0,1.0,2.0,2.0,,,,,2.0,,,1.0,,,1.0,,,,,,,,,
12437716,home,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,35.0,30.0,2.0,,0.0,17.0,17.0,13.0,18.0,9.0,,,,72.0,44.0,6.7,5.0,0.02434,0,,,,3.0,1.0,4.0,4.0,,,,,,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,
12437716,home,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,63.0,56.0,3.0,3.0,0.0,22.0,27.0,34.0,36.0,5.0,,,,90.0,82.0,7.5,11.0,0.0383788,3,,,,3.0,2.0,6.0,7.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,,2.0,2.0,0.1124,,,1.0,,,,,2.0,0.317,,,,,
12437716,home,Mallorca,Takuma Asano,takuma-asano,T. Asano,M,11,173,2033,M,309546,EUR,784425600,M,11,11,False,16.0,10.0,1.0,,0.0,4.0,5.0,6.0,16.0,4.0,,,,63.0,31.0,7.0,14.0,0.00428788,1,,5.0,,1.0,,3.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,0.022,,,1.0,,,,,1.0,0.0111,,,,,
12437716,home,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177,524,M,349526,EUR,581558400,M,14,14,False,26.0,22.0,2.0,1.0,0.0,4.0,5.0,21.0,31.0,,,,,62.0,42.0,6.9,15.0,0.091397,0,,10.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,3.0,,,,,1.0,,2.0,,,,,,,,,
12437716,home,Mallorca,Marc Domenech,marc-domenech,M. Domenech,M,30,182,265,M,1914318,EUR,1136073600,M,30,30,False,4.0,2.0,,,0.0,,,2.0,5.0,,,,,45.0,8.0,6.6,4.0,0.00051795,1,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,0.0268,,,,,,Marc Domenech,,1.0,0.0095,,,,,
12437716,home,Mallorca,Vedat Muriqi,vedat-muriqi,V. Muriqi,F,7,194,5879,M,310874,EUR,767145600,F,7,7,False,22.0,16.0,,,0.0,3.0,4.0,13.0,19.0,3.0,,,,90.0,28.0,6.8,8.0,0.00997563,1,,1.0,,7.0,2.0,7.0,2.0,,,2.0,,,,,1.0,,1.0,1.0,0.0166,,,,,1.0,,,,,vedatmuriqi,2.0,,,
12437716,home,Mallorca,Valery Fernández,valery-fernandez,V. Fernández,D,21,179,309,M,962378,EUR,943315200,D,16,16,True,9.0,8.0,,,0.0,3.0,3.0,5.0,6.0,2.0,,,,45.0,17.0,6.3,5.0,0.0138209,0,,,,1.0,,5.0,1.0,3.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12437716,home,Mallorca,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,True,15.0,15.0,,,0.0,3.0,3.0,12.0,12.0,1.0,,,,28.0,19.0,6.8,1.0,0.0946108,1,,,,,,,1.0,,,,,,,1.0,,,1.0,,0.0874,,,,1.0,1.0,,,,,,,,,
12437716,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,True,23.0,21.0,,,0.0,6.0,6.0,16.0,20.0,,,,,27.0,29.0,6.6,5.0,0.0313033,0,,3.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437716,home,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,True,15.0,12.0,2.0,,0.0,5.0,6.0,7.0,11.0,2.0,,,,18.0,21.0,6.5,5.0,0.00685269,0,,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
