match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_lastManTackle,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_goodHighClaim,stat_punches,stat_outfielderBlock
12499467,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,36.0,29.0,11.0,4.0,0.0,27.0,29.0,2.0,7.0,1.0,11.0,1.0,2.0,90.0,43.0,6.6,7.0,0.00144366,0,-0.1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499467,home,FC St. Pauli,David Nemeth,,,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,False,61.0,57.0,4.0,1.0,0.0,28.0,30.0,29.0,32.0,2.0,3.0,,,90.0,69.0,6.6,6.0,0.012072,0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12499467,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,69.0,61.0,2.0,,0.0,30.0,34.0,31.0,35.0,1.0,4.0,,,90.0,79.0,6.9,10.0,0.0499552,1,,,3.0,6.0,1.0,1.0,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,0.0483,0.0606,1.0,,,,,,,,,,,,,,,
12499467,home,FC St. Pauli,Lars Ritzka,,,lars-ritzka,L. Ritzka,D,21,185,86,M,873347,EUR,894499200,D,21,21,False,39.0,30.0,4.0,1.0,0.0,16.0,18.0,14.0,23.0,3.0,2.0,,,61.0,53.0,7.0,12.0,0.0124413,1,,2.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,,,,2.0,1.0,0.0554,,,1.0,1.0,,,,,,,,,,,,,
12499467,home,FC St. Pauli,Manolis Saliakas,,,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,M,2,2,False,71.0,63.0,12.0,6.0,0.0,24.0,26.0,40.0,52.0,2.0,7.0,,,90.0,98.0,7.7,18.0,0.305743,5,,7.0,,2.0,,,,,,1.0,,1.0,,1.0,0.0876,0.0726,2.0,1.0,,1.0,1.0,3.0,,,,,,,,,,
12499467,home,FC St. Pauli,Jackson Irvine,,,jackson-irvine,J. Irvine,M,7,190,924,M,181581,EUR,731462400,M,7,7,False,34.0,28.0,1.0,,0.0,9.0,9.0,19.0,25.0,,4.0,,,90.0,49.0,7.8,10.0,0.037383,2,,,5.0,11.0,,3.0,3.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0,0.0425,0.0716,3.0,1.0,,,,,True,,,,,,,,,
12499467,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,M,8,8,False,76.0,69.0,5.0,2.0,1.0,22.0,22.0,49.0,60.0,,11.0,,,90.0,86.0,7.6,11.0,0.10179,1,,6.0,2.0,2.0,,2.0,,,1.0,,,,1.0,,0.0229,,3.0,,,2.0,,1.0,,1.0,,,,,,,,
12499467,home,FC St. Pauli,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,M,23,23,False,33.0,29.0,1.0,,0.0,12.0,13.0,17.0,22.0,1.0,8.0,,,90.0,51.0,7.1,8.0,0.0471692,1,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,0.0714,,1.0,1.0,,,,,,,,,,,,,,
12499467,home,FC St. Pauli,Danel Sinani,,,danel-sinani,D. Sinani,F,10,185,628,M,887500,EUR,860198400,F,10,10,False,40.0,30.0,6.0,2.0,0.0,8.0,8.0,23.0,42.0,,2.0,,,83.0,66.0,6.9,25.0,0.104556,6,,10.0,4.0,2.0,,,3.0,,2.0,,2.0,2.0,,1.0,0.2849,0.5619,3.0,,,1.0,,4.0,,,1.0,1.0,,,,,,
12499467,home,FC St. Pauli,Noah Weißhaupt,,,noah-weisshaupt,N. Weißhaupt,F,10,181,339,M,1048820,EUR,1000944000,F,13,13,False,30.0,26.0,1.0,1.0,0.0,7.0,9.0,19.0,27.0,,2.0,,,74.0,47.0,7.2,13.0,0.0588794,1,,6.0,2.0,6.0,,,2.0,,,,,,,3.0,0.044,,1.0,,,,,1.0,,1.0,4.0,3.0,,,,,,
