match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_onTargetScoringAttempt,stat_wasFouled,stat_fouls,stat_accurateCross,stat_penaltyConceded,stat_keyPass,stat_goals,stat_totalOffside,stat_penaltyWon,stat_bigChanceCreated
12924421,home,De Graafschap,Ties Wieggers,Ties Wieggers,,ties-wieggers,T. Wieggers,G,1,189,18,M,1144947,EUR,1039737600,G,1,1,False,26.0,20.0,12.0,6.0,0.0,16.0,17.0,4.0,9.0,5.0,1.0,1.0,1.0,1.0,90.0,30.0,6.9,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12924421,home,De Graafschap,Jeffrey Fortes,,,jeffrey-fortes,J. Fortes,D,22,182,33,M,52753,EUR,606528000,D,22,22,False,43.0,35.0,7.0,4.0,0.0,14.0,18.0,21.0,27.0,7.0,,,,,90.0,63.0,7.1,13.0,2,True,2.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
12924421,home,De Graafschap,Joran Hardeman,Joran Hardeman,,joran-hardeman,J. Hardeman,D,14,190,12,M,1387854,EUR,1019347200,D,14,14,False,50.0,46.0,8.0,4.0,0.0,35.0,35.0,11.0,15.0,1.0,,,,,90.0,64.0,7.1,5.0,3,,,1.0,2.0,3.0,,,,,1.0,1.0,5.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
12924421,home,De Graafschap,Maas Willemsen,Maas Willemsen,,maas-willemsen,M. Willemsen,D,3,190,70,M,1132765,EUR,1051574400,D,4,4,False,72.0,67.0,15.0,14.0,0.0,37.0,39.0,30.0,35.0,8.0,,,,,90.0,83.0,7.5,7.0,0,,2.0,4.0,3.0,6.0,1.0,,,,,,7.0,,,2.0,2.0,,1.0,,,1.0,,,,,,,
12924421,home,De Graafschap,Kaya Symons,Kaya,Symons,symons-kaya,K. Symons,D,21,178,96,M,1196919,EUR,1112227200,D,21,21,False,42.0,36.0,4.0,4.0,0.0,18.0,20.0,19.0,30.0,,,,,,90.0,80.0,7.2,17.0,1,,8.0,1.0,7.0,7.0,3.0,3.0,2.0,2.0,1.0,,2.0,,2.0,4.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,
12924421,home,De Graafschap,Lion Kaak,,,lion-kaak,L. Kaak,M,,180,9,M,103509,EUR,677894400,M,6,6,False,57.0,51.0,11.0,9.0,0.0,14.0,16.0,38.0,42.0,6.0,,,,,90.0,68.0,7.5,6.0,3,,1.0,1.0,2.0,4.0,1.0,,,,3.0,,,,1.0,,,,,,3.0,1.0,1.0,,2.0,,,,
12924421,home,De Graafschap,Philip Brittijn,Philip Brittijn,,philip-brittijn,P. Brittijn,M,23,182,100,M,1132766,EUR,1081468800,M,23,23,False,24.0,20.0,4.0,3.0,0.0,4.0,5.0,16.0,19.0,3.0,,,,,63.0,32.0,6.5,7.0,1,,,1.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,
12924421,home,De Graafschap,Yannick Eduardo,Yannick,Eduardo,eduardo-yannick,Y. Eduardo,F,31,193,377,M,1440627,EUR,1137974400,M,9,9,False,13.0,9.0,,,0.0,4.0,5.0,5.0,8.0,1.0,,,,,83.0,21.0,6.9,6.0,3,,,,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,,
12924421,home,De Graafschap,Mimoun Mahi,Mimoun,Mahi,mimoun-mahi,M. Mahi,F,,181,195,M,252253,EUR,763516800,M,10,10,False,39.0,30.0,2.0,2.0,0.0,11.0,12.0,24.0,35.0,3.0,,,,,68.0,57.0,8.0,16.0,2,,8.0,1.0,4.0,3.0,,2.0,1.0,1.0,,,,,,,,2.0,,2.0,1.0,2.0,5.0,,5.0,,,1.0,
12924421,home,De Graafschap,Ibrahim El Kadiri,,,ibrahim-el-kadiri,I. E. Kadiri,M,11,170,419,M,1006443,EUR,1011744000,M,30,30,False,33.0,29.0,3.0,1.0,0.0,7.0,7.0,24.0,28.0,5.0,,,,,63.0,57.0,7.9,12.0,3,,2.0,,9.0,7.0,,6.0,5.0,5.0,1.0,,1.0,,,2.0,2.0,2.0,,2.0,,3.0,2.0,,2.0,1.0,,,
12924421,home,De Graafschap,Jesse van de Haar,Jesse van de Haar,,jesse-van-de-haar,J. v. d. Haar,F,15,184,117,M,1442185,EUR,1106697600,F,15,15,False,17.0,12.0,,,1.0,4.0,5.0,9.0,14.0,2.0,,,,,45.0,27.0,7.1,10.0,1,,2.0,1.0,2.0,2.0,,2.0,,,,,,,,1.0,1.0,2.0,,1.0,,,1.0,,2.0,,,,
12924421,home,De Graafschap,Youssef El Jebli,,,youssef-el-jebli,Y. E. Jebli,M,,177,54,M,803042,EUR,725414400,M,47,47,True,22.0,18.0,3.0,2.0,1.0,2.0,4.0,16.0,22.0,,,,,,45.0,34.0,8.0,10.0,2,,4.0,,3.0,1.0,,2.0,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0
