match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_fouls,captain,stat_bigChanceCreated,stat_penaltyConceded,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_punches,stat_errorLeadToAShot,stat_clearanceOffLine
11369319,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196.0,1913,M,164343,EUR,694310400,G,13,13,False,31.0,19.0,21.0,10.0,12.0,14.0,7.0,17.0,9.0,2.0,2.0,1.0,2.0,90.0,38.0,6.8,12.0,0.0103245,0,-0.48679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369319,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169.0,7132,M,1002813,EUR,1023062400,D,20,20,False,41.0,31.0,2.0,,7.0,8.0,25.0,38.0,7.0,,,,,90.0,73.0,7.2,18.0,0.1539,1,,,,yan.couto,5.0,1.0,3.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0225,1.0,,,,,,,,,,,,,,,,,,,
11369319,home,Girona FC,Eric García,eric-garcia,E. García,D,24,182.0,56393,M,876214,EUR,978998400,D,25,25,False,60.0,55.0,4.0,,21.0,23.0,34.0,37.0,5.0,,,,,65.0,70.0,7.2,5.0,0.0499565,1,,,,ericgm3,,,1.0,4.0,,,,,,,1.0,1.0,,2.0,0.0629,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11369319,home,Girona FC,David López,david-lopez,D. López,D,5,185.0,551,M,135116,EUR,623894400,D,5,5,False,57.0,51.0,1.0,,30.0,33.0,21.0,24.0,5.0,,,,,90.0,61.0,6.9,6.0,0.0152276,1,,,,,,,1.0,1.0,,,,,,3.0,,,,,0.1123,,1.0,1.0,,,,1.0,1.0,0.1976,,,,,,,,,,,
11369319,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180.0,2785,M,44864,EUR,636940800,D,17,17,False,62.0,56.0,1.0,,19.0,19.0,38.0,45.0,3.0,,,,,90.0,75.0,6.9,9.0,0.0845266,0,,,,,2.0,1.0,3.0,3.0,1.0,,,,,,2.0,,1.0,,,2.0,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,
11369319,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173.0,4524,M,796047,EUR,867456000,M,14,14,False,91.0,87.0,9.0,8.0,22.0,23.0,68.0,75.0,9.0,,,,,90.0,109.0,8.2,8.0,0.440667,3,,,,AlexGarcia97,7.0,3.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,,0.0835,4.0,1.0,,1.0,1.0,2.0,1.0,,0.0894062,,2.0,True,1.0,,,,,,,
11369319,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178.0,5432,M,319735,EUR,879552000,M,8,8,False,31.0,30.0,,,7.0,7.0,25.0,26.0,1.0,,,,,61.0,38.0,6.8,3.0,0.191369,0,,,,viktortsygankov,2.0,2.0,1.0,2.0,,1.0,,,,,,,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,
11369319,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184.0,4247,M,839585,EUR,884131200,M,21,21,False,31.0,30.0,1.0,1.0,8.0,9.0,22.0,22.0,3.0,,,,,74.0,49.0,8.4,4.0,0.140917,4,,,,YangelHerrera8,,,2.0,6.0,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,0.364,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,0.524292,,,,,,1.0,,,,,
11369319,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178.0,895,M,973699,EUR,918950400,M,23,23,False,52.0,47.0,,,13.0,15.0,34.0,37.0,5.0,,,,,90.0,62.0,7.5,8.0,0.0597551,3,,,,,,,5.0,2.0,,1.0,,,,,2.0,1.0,2.0,,0.3758,2.0,2.0,,2.0,,,1.0,1.0,0.615227,,2.0,,,,,,,,,
11369319,home,Girona FC,Savinho,savio,Savinho,M,26,176.0,52457,M,1046795,EUR,1081555200,M,16,16,False,27.0,23.0,1.0,1.0,4.0,4.0,21.0,27.0,4.0,,,,,75.0,43.0,9.1,11.0,1.32102,3,,,,Savinho,4.0,2.0,1.0,5.0,,,3.0,2.0,,,1.0,1.0,4.0,1.0,0.3068,3.0,,1.0,1.0,,,2.0,1.0,0.987389,1.0,,,2.0,,,1.0,,,,
