match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_outfielderBlock,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_fouls,stat_accurateCross,stat_keyPass,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_goals,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
10408281,home,Villarreal,Pepe Reina,pepe-reina,P. Reina,G,188,1240,M,26937,EUR,399600000,G,1,1,False,34.0,21.0,14.0,5.0,19.0,26.0,2.0,8.0,1.0,1.0,14.0,1.0,3.0,4.0,8.0,90.0,54.0,8.6,13.0,0.0,0.0,0.00067963,0,1.4329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408281,home,Villarreal,Kiko Femenía,kiko-femenia,K. Femenía,D,176,444,M,53739,EUR,665452800,D,2,2,False,52.0,48.0,,,27.0,28.0,21.0,26.0,1.0,6.0,6.0,,,,,90.0,72.0,7.2,11.0,0.0,0.0,0.0211166,0,,,,17,2.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408281,home,Villarreal,Aïssa Mandi,aissa-mandi,A. Mandi,D,186,10320,M,122810,EUR,688089600,D,23,23,False,59.0,57.0,5.0,3.0,36.0,37.0,21.0,22.0,2.0,3.0,3.0,,,,,90.0,63.0,7.1,2.0,0.0,0.0,0.00465536,0,,,,23,,2.0,2.0,,,,2.0,,1.0,,,aissamandi23,,,,,,,,,,,,,,,,,,,
10408281,home,Villarreal,Pau Torres,pau-torres,P. Torres,D,192,4099,M,864169,EUR,853372800,D,4,4,False,50.0,41.0,8.0,4.0,27.0,30.0,14.0,20.0,3.0,4.0,3.0,,,,,90.0,57.0,7.2,10.0,0.0,0.0,0.0147874,0,,,,14,,1.0,1.0,,,,4.0,,1.0,1.0,1.0,pauttorres,1.0,,,,,,,,,,,,,,,,,,
10408281,home,Villarreal,Alberto Moreno,alberto-moreno,A. Moreno,D,171,850,M,229740,EUR,710294400,D,18,18,False,36.0,32.0,4.0,3.0,10.0,11.0,22.0,25.0,,3.0,4.0,,,,,69.0,55.0,6.8,11.0,0.1851,0.1519,0.128853,1,,,,18,,1.0,4.0,,2.0,1.0,1.0,1.0,2.0,2.0,5.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10408281,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,180,1999,M,39182,EUR,608688000,M,10,10,False,65.0,59.0,2.0,2.0,28.0,32.0,32.0,35.0,,3.0,9.0,,,,,90.0,76.0,7.0,9.0,0.0505,0.0717,0.177169,1,,,,10,2.0,2.0,7.0,2.0,,,,,3.0,2.0,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10408281,home,Villarreal,Manu Trigueros,manu-trigueros,M. Trigueros,M,178,191,M,153966,EUR,687657600,M,14,14,False,60.0,56.0,3.0,3.0,19.0,20.0,37.0,41.0,1.0,5.0,2.0,,,,,90.0,73.0,7.1,6.0,0.1515,0.0,0.066524,2,,,,14,1.0,1.0,4.0,,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,2.0,,,True,1.0,1.0,1.0,,,,,,,,
10408281,home,Villarreal,Gerard Moreno,gerard-moreno,G. Moreno,F,180,4001,M,146866,EUR,702604800,M,7,7,False,46.0,36.0,2.0,1.0,10.0,11.0,26.0,35.0,,9.0,4.0,,,,,69.0,67.0,7.6,15.0,0.6999,0.4826,0.136179,3,,,,7,,2.0,6.0,1.0,5.0,4.0,,1.0,3.0,1.0,1.0,GerardMoreno9,,1.0,2.0,2.0,1.0,,2.0,,1.0,,2.0,1.0,2.0,1.0,,,,,
10408281,home,Villarreal,Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,177,15743,M,798835,EUR,829008000,M,17,17,False,63.0,56.0,7.0,5.0,18.0,21.0,38.0,45.0,,6.0,6.0,,,,,69.0,83.0,7.5,14.0,0.2,0.082,0.0628376,3,,,,20,3.0,1.0,2.0,1.0,3.0,3.0,1.0,,2.0,2.0,2.0,locelso_giovani,2.0,,,1.0,,,,,,2.0,1.0,,,,,,,,
10408281,home,Villarreal,Yéremy Pino,yeremy-pino,Y. Pino,M,172,6120,M,984624,EUR,1035072000,M,21,21,False,39.0,30.0,3.0,,9.0,11.0,21.0,29.0,1.0,5.0,6.0,,,,,87.0,53.0,6.6,13.0,0.0,0.0,0.10929,0,,,,10,1.0,1.0,9.0,,2.0,,2.0,,3.0,1.0,1.0,,,1.0,,,5.0,,2.0,,,,1.0,,,,,,,,
