match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,captain,stat_unsuccessfulTouch,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_errorLeadToAShot
12451021,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,35.0,26.0,14.0,5.0,0.0,22.0,23.0,4.0,12.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,44.0,7.2,9.0,0.00149716,0,0.0899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451021,home,Lille,Thomas Meunier,,,thomas-meunier,T. Meunier,D,12,190,2781,M,128587,EUR,684633600,D,12,12,False,37.0,27.0,1.0,,0.0,14.0,18.0,13.0,21.0,3.0,3.0,1.0,2.0,,,,,,,,45.0,51.0,6.7,13.0,0.00980488,1,,2.0,2.0,1.0,1.0,2.0,1.0,0.1221,1.0,,,,,,,,,,,,,,,,,,,,
12451021,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182,1863,M,962408,EUR,978739200,D,18,18,False,90.0,81.0,6.0,2.0,0.0,54.0,61.0,27.0,29.0,3.0,4.0,4.0,2.0,,1.0,,,,,,90.0,100.0,6.8,9.0,0.0159545,0,,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,
12451021,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192,4572,M,1049775,EUR,934156800,D,4,4,False,74.0,68.0,8.0,6.0,0.0,49.0,51.0,19.0,23.0,2.0,4.0,7.0,5.0,,2.0,2.0,,,,,90.0,87.0,7.0,6.0,0.00836256,0,,,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12451021,home,Lille,Gabriel Gudmundsson,,,gabriel-gudmundsson,G. Gudmundsson,D,3,181,1194,M,834308,EUR,925344000,D,5,5,False,29.0,24.0,2.0,,0.0,12.0,13.0,12.0,17.0,1.0,5.0,2.0,3.0,,2.0,1.0,,,,,67.0,45.0,7.3,7.0,0.00385131,1,,1.0,4.0,1.0,,,1.0,0.0563,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12451021,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180,759,M,51665,EUR,649641600,M,21,21,False,65.0,55.0,6.0,1.0,0.0,33.0,36.0,22.0,29.0,6.0,14.0,1.0,6.0,,6.0,1.0,,,,,90.0,82.0,7.0,11.0,0.0335945,0,,,7.0,,,2.0,3.0,,,1.0,3.0,1.0,,,,,2.0,True,,,,,,,,,,,
12451021,home,Lille,André Gomes,,,andre-gomes,A. Gomes,M,26,188,1679,M,235460,EUR,743990400,M,26,26,False,32.0,28.0,2.0,2.0,0.0,20.0,21.0,8.0,11.0,,1.0,,2.0,,,,,,,,45.0,38.0,6.2,7.0,0.00295092,1,,,5.0,2.0,1.0,,2.0,0.0205,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
12451021,home,Lille,Edon Zhegrova,,,edon-zhegrova,E. Zhegrova,M,11,181,9820,M,887766,EUR,922838400,M,23,23,False,32.0,30.0,1.0,1.0,0.0,10.0,10.0,22.0,26.0,,3.0,,2.0,,,,,,,,81.0,46.0,7.2,9.0,0.383001,1,,4.0,3.0,3.0,1.0,,1.0,0.0395,1.0,,,2.0,3.0,,,,,,3.0,edonzhegrova10,2.0,1.0,,,,,,,
12451021,home,Lille,Angel Gomes,,,angel-gomes,A. Gomes,M,47,168,3430,M,867441,EUR,967680000,M,8,8,False,28.0,22.0,,,0.0,4.0,5.0,19.0,25.0,,2.0,,1.0,,,,,,,,90.0,38.0,7.7,8.0,0.178935,3,,2.0,2.0,2.0,,,,0.4896,2.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,2.0,1.0,0.8361,,,,
12451021,home,Lille,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,11,170,7380,M,965357,EUR,992217600,M,11,11,False,25.0,21.0,,,1.0,5.0,5.0,16.0,20.0,,5.0,,4.0,,1.0,1.0,,,,,66.0,41.0,7.6,10.0,0.437285,0,,,3.0,3.0,,1.0,,,2.0,,,2.0,2.0,,,,2.0,,3.0,osamesahraoui,,1.0,,,,,,,
