match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_interceptionWon,stat_errorLeadToAShot,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_wonTackle,stat_keyPass,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_outfielderBlock,stat_totalOffside,stat_bigChanceCreated,player_sofascoreId,stat_challengeLost,stat_goals
12514164,home,Sporting CP,Franco Israel,franco-israel,F. Israel,G,81,189,2282,M,1084846,EUR,956361600,G,1,1,False,20.0,16.0,5.0,1.0,0.0,16.0,17.0,3.0,4.0,1.0,1.0,1.0,1.0,90.0,25.0,5.6,4.0,5.689e-05,0,-0.8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514164,home,Sporting CP,Eduardo Quaresma,eduardo-quaresma,E. Quaresma,D,72,185,2167,M,989841,EUR,1015027200,D,72,72,False,74.0,69.0,8.0,4.0,0.0,22.0,23.0,51.0,5.0,,,,,73.0,84.0,6.9,6.0,0.0460942,0,,Eduardo,Quaresma,47.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
12514164,home,Sporting CP,Zeno Debast,zeno-debast,Z. Debast,D,6,191,3313,M,1126512,EUR,1066867200,D,6,6,False,89.0,84.0,9.0,7.0,0.0,57.0,59.0,30.0,5.0,,,,,90.0,99.0,6.8,7.0,0.0219163,1,,,,27.0,,2.0,3.0,3.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,3.0,0.0161,0.0428,,,,,,,,,,,,,,,
12514164,home,Sporting CP,Matheus Reis,reis-matheus,M. Reis,D,2,183,1301,M,797648,EUR,793065600,D,2,2,False,82.0,79.0,5.0,4.0,0.0,39.0,40.0,42.0,6.0,,,,,90.0,94.0,7.4,5.0,0.233954,1,,,,40.0,1.0,4.0,2.0,5.0,,,2.0,1.0,1.0,,,3.0,,,0.0723,,1.0,1.0,1.0,1.0,,,,,,,,,,,
12514164,home,Sporting CP,Geny Catamo,geny-catamo,G. Catamo,M,10,172,10919,M,1001140,EUR,980467200,M,21,21,False,64.0,56.0,3.0,2.0,0.0,12.0,12.0,60.0,4.0,,,,,67.0,90.0,7.5,16.0,0.178298,5,,,,45.0,2.0,,3.0,4.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,0.3258,0.4339,,3.0,,1.0,8.0,1.0,1.0,1.0,,,,,,,
12514164,home,Sporting CP,João Simões,joao-simoes,J. Simões,M,52,178,1481,M,1410209,EUR,1168041600,M,52,52,False,48.0,46.0,2.0,2.0,0.0,13.0,14.0,36.0,5.0,,,,,80.0,58.0,7.0,4.0,0.113369,2,,João Simões,,34.0,,,3.0,2.0,2.0,2.0,,,1.0,,,1.0,,3.0,0.1504,,,,,2.0,2.0,1.0,,2.0,,,,,,,
12514164,home,Sporting CP,Morten Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,67.0,60.0,4.0,4.0,0.0,17.0,18.0,50.0,2.0,,,,,90.0,77.0,7.1,10.0,0.117969,1,,Morten,Hjulmand,43.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,0.0342,,1.0,1.0,,,1.0,,,,True,1.0,1.0,,,,
12514164,home,Sporting CP,Maximiliano Araújo,maximiliano-araujo,M. Araújo,M,20,179,3576,M,929193,EUR,950572800,M,20,20,False,41.0,34.0,,,1.0,9.0,11.0,35.0,2.0,,,,,90.0,68.0,7.6,16.0,0.461363,0,,Maximiliano,Araújo,28.0,3.0,1.0,8.0,4.0,4.0,2.0,1.0,,3.0,1.0,,,,2.0,,,1.0,,,3.0,5.0,3.0,,,,,1.0,1.0,,,
12514164,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,36.0,28.0,3.0,3.0,0.0,3.0,5.0,35.0,,,,,,90.0,52.0,9.4,14.0,0.481123,3,,Francisco,Trincão,27.0,,,4.0,2.0,1.0,,,1.0,3.0,1.0,2.0,1.0,,1.0,0.2864,1.5754,,1.0,1.0,4.0,4.0,2.0,,,,2.0,,1.0,trincao,2.0,2.0
12514164,home,Sporting CP,Viktor Gyökeres,viktor-gyokeres,V. Gyökeres,F,14,187,198098,M,804508,EUR,896918400,F,9,9,False,19.0,13.0,,,0.0,3.0,3.0,18.0,2.0,,,,,90.0,39.0,7.6,14.0,0.0608434,6,,,,10.0,,3.0,3.0,7.0,3.0,2.0,1.0,,3.0,2.0,3.0,,,,1.1099,1.2602,2.0,2.0,,1.0,2.0,,2.0,1.0,,,,,VGyökeres,,1.0
