match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_interceptionWon,stat_wasFouled,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_keyPass,stat_dispossessed,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside,stat_goals
11453167,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,24.0,14.0,12.0,3.0,14.0,20.0,4.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,90.0,33.0,7.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453167,home,Al-Shabab,Hussain Al-Sebyani,hussain-alsebyani,H. Alsebyani,M,16,168.0,15,M,1152012,EUR,993340800,D,16,16,False,36.0,31.0,2.0,1.0,9.0,10.0,27.0,3.0,4.0,,,,,,90.0,58.0,7.2,11.0,1,Hussain Alsebyani,,22.0,1.0,2.0,7.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
11453167,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,88,88,False,41.0,34.0,5.0,1.0,25.0,26.0,15.0,6.0,7.0,,,,,,90.0,52.0,7.1,7.0,0,,,9.0,,,2.0,2.0,,,,,,,,2.0,1.0,4.0,1.0,,,,,,,,,,,,,
11453167,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188.0,76,M,584430,EUR,706492800,D,4,4,False,62.0,53.0,14.0,8.0,29.0,31.0,32.0,3.0,4.0,,,,,,90.0,74.0,7.6,10.0,1,,,25.0,1.0,1.0,2.0,4.0,,,,,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
11453167,home,Al-Shabab,Moteb Al-Harbi,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,1022679,EUR,950918400,D,24,24,False,35.0,28.0,6.0,3.0,17.0,17.0,22.0,,2.0,,,,,,90.0,56.0,6.9,12.0,0,,,13.0,4.0,,5.0,2.0,2.0,,,,1.0,,1.0,2.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,
11453167,home,Al-Shabab,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172.0,36,M,828444,EUR,730771200,M,12,12,False,50.0,44.0,7.0,4.0,19.0,19.0,31.0,,5.0,,,,,,87.0,60.0,6.9,7.0,1,,,25.0,,1.0,5.0,6.0,2.0,,,,3.0,1.0,1.0,3.0,3.0,,,,,1.0,,,,,,,,,,
11453167,home,Al-Shabab,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,6,175.0,1944,M,180059,EUR,719020800,M,6,6,False,80.0,75.0,9.0,6.0,38.0,40.0,40.0,1.0,8.0,,,,,,90.0,90.0,7.6,6.0,0,,,37.0,,,1.0,6.0,,,,,5.0,3.0,,1.0,,2.0,1.0,,,,,,,,,,,,,
11453167,home,Al-Shabab,Fahad Al-Muwallad,fahad-al-muwallad,F. Al-Muwallad,M,,167.0,183,M,160909,EUR,779500800,M,8,8,False,8.0,6.0,1.0,,3.0,4.0,5.0,,3.0,,,,,,70.0,18.0,6.4,7.0,2,,,3.0,1.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,2.0,,,1.0,1.0,,,,,,,,,,
11453167,home,Al-Shabab,Éver Banega,ever-banega,É. Banega,M,11,174.0,1194,M,31981,EUR,583545600,M,10,10,False,80.0,65.0,10.0,4.0,25.0,28.0,59.0,,8.0,,,,,,90.0,110.0,7.8,27.0,1,,,40.0,7.0,1.0,5.0,11.0,,4.0,2.0,,2.0,2.0,2.0,1.0,1.0,,6.0,,,,,,3.0,1.0,True,1.0,,,,
11453167,home,Al-Shabab,Yannick Carrasco,yannick-carrasco,Y. Carrasco,F,10,180.0,4751,M,182001,EUR,747100800,M,23,23,False,41.0,38.0,2.0,2.0,7.0,7.0,42.0,,6.0,,,,,,90.0,74.0,8.2,18.0,5,,,33.0,8.0,1.0,7.0,8.0,2.0,7.0,6.0,,1.0,1.0,7.0,2.0,,1.0,1.0,2.0,,1.0,,,2.0,1.0,,4.0,yannickferreiracarrasco,2.0,,
11453167,home,Al-Shabab,Habib Diallo,habib-diallo,H. Diallo,F,30,186.0,7474,M,802159,EUR,803433600,F,20,20,False,5.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,,,,,,,59.0,13.0,6.5,4.0,0,,,1.0,,2.0,3.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,habibdiallo28,,2.0,
11453167,home,Al-Shabab,Abdullah Radif,abdullah-radif,A. H. Radif,F,21,185.0,510,M,1101759,EUR,1043107200,F,49,49,True,9.0,9.0,,,2.0,2.0,7.0,,,,,,,,31.0,16.0,7.2,4.0,1,Abdullah Radif,,7.0,,1.0,3.0,1.0,,1.0,,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,1.0
