match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_challengeLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_wonTackle,stat_goalAssist,stat_bigChanceCreated,captain,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal,stat_clearanceOffLine,player_sofascoreId,stat_bigChanceMissed
10382205,home,FC Volendam,Filip Stanković,filip-stankovic,F. Stanković,G,1,185,1035,M,986355,EUR,1014595200,G,1,1,False,31.0,18.0,23.0,10.0,13.0,17.0,5.0,14.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,37.0,6.3,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382205,home,FC Volendam,Brian Plat,brian-plat,B. Plat,D,4,191,60,M,980673,EUR,954892800,D,3,3,False,20.0,13.0,2.0,,8.0,13.0,5.0,10.0,1.0,5.0,,,,,90.0,54.0,6.6,17.0,0,3.0,3.0,4.0,5.0,8.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382205,home,FC Volendam,Xavier Mbuyamba,xavier-mbuyamba,X. Mbuyamba,D,3,195,632,M,974020,EUR,1009756800,D,31,31,False,37.0,28.0,3.0,2.0,18.0,23.0,10.0,14.0,4.0,13.0,,,,,90.0,46.0,6.4,10.0,0,,1.0,1.0,4.0,2.0,,,,,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
10382205,home,FC Volendam,Damon Mirani,damon-mirani,D. Mirani,D,4,182,56,M,318575,EUR,831945600,D,4,4,False,41.0,31.0,9.0,3.0,14.0,17.0,17.0,24.0,6.0,8.0,,,,,90.0,52.0,6.4,11.0,3,,1.0,5.0,4.0,6.0,,,,,,,1.0,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
10382205,home,FC Volendam,Josh Flint,josh-flint,J. Flint,D,28,186,47,M,966460,EUR,971395200,D,28,28,False,52.0,34.0,10.0,1.0,20.0,23.0,14.0,29.0,1.0,7.0,,,,,90.0,67.0,6.4,20.0,0,,2.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
10382205,home,FC Volendam,Derry Murkin,derry-murkin,D. Murkin,D,2,183,178,M,946561,EUR,933033600,D,5,5,False,43.0,31.0,3.0,,14.0,17.0,18.0,31.0,3.0,7.0,,,,,90.0,77.0,6.7,22.0,2,5.0,2.0,,7.0,8.0,1.0,6.0,5.0,,3.0,3.0,,,,3.0,1.0,1.0,,1.0,1.0,,1.0,3.0,,,,,,,,,,
10382205,home,FC Volendam,Florent Sanchez Da Silva,sanchez-da-silva-florent,F. S. D. Silva,M,7,178,222,M,1385467,EUR,1049241600,M,12,12,False,46.0,34.0,2.0,1.0,21.0,23.0,14.0,24.0,1.0,15.0,,,,,90.0,62.0,7.3,17.0,2,1.0,,1.0,3.0,2.0,,1.0,,1.0,,4.0,1.0,,,2.0,3.0,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,
10382205,home,FC Volendam,Carel Eiting,carel-eiting,C. Eiting,M,6,178,347,M,803025,EUR,887155200,M,8,8,False,36.0,26.0,4.0,1.0,14.0,16.0,14.0,26.0,1.0,7.0,,,,,90.0,51.0,6.8,18.0,0,6.0,,3.0,2.0,7.0,1.0,1.0,1.0,,3.0,2.0,,,,1.0,,1.0,2.0,,,,2.0,2.0,,,True,,,,,,,
10382205,home,FC Volendam,Calvin Twigt,calvin-twigt,C. Twigt,M,8,183,95,M,1084944,EUR,1043884800,M,17,17,False,32.0,29.0,1.0,1.0,11.0,13.0,18.0,19.0,1.0,9.0,,,,,84.0,48.0,7.1,7.0,1,,1.0,,8.0,4.0,2.0,,,,2.0,2.0,2.0,Calvin Twigt,,4.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,
10382205,home,FC Volendam,Gaetano Oristanio,gaetano-oristanio,G. Oristanio,F,21,174,954,M,965009,EUR,1033171200,F,10,10,False,19.0,14.0,2.0,1.0,6.0,6.0,9.0,17.0,,7.0,,,,,84.0,41.0,7.3,17.0,1,4.0,,1.0,7.0,5.0,2.0,5.0,,,3.0,2.0,1.0,,,,2.0,,,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,
10382205,home,FC Volendam,Robert Mühren,robert-muhren,R. Mühren,M,21,187,188,M,156676,EUR,611452800,F,21,21,False,14.0,10.0,1.0,1.0,2.0,2.0,8.0,13.0,1.0,2.0,,,,,87.0,26.0,7.4,6.0,3,1.0,1.0,4.0,4.0,6.0,,1.0,,,2.0,,,,,1.0,,2.0,,,1.0,2.0,,2.0,,,,1.0,1.0,,,,,
