match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_keyPass,stat_totalOffside,stat_shotOffTarget,stat_errorLeadToAShot,stat_hitWoodwork,stat_bigChanceMissed
12436445,home,Crystal Palace,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5010,M,deanhenderson,788134,EUR,858124800,G,1,1,False,34.0,19.0,20.0,5.0,0.0,15.0,15.0,4.0,19.0,3.0,1.0,2.0,2.0,1.0,1.0,90.0,38.0,6.6,15.0,0.00086688,0,0.3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436445,home,Crystal Palace,Trevoh Chalobah,,,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,27,27,False,40.0,36.0,8.0,7.0,0.0,23.0,25.0,13.0,15.0,5.0,,,,,,90.0,58.0,7.0,6.0,0.00714717,0,,3.0,6.0,2.0,5.0,1.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12436445,home,Crystal Palace,Maxence Lacroix,,,maxence-lacroix,M. Lacroix,D,5,192,6873,M,,879674,EUR,954979200,D,5,5,False,29.0,24.0,7.0,5.0,0.0,21.0,24.0,3.0,5.0,3.0,,,,,,90.0,45.0,7.5,5.0,0.00105582,1,,,3.0,,9.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,0.5206,0.9508,,,,,,,,,,,,,,,,
12436445,home,Crystal Palace,Marc Guéhi,,,marc-guehi,M. Guéhi,D,15,182,22326,M,MarcGuehi13,877994,EUR,963446400,D,6,6,False,42.0,36.0,4.0,2.0,0.0,25.0,29.0,11.0,14.0,3.0,,,,,,90.0,47.0,6.2,9.0,0.00505715,0,,3.0,,2.0,1.0,,,,,,,,,,,,True,1.0,1.0,,,,,,,,,,,,,
12436445,home,Crystal Palace,Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,12060,M,daniel.chitiva,870360,EUR,833068800,M,12,12,False,22.0,14.0,2.0,,0.0,8.0,9.0,6.0,14.0,5.0,,,,,,90.0,49.0,6.9,14.0,0.0126715,1,,8.0,4.0,2.0,4.0,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,0.1397,0.1603,,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,
12436445,home,Crystal Palace,Will Hughes,,,will-hughes,W. Hughes,M,19,185,1026,M,,193554,EUR,798076800,M,19,19,False,38.0,30.0,5.0,2.0,2.0,13.0,16.0,18.0,24.0,8.0,,,,,,90.0,51.0,8.0,11.0,0.33089,3,,2.0,4.0,,,1.0,3.0,1.0,,,1.0,1.0,,,0.1193,,,2.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,
12436445,home,Crystal Palace,Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179,5444,M,jeffersonlerma,355796,EUR,783043200,M,8,8,False,44.0,38.0,4.0,1.0,0.0,20.0,22.0,18.0,22.0,4.0,,,,,,90.0,62.0,7.0,9.0,0.0350531,2,,4.0,6.0,2.0,1.0,1.0,2.0,,3.0,,,,1.0,,0.2036,0.1536,,,2.0,1.0,,,,,1.0,2.0,,,,,,
12436445,home,Crystal Palace,Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,,988275,EUR,936144000,M,3,3,False,26.0,17.0,5.0,,0.0,10.0,14.0,7.0,14.0,4.0,,,,,,90.0,47.0,6.8,13.0,0.0704712,0,,3.0,6.0,1.0,,1.0,5.0,3.0,1.0,,1.0,,,,,,,2.0,,,1.0,,,,,,1.0,1.0,,,,
12436445,home,Crystal Palace,Ismaïla Sarr,,,ismaila-sarr,I. Sarr,F,7,185,26789,M,ismaila_sarr18,845286,EUR,888364800,F,7,7,False,18.0,12.0,,,0.0,3.0,3.0,9.0,15.0,2.0,,,,,,77.0,26.0,7.0,8.0,0.115149,1,,2.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,0.0622,,,,1.0,1.0,,2.0,,,,1.0,,,1.0,,,
12436445,home,Crystal Palace,Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55840,M,eze,864921,EUR,899078400,F,10,10,False,21.0,16.0,3.0,1.0,0.0,10.0,10.0,6.0,14.0,2.0,,,,,,72.0,35.0,6.6,10.0,0.00491624,2,,3.0,2.0,,,1.0,,,,,2.0,1.0,,,0.1842,,,3.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,1.0,,,,
