match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_ownGoals,stat_keyPass,stat_interceptionWon,stat_accurateCross,stat_onTargetScoringAttempt,stat_wasFouled,stat_totalOffside,player_sofascoreId,stat_shotOffTarget,stat_lastManTackle,stat_blockedScoringAttempt,stat_penaltyWon,stat_bigChanceMissed,stat_goals,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded
11067551,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,16.0,12.0,11.0,7.0,6.0,7.0,6.0,9.0,1.0,1.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,90.0,24.0,6.6,4.0,0.0,0.0,0.0032172,0,-0.3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,2,2,False,,43.0,35.0,2.0,1.0,19.0,24.0,16.0,20.0,2.0,6.0,,7.0,,,,,,90.0,62.0,6.3,14.0,0.0158,0.0,0.0173342,0,,,,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,35.0,27.0,7.0,2.0,23.0,26.0,4.0,9.0,2.0,2.0,1.0,1.0,,,,,,90.0,37.0,6.4,8.0,0.0,0.0,0.00095836,0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186,199,M,373740,EUR,763257600,D,33,33,False,,55.0,45.0,14.0,8.0,31.0,31.0,14.0,24.0,1.0,1.0,5.0,6.0,,,,,,90.0,64.0,6.7,11.0,0.0,0.0,0.00431387,0,,,,,3.0,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Rikelme,rikelme,Rikelme,D,16,184,260,M,1102383,EUR,1058313600,D,20,20,False,,33.0,26.0,3.0,2.0,21.0,23.0,5.0,11.0,1.0,4.0,3.0,6.0,,,,,,70.0,49.0,6.7,9.0,0.0,0.0,0.00265148,0,,,,1.0,2.0,2.0,,,,3.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Pablo Ceppelini,pablo-ceppelini,P. Ceppelini,M,,181,476,M,146599,EUR,684547200,M,10,10,False,,31.0,24.0,6.0,5.0,6.0,8.0,19.0,32.0,,3.0,2.0,4.0,,,,,,90.0,55.0,7.1,18.0,0.0391,0.0768,0.128825,1,,,,9.0,6.0,2.0,1.0,,,2.0,2.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
11067551,home,Cuiabá,Raniele,raniele,Raniele,M,14,184,6186,M,866392,EUR,851990400,M,14,14,False,,34.0,20.0,8.0,4.0,9.0,14.0,11.0,20.0,5.0,12.0,3.0,4.0,,,,,,90.0,52.0,7.2,16.0,0.0342,0.0,0.0115586,1,,,,,4.0,2.0,,1.0,1.0,4.0,2.0,,,2.0,1.0,,,,,,2.0,,R14niele,1.0,1.0,,,,,,,,
11067551,home,Cuiabá,Denilson,denilson,Denilson,M,8,180,370,M,1175760,EUR,985305600,M,27,27,False,,23.0,19.0,5.0,3.0,14.0,15.0,5.0,8.0,,7.0,,5.0,,,,,,59.0,37.0,7.1,7.0,0.0418,0.0612,0.0105037,2,,Denilson,,,3.0,1.0,,2.0,1.0,5.0,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,
11067551,home,Cuiabá,Jonathan Cafú,jonathan-cafu,Jonathan Cafú,M,11,175,197,M,790103,EUR,679104000,F,7,7,False,,12.0,10.0,,,4.0,5.0,6.0,7.0,,9.0,1.0,9.0,,,,,,69.0,31.0,7.5,5.0,0.109,0.2124,0.015716,1,,,,,7.0,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,,,,2.0,,1.0,4.0,,,,,,1.0,,,,,,
11067551,home,Cuiabá,Deyverson,deyverson,Deyverson,F,16,185,4460,M,270287,EUR,673660800,F,16,16,False,,21.0,8.0,3.0,,3.0,5.0,5.0,17.0,4.0,9.0,,5.0,,,,,,90.0,37.0,7.1,18.0,1.1775,1.2839,0.0262111,2,,,,1.0,6.0,,2.0,1.0,,2.0,2.0,,1.0,3.0,1.0,,2.0,,,2.0,3.0,6.0,,,,,,1.0,1.0,,,,
11067551,home,Cuiabá,Iury Castilho,iury-castilho,I. Castilho,F,77,185,294,M,795020,EUR,810345600,F,99,99,False,,6.0,4.0,,,3.0,3.0,1.0,4.0,,1.0,,2.0,,,,,,59.0,14.0,6.7,3.0,0.0764,0.058,0.00022863,2,,,,1.0,5.0,2.0,,,,1.0,1.0,,,3.0,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,
11067551,home,Cuiabá,Clayson,clayson,Clayson,M,29,166,372,M,811308,EUR,795571200,M,29,29,True,,10.0,10.0,1.0,1.0,3.0,3.0,7.0,8.0,,2.0,,1.0,,,,,,31.0,19.0,6.4,4.0,0.0472,0.0,0.0130286,1,,,,1.0,3.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,
11067551,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,True,,15.0,13.0,,,3.0,3.0,10.0,14.0,,3.0,,3.0,,,,,,31.0,27.0,7.0,6.0,0.0,0.0,0.0108175,0,,,,2.0,3.0,,,1.0,1.0,2.0,1.0,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Emerson Ramon,emerson-ramon,Emerson Ramon,M,94,178,125,M,1130178,EUR,975024000,F,17,17,True,,5.0,4.0,,,,,4.0,5.0,,1.0,,2.0,,,,,,21.0,11.0,6.5,4.0,0.0,0.0,0.0066446,0,,Emerson Ramon,,,2.0,,,,,,,3.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
11067551,home,Cuiabá,Uendel,uendel,Uendel,D,,179,34,,123357,EUR,592272000,D,6,6,True,,7.0,2.0,2.0,,1.0,4.0,3.0,6.0,2.0,2.0,,3.0,,,,,,20.0,14.0,6.6,7.0,0.0,0.0,0.0433969,0,,,,3.0,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,
11067551,home,Cuiabá,João Carlos,joao-carlos,J. Carlos,G,12,190,52,M,795227,EUR,576288000,G,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Vitão,vitao,Vitão,D,34,194,85,M,1467772,EUR,969148800,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Patric Calmon,patric-calmon,P. Calmon,D,94,181,131,M,987168,EUR,773366400,D,94,94,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Allyson,allyson,Allyson,D,3,184,69,M,809194,EUR,656640000,D,34,34,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Wellington Silva,wellington-silva,Wellington Silva,M,37,170,241,M,121264,EUR,726278400,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Filipe Augusto,filipe-augusto,Filipe Augusto,M,6,182,119,M,254561,EUR,745113600,M,5,5,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067551,home,Cuiabá,Ronald,ronald,Ronald,M,8,171,426,M,931521,EUR,866592000,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
