match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,description,reason,length,playerName,rescinded,injury
13444516,FT,5.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13444516,,5.0,1.0,,90,6.0,,1,,,goal,264441423.0,True,regular,942884.0,Juan Galindrez,,,,,,
13444516,,,,,90,6.0,,1,,,inGamePenalty,118523464.0,True,missed,942884.0,Juan Galindrez,Goalkeeper save,goalkeeperSave,,,,
13444516,,4.0,1.0,,90,3.0,,1,,,goal,264437332.0,True,regular,983004.0,John Murphy,,,,,,
13444516,,,,,90,0.0,,1,,,injuryTime,,,,,,,,5.0,,,
13444516,,,,,88,,,3,,,card,123009003.0,False,yellow,2073861.0,Alexis Santamaria,,Foul,,Alexis Santamaria,False,
13444516,,3.0,1.0,,86,,,5,,,goal,264431154.0,True,regular,942884.0,Juan Galindrez,,,,,,
13444516,,,,,83,,,8,,,substitution,123730524.0,False,regular,,,,,,,,False
13444516,,,,,83,,,8,,,substitution,123730523.0,False,regular,,,,,,,,False
13444516,,,,,83,,,8,,,substitution,123730522.0,True,regular,,,,,,,,False
13444516,,,,,78,,,13,,,substitution,123730515.0,False,regular,,,,,,,,False
13444516,,,,,77,,,14,,,substitution,123730514.0,False,regular,,,,,,,,False
13444516,,2.0,1.0,,73,,,18,,,goal,264416237.0,True,regular,1014820.0,Edwin Munjoma,,,,,,
13444516,,1.0,1.0,,64,,,27,,,goal,264401024.0,False,regular,1825522.0,Mario Fernandez,,,,,,
13444516,,,,,63,,,28,,,card,123008983.0,True,yellow,865060.0,Laurie Bell,,Foul,,Laurie Bell,False,
13444516,,,,,62,,,29,,,substitution,123730466.0,True,regular,,,,,,,,False
13444516,,,,,62,,,29,,,substitution,123730465.0,True,regular,,,,,,,,False
13444516,,,,,62,,,29,,,substitution,123730464.0,True,regular,,,,,,,,False
13444516,,,,,46,,,45,,,substitution,123730425.0,False,regular,,,,,,,,False
13444516,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13444516,,,,,45,0.0,,1,,,injuryTime,,,,,,,,5.0,,,
13444516,,1.0,0.0,,39,,,7,,,goal,264315864.0,True,regular,881511.0,Ferrety Sousa,,,,,,
13444516,,,,,35,,,11,,,card,123008667.0,False,red,2074208.0,Aleksandar Mihov,,Violent conduct,,Aleksandar Mihov,False,
13444516,,,,,31,,,15,,,card,123008617.0,False,yellow,1825522.0,Mario Fernandez,,Foul,,Mario Fernandez,False,
13444516,,,,,22,,,24,,,card,123008506.0,False,yellow,940654.0,Rory Doyle,,Foul,,Rory Doyle,False,
