match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_lastManTackle,stat_outfielderBlock,stat_challengeLost,stat_interceptionWon,captain,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals
14131895,home,CF Estrela Amadora,Renan Ribeiro,renan-ribeiro,R. Ribeiro,G,40,193,156,M,82598,EUR,638150400,G,40,40,False,45.0,37.0,17.0,9.0,0.0,34.0,37.0,3.0,8.0,1.0,1.0,2.0,6.0,3.0,4.0,2.0,1.0,1.0,90.0,57.0,8.0,8.0,0.00888789,0.9414,0,-0.4575,0.21,0.03,-0.19,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131895,home,CF Estrela Amadora,Sidny Lopes Cabral,sidny-lopes-cabral,S. L. Cabral,D,15,176,1269,M,1117723,EUR,1032307200,D,55,55,False,20.0,19.0,1.0,1.0,0.0,11.0,11.0,8.0,9.0,1.0,6.0,2.0,1.0,,,,,,90.0,52.0,6.5,13.0,0.191693,,2,,0.31,0.01,-0.36,,Sidny Lopes Cabral,,7.0,2.0,1.0,6.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0328,1.0,-0.11,,,,,,,,,,,,
14131895,home,CF Estrela Amadora,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,249,M,1002565,EUR,1011484800,D,30,30,False,64.0,56.0,7.0,4.0,0.0,43.0,45.0,13.0,19.0,3.0,3.0,3.0,4.0,,,,,,90.0,73.0,6.3,8.0,0.00523286,,0,,-0.06,0.09,-0.37,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
14131895,home,CF Estrela Amadora,Bernardo Schappo,schappo-bernardo,B. Schappo,D,14,191,188,M,1017590,EUR,922060800,D,14,14,False,45.0,39.0,9.0,3.0,0.0,27.0,28.0,12.0,17.0,1.0,3.0,5.0,3.0,,,,,,74.0,54.0,6.9,7.0,0.00376581,,0,,0.06,0.09,0.39,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
14131895,home,CF Estrela Amadora,Atanas Chernev,chernev-atanas,A. Chernev,D,16,193,204,M,1031642,EUR,1017014400,D,79,79,False,55.0,50.0,5.0,3.0,0.0,39.0,39.0,11.0,16.0,1.0,3.0,1.0,4.0,,,,,,90.0,63.0,6.5,6.0,0.0332352,,1,,0.26,0.03,-0.29,,,,,,2.0,3.0,,1.0,,1.0,1.0,,,1.0,,0.1001,,0.0,,1.0,,,,,,,,,,
14131895,home,CF Estrela Amadora,Jefferson Encada,encada-jefferson,J. Encada,D,17,188,308,M,851283,EUR,892771200,D,17,17,False,41.0,29.0,1.0,,0.0,14.0,19.0,15.0,22.0,1.0,5.0,2.0,2.0,,,,,,90.0,67.0,6.1,20.0,0.0801127,,0,,-0.08,0.12,-0.36,,,,6.0,2.0,1.0,4.0,,3.0,2.0,,2.0,1.0,3.0,,2.0,,1.0,,,,,,,,,,,,,
14131895,home,CF Estrela Amadora,Abraham Marcus,abraham-marcus,A. Marcus,M,99,178,255,M,1090543,EUR,946771200,M,99,99,False,27.0,23.0,1.0,1.0,0.0,13.0,15.0,10.0,12.0,4.0,6.0,,4.0,,,,,,89.0,43.0,6.6,14.0,0.0243243,,2,,0.18,0.03,-0.05,,Abraham Marcus,,3.0,,2.0,6.0,2.0,2.0,,2.0,1.0,1.0,3.0,1.0,1.0,0.0616,,-0.24,,,,,,,,,,,,
14131895,home,CF Estrela Amadora,Paulo Moreira,paulo-daniel-valente-moreira,P. Moreira,M,19,176,52,M,1090646,EUR,950745600,M,19,19,False,38.0,32.0,8.0,4.0,0.0,19.0,19.0,13.0,19.0,,5.0,2.0,4.0,,,,,,90.0,54.0,6.7,9.0,0.0167042,,1,,0.22,0.08,-0.11,,Paulo,Moreira,,,2.0,6.0,2.0,1.0,,1.0,3.0,3.0,,2.0,,0.0203,1.0,-0.03,,,1.0,1.0,,,,,,,,
14131895,home,CF Estrela Amadora,Robson Lucas Oliveira Botelho,oliveira-botelho-robson-lucas,R. L. O. Botelho,M,8,180,75,M,2058164,EUR,1028678400,M,8,8,False,27.0,24.0,3.0,3.0,0.0,14.0,14.0,10.0,13.0,,3.0,1.0,5.0,,,,,,81.0,33.0,6.8,4.0,0.0117726,,0,,0.08,0.13,-0.06,,,,,,1.0,3.0,,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,,
14131895,home,CF Estrela Amadora,Rodrigo Pinho,rodrigo-pinho,Rodrigo Pinho,F,9,185,213,M,801339,EUR,675561600,F,9,9,False,6.0,3.0,1.0,,0.0,2.0,2.0,1.0,4.0,,,1.0,,,,,,,45.0,9.0,6.2,4.0,0.00133975,,1,,-0.06,0.02,0.17,,,,,,3.0,4.0,1.0,,,1.0,,,,,,0.1223,,-0.29,,,,,,,,,,,,
