match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,captain,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_totalOffside,player_firstName,player_lastName,stat_goals,stat_goodHighClaim
12366747,home,Sacramento Republic FC,Danny Vitiello,danny-vitiello,D. Vitiello,G,1,185.0,8,M,1025208,EUR,826070400,G,1,1,False,22.0,17.0,12.0,7.0,0.0,11.0,12.0,6.0,10.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,90.0,38.0,7.1,5.0,0,,,,,,,,,,,,,,,,,,,,,,,
12366747,home,Sacramento Republic FC,Shane Wiedt,shane-wiedt,S. Wiedt,D,4,191.0,2,M,1025204,EUR,806112000,D,6,6,False,62.0,42.0,15.0,4.0,0.0,22.0,28.0,20.0,35.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,,,,,,84.0,72.0,6.2,23.0,0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12366747,home,Sacramento Republic FC,Jared Timmer,jared-timmer,J. Timmer,D,5,183.0,3,M,881855,EUR,862272000,D,5,5,False,53.0,48.0,4.0,3.0,0.0,37.0,39.0,11.0,14.0,,5.0,,4.0,8.0,,,,,,,,90.0,65.0,6.8,6.0,0,,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,,
12366747,home,Sacramento Republic FC,Lee Desmond,lee-desmond,L. Desmond,D,4,183.0,13,M,794001,EUR,790732800,D,4,4,False,47.0,42.0,6.0,5.0,0.0,27.0,28.0,15.0,19.0,3.0,6.0,2.0,4.0,5.0,2.0,2.0,,,,,,90.0,63.0,7.0,7.0,0,,3.0,1.0,4.0,1.0,,,,True,,,,,,,,,,,,,,
12366747,home,Sacramento Republic FC,Jack Gurr,jack-gurr,J. Gurr,M,2,173.0,11,M,1025224,EUR,817344000,M,2,2,False,54.0,39.0,7.0,1.0,1.0,16.0,20.0,24.0,43.0,10.0,6.0,1.0,3.0,6.0,3.0,3.0,,,,,,90.0,99.0,6.9,30.0,2,9.0,1.0,4.0,,1.0,3.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
12366747,home,Sacramento Republic FC,Nick Ross,nick-ross,N. Ross,M,19,175.0,8,M,78861,EUR,689817600,M,19,19,False,51.0,40.0,3.0,1.0,0.0,20.0,21.0,20.0,30.0,3.0,9.0,1.0,,6.0,6.0,2.0,,,,,,90.0,67.0,7.0,13.0,0,,2.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,
12366747,home,Sacramento Republic FC,Luis Fernandes,fernandes-luis,L. Fernandes,M,96,186.0,8,M,844543,EUR,822873600,M,96,96,False,45.0,35.0,,,0.0,12.0,16.0,23.0,30.0,10.0,6.0,1.0,,4.0,2.0,,,,,,,90.0,55.0,6.2,15.0,0,1.0,4.0,1.0,2.0,,4.0,,,,,1.0,3.0,,,,,,,,,,,
12366747,home,Sacramento Republic FC,Aldair Sanchez,aldair-sanchez,A. Sanchez,M,3,173.0,10,M,1025372,EUR,1023321600,M,40,40,False,28.0,23.0,5.0,3.0,0.0,8.0,10.0,16.0,19.0,7.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,89.0,47.0,6.5,9.0,0,1.0,,5.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,
12366747,home,Sacramento Republic FC,Dámia Viader,damia-viader,D. Viader,D,3,178.0,15,M,982840,EUR,887846400,F,3,3,False,12.0,6.0,2.0,1.0,0.0,2.0,2.0,4.0,12.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,45.0,22.0,6.4,11.0,1,2.0,,1.0,,2.0,1.0,,,,,,2.0,,,1.0,,,,,,,,
12366747,home,Sacramento Republic FC,Cristian Agustin Parano Rasguido,parano-rasguido-cristian-agustin,C. A. P. Rasguido,F,10,167.0,26,M,1131717,EUR,934761600,F,10,10,False,40.0,38.0,1.0,1.0,0.0,7.0,7.0,31.0,33.0,8.0,7.0,2.0,,4.0,,,,,,,,89.0,60.0,7.0,8.0,5,,1.0,7.0,,2.0,2.0,,,,,,1.0,4.0,,2.0,2.0,2.0,1.0,,,,,
12366747,home,Sacramento Republic FC,Kieran Phillips,kieran-phillips,K. Phillips,F,11,181.0,26,M,991589,EUR,950832000,F,23,23,False,4.0,2.0,1.0,,0.0,,,2.0,4.0,6.0,4.0,,1.0,,1.0,,,,,,,69.0,16.0,6.5,8.0,0,,1.0,4.0,,,1.0,,1.0,,,1.0,2.0,2.0,,,,2.0,,1.0,,,,
12366747,home,Sacramento Republic FC,Juan Sebastian Herrera,juan-sebastian-herrera,J. S. Herrera,F,9,178.0,40,M,927105,EUR,783907200,F,9,9,True,13.0,9.0,,,0.0,2.0,3.0,7.0,10.0,3.0,3.0,,3.0,,,,,,,,,45.0,21.0,7.3,7.0,1,,2.0,,,1.0,2.0,1.0,,,,,2.0,,,,,1.0,1.0,,,,1.0,
12366747,home,Sacramento Republic FC,Trevor Amann,trevor-amann,T. Amann,F,7,185.0,72,M,935934,EUR,894153600,F,7,7,True,,,,,0.0,,,,1.0,4.0,,1.0,1.0,,,,,,,,,21.0,7.0,6.6,2.0,1,1.0,,,,,1.0,,,,,2.0,,,,1.0,,1.0,,2.0,,,,
12366747,home,Sacramento Republic FC,Jonathan Ricketts,jonathan-ricketts,J. Ricketts,D,2,185.0,4,M,1019842,EUR,879984000,D,17,17,True,1.0,1.0,,,0.0,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,14.0,4.0,6.5,1.0,1,,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,
12366747,home,Sacramento Republic FC,Conor Donovan,conor-donovan,C. Donovan,D,20,188.0,6,M,790162,EUR,821059200,D,24,24,True,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,2.0,,,,,,,,,,,,1.0,2.0,,,0,,,,,,,,,,,2.0,,,,,,,,,,,,
12366747,home,Sacramento Republic FC,Blake Willey,blake-willey,B. Willey,M,20,168.0,17,M,1489939,EUR,1177718400,M,20,20,True,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,Blake Willey,,,
12366747,home,Sacramento Republic FC,Jared Mazzola,jared-mazzola,J. Mazzola,G,99,,5,M,1397695,EUR,917136000,G,99,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Jared Mazzola,,,
12366747,home,Sacramento Republic FC,Rafael Jauregui,rafael-jauregui,R. Jauregui,M,,175.0,13,M,1046369,EUR,1103500800,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Rafael Jauregui,,,
12366747,away,Seattle Sounders FC,Andrew Thomas,andrew-thomas,A. Thomas,G,26,188.0,73,M,1126470,EUR,904608000,G,26,26,False,29.0,12.0,24.0,7.0,0.0,7.0,9.0,5.0,20.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,,1.0,1.0,1.0,,90.0,38.0,6.7,17.0,0,,,,,,,,,,,,,,,,,,,,Andrew Thomas,,,2.0
12366747,away,Seattle Sounders FC,Cristian Roldán,cristian-roldan,C. Roldán,M,7,172.0,510,M,790171,EUR,802137600,D,7,7,False,65.0,54.0,11.0,6.0,0.0,24.0,26.0,30.0,40.0,4.0,16.0,1.0,4.0,3.0,5.0,3.0,,,,,,90.0,98.0,8.3,18.0,0,1.0,2.0,7.0,2.0,3.0,1.0,,2.0,True,,1.0,,6.0,,,,1.0,,,,,,
12366747,away,Seattle Sounders FC,Yeimar Gómez,yeimar-gomez-andrade,Y. Gómez,D,28,187.0,295,M,754136,EUR,709862400,D,28,28,False,38.0,34.0,2.0,,0.0,28.0,29.0,6.0,9.0,3.0,3.0,,3.0,5.0,3.0,2.0,,,,,,90.0,54.0,7.2,5.0,1,,,,6.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,
