match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_lastManTackle,stat_wonTackle,stat_fouls,stat_unsuccessfulTouch,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,player_sofascoreId,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12624376,home,Al-Ettifaq,Marek Rodák,marek-rodak,M. Rodák,G,1,188.0,518,M,358694,EUR,850435200.0,G,1,1,False,35.0,32.0,9.0,6.0,0.0,32.0,33.0,2.0,1.0,1.0,7.0,3.0,4.0,4.0,90.0,48.0,7.7,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624376,home,Al-Ettifaq,Madallah Al-Olayan,madallah-al-olayan,M. Al-Olayan,D,33,170.0,81,M,818813,EUR,777772800.0,D,33,33,False,64.0,53.0,3.0,3.0,1.0,25.0,25.0,41.0,1.0,5.0,8.0,,,,84.0,88.0,7.3,16.0,0,28.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12624376,home,Al-Ettifaq,Jack Hendry,jack-hendry,J. Hendry,D,4,195.0,333,M,795696,EUR,799804800.0,D,4,4,False,62.0,59.0,5.0,3.0,0.0,46.0,46.0,16.0,2.0,4.0,3.0,,,,90.0,78.0,7.5,3.0,0,13.0,,2.0,,,,,5.0,2.0,2.0,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
12624376,home,Al-Ettifaq,Abdullah Al Khateeb,abdullah-al-khateeb,A. A. Khateeb,D,70,173.0,38,M,920498,EUR,794966400.0,D,70,70,False,64.0,62.0,3.0,2.0,0.0,50.0,52.0,12.0,,,5.0,,,,90.0,80.0,6.9,4.0,0,12.0,,2.0,,,,,9.0,1.0,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,
12624376,home,Al-Ettifaq,Radhi Al-Oteibi,radhi-al-oteibi,R. Al-Oteibi,D,61,170.0,28,M,963642,EUR,960768000.0,D,61,61,False,39.0,31.0,6.0,1.0,0.0,11.0,15.0,25.0,,2.0,3.0,,,,90.0,61.0,6.7,17.0,0,20.0,1.0,6.0,1.0,,3.0,,,1.0,1.0,1.0,2.0,,,1.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,,
12624376,home,Al-Ettifaq,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600.0,M,10,10,False,53.0,43.0,5.0,2.0,1.0,21.0,23.0,33.0,2.0,4.0,6.0,,,,90.0,74.0,6.9,19.0,2,23.0,3.0,9.0,1.0,1.0,4.0,,1.0,,,1.0,2.0,,,3.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,
12624376,home,Al-Ettifaq,Mukhtar Ali,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600.0,M,6,6,False,68.0,58.0,10.0,8.0,0.0,28.0,32.0,36.0,,3.0,4.0,,,,90.0,79.0,7.5,10.0,0,30.0,,1.0,1.0,,3.0,,3.0,1.0,,,1.0,,,,2.0,,,,,,3.0,,,,,,,,,,
12624376,home,Al-Ettifaq,Jalal Adel Al-Salem,jalal-adel-al-salem,J. A. Al-Salem,F,24,180.0,21,M,1797652,EUR,1118534400.0,M,26,26,False,30.0,24.0,1.0,,0.0,7.0,8.0,27.0,,7.0,4.0,,,,75.0,49.0,7.3,13.0,0,18.0,5.0,3.0,,2.0,6.0,,,1.0,,1.0,1.0,Jalal Adel Al-Salem,,,,,,1.0,1.0,1.0,6.0,,,,,,,,,,
12624376,home,Al-Ettifaq,Georginio Wijnaldum,georginio-wijnaldum,G. Wijnaldum,M,8,175.0,8339,M,22126,EUR,658281600.0,M,8,8,False,33.0,27.0,1.0,1.0,0.0,6.0,6.0,27.0,2.0,4.0,3.0,,,,90.0,45.0,6.7,11.0,2,21.0,,3.0,,1.0,1.0,,3.0,,2.0,,1.0,,,1.0,,,1.0,,2.0,,,2.0,,gwijnaldum,True,1.0,,,,,
12624376,home,Al-Ettifaq,Demarai Gray,demarai-gray,D. Gray,M,10,184.0,1784,M,355152,EUR,835920000.0,M,11,11,False,20.0,17.0,1.0,1.0,0.0,4.0,5.0,18.0,,1.0,1.0,,,,75.0,29.0,6.6,8.0,2,13.0,3.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
