match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_aerialLost,stat_totalContest,stat_wonContest,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_dispossessed,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyConceded,stat_totalOffside,stat_lastManTackle,stat_errorLeadToAShot,stat_hitWoodwork
12625003,home,Al-Kholood,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188.0,626,M,39427,EUR,537494400,G,34,34,False,True,22.0,11.0,19.0,8.0,0.0,7.0,10.0,4.0,12.0,3.0,2.0,5.0,1.0,5.0,1.0,1.0,90.0,31.0,7.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625003,home,Al-Kholood,Abdulrahman Al-Safri,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000,D,8,8,False,,22.0,17.0,2.0,1.0,0.0,10.0,14.0,7.0,8.0,3.0,,,,,,,78.0,42.0,6.3,7.0,0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12625003,home,Al-Kholood,William Troost-Ekong,william-troost-ekong,W. Troost-Ekong,D,5,191.0,2266,M,338991,EUR,746841600,D,5,5,False,,23.0,17.0,6.0,2.0,0.0,13.0,15.0,4.0,8.0,9.0,1.0,,,,,,90.0,40.0,6.4,7.0,1,,2.0,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12625003,home,Al-Kholood,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,23,189.0,303,M,224456,EUR,710121600,D,23,23,False,,13.0,9.0,1.0,,0.0,7.0,10.0,2.0,3.0,11.0,2.0,,,,,,90.0,33.0,6.7,6.0,1,1.0,5.0,,,3.0,1.0,,,,,,1.0,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
12625003,home,Al-Kholood,Hassan Al-Asmari,hassan-al-asmari,H. Al-Asmari,D,12,,11,M,1085419,EUR,1033862400,D,12,12,False,,20.0,11.0,5.0,1.0,0.0,4.0,9.0,7.0,11.0,2.0,1.0,,,,,,45.0,33.0,6.1,13.0,0,4.0,1.0,2.0,1.0,1.0,,,Hassan Al-Asmari,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,
12625003,home,Al-Kholood,Kévin N'Doram,kevin-ndoram,K. N'Doram,M,96,184.0,92,M,823476,EUR,822268800,M,96,96,False,,29.0,24.0,2.0,1.0,0.0,16.0,18.0,8.0,11.0,5.0,7.0,,,,,,90.0,44.0,7.1,5.0,0,1.0,4.0,,,4.0,,1.0,,,,,,3.0,,,,2.0,,1.0,,,,,,,,,,,,,
12625003,home,Al-Kholood,Abdulfattah Asiri,abdulfattah-asiri,A. Asiri,M,,167.0,63,M,374524,EUR,762220800,M,45,45,False,,18.0,14.0,1.0,1.0,0.0,8.0,10.0,7.0,10.0,,5.0,,,,,,64.0,42.0,7.1,11.0,1,3.0,7.0,,,,3.0,1.0,,,,,1.0,,,6.0,4.0,,4.0,2.0,2.0,1.0,,,,,,,,,,,
12625003,home,Al-Kholood,Alex Collado,alex-collado,A. Collado,M,8,177.0,1606,M,859767,EUR,924739200,M,10,10,False,,36.0,34.0,2.0,1.0,0.0,15.0,16.0,19.0,21.0,,9.0,,,,,,90.0,65.0,6.9,14.0,0,7.0,15.0,,,6.0,5.0,,Alex,Collado,,,,,,10.0,4.0,4.0,3.0,,1.0,,1.0,,,,,,,,,,
12625003,home,Al-Kholood,Aliou Dieng,aliou-dieng,A. Dieng,M,23,184.0,13659,M,933780,EUR,876960000,M,15,15,False,,42.0,36.0,3.0,1.0,0.0,22.0,24.0,14.0,18.0,3.0,8.0,,,,,,90.0,55.0,6.4,11.0,0,4.0,1.0,,,1.0,,,,,,,,1.0,,3.0,,1.0,1.0,1.0,,,1.0,alioudieng_18,,,,,,,,,
12625003,home,Al-Kholood,Myziane Maolida,maolida-myziane,M. Maolida,M,9,180.0,638,M,851262,EUR,918950400,M,9,9,False,,28.0,25.0,1.0,1.0,0.0,17.0,17.0,8.0,12.0,,7.0,,,,,,89.0,50.0,8.7,9.0,3,5.0,5.0,,,1.0,1.0,,,,,,2.0,5.0,1.0,6.0,3.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,
