match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_wasFouled,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_goals,captain,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_outfielderBlock,stat_clearanceOffLine,stat_totalOffside
12764127,home,Tottenham Hotspur,Brandon Austin,,,austin-brandon,B. Austin,G,40,188.0,1395,M,859896,EUR,915753600,G,40,40,False,19.0,17.0,5.0,3.0,0.0,15.0,15.0,2.0,4.0,1.0,5.0,1.0,1.0,90.0,23.0,6.8,2.0,0.00029449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Pedro Porro,,,pedro-porro,P. Porro,D,23,173.0,10892,M,913654,EUR,937180800,D,23,23,False,108.0,95.0,6.0,3.0,0.0,24.0,25.0,73.0,90.0,1.0,10.0,,,90.0,138.0,8.5,19.0,0.530944,3,pedroporro29,7.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.1547,0.1558,2.0,,,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Archie Gray,Archie Gray,,archie-gray,A. Gray,D,14,187.0,5628,M,1142335,EUR,1142121600,D,14,14,False,110.0,107.0,2.0,1.0,0.0,45.0,47.0,62.0,63.0,1.0,5.0,,,90.0,114.0,7.2,3.0,0.0287407,0,ArchieGray06,,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Micky van de Ven,,,micky-van-de-ven,M. van de Ven,D,37,193.0,12553,M,998247,EUR,987638400,D,37,37,False,70.0,69.0,2.0,2.0,0.0,25.0,25.0,44.0,45.0,1.0,5.0,,,45.0,74.0,7.1,2.0,0.0310026,0,mickyvdven,,,3.0,1.0,4.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Ben Davies,,,ben-davies,B. Davies,D,33,181.0,2686,M,94758,EUR,735609600,D,33,33,False,106.0,103.0,3.0,1.0,0.0,27.0,27.0,76.0,80.0,1.0,1.0,,,90.0,121.0,7.8,6.0,0.0643931,2,,1.0,,,3.0,2.0,1.0,1.0,,,,1.0,1.0,,2.0,2.0,0.0598,0.0329,1.0,1.0,,1.0,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Pape Matar Sarr,,,pape-matar-sarr,P. M. Sarr,M,29,185.0,32532,M,1002711,EUR,1031961600,M,29,29,False,80.0,75.0,2.0,1.0,0.0,16.0,16.0,59.0,65.0,,5.0,,,90.0,92.0,7.8,11.0,0.119291,1,pape,1.0,,4.0,4.0,8.0,2.0,,2.0,1.0,,1.0,,,3.0,3.0,0.093,,3.0,1.0,,4.0,1.0,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Rodrigo Bentancur,,,bentancur-rodrigo,R. Bentancur,M,30,187.0,8288,M,791190,EUR,867196800,M,30,30,False,60.0,58.0,2.0,2.0,0.0,18.0,18.0,40.0,43.0,1.0,6.0,,,45.0,69.0,7.3,5.0,0.0464063,0,rodrigo_bentancur,1.0,,2.0,2.0,5.0,2.0,,1.0,1.0,,,,2.0,2.0,2.0,,,,,,2.0,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Lucas Bergvall,,,bergvall-lucas,L. Bergvall,M,15,186.0,9216,M,1391251,EUR,1138838400,M,15,15,False,65.0,61.0,2.0,2.0,1.0,13.0,14.0,48.0,53.0,,4.0,,,90.0,77.0,7.6,9.0,0.0908305,1,lucasbergvall,2.0,,1.0,6.0,3.0,,,2.0,,,1.0,,1.0,2.0,2.0,0.1129,0.1157,3.0,3.0,,1.0,1.0,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Mikey Moore,,,mikey-moore,M. Moore,F,47,180.0,3947,M,1403192,EUR,1186790400,F,47,47,False,34.0,29.0,,,0.0,3.0,3.0,26.0,35.0,,1.0,,,90.0,64.0,7.1,25.0,0.0809706,4,,4.0,,,10.0,4.0,,5.0,6.0,2.0,,3.0,1.0,,,,0.2596,0.916,1.0,,2.0,5.0,1.0,1.0,1.0,,,,,,,,,
12764127,home,Tottenham Hotspur,Richarlison,,,richarlison,Richarlison,F,9,184.0,44389,M,840217,EUR,863222400,F,9,9,False,17.0,14.0,1.0,1.0,0.0,4.0,4.0,10.0,13.0,1.0,3.0,,,81.0,28.0,7.1,6.0,0.261679,3,Richarlison,,,2.0,8.0,6.0,1.0,2.0,,,3.0,,,,1.0,,0.1791,,,5.0,3.0,1.0,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Heung-min Son,,,heung-min-son,H. M. Son,F,7,184.0,116471,M,111505,EUR,710553600,F,7,7,False,37.0,30.0,,,0.0,1.0,2.0,29.0,44.0,,2.0,,,45.0,66.0,8.5,19.0,0.400133,3,HMSon,9.0,,,1.0,11.0,,,11.0,10.0,,1.0,2.0,,,,0.2393,0.4372,3.0,,1.0,1.0,,,,True,1.0,,,,,,,
12764127,home,Tottenham Hotspur,Radu Drăguşin,,,radu-dragusin,R. Drăguşin,D,3,191.0,13712,M,997103,EUR,1012694400,D,6,6,True,16.0,13.0,1.0,,0.0,7.0,9.0,6.0,7.0,1.0,2.0,,,21.0,19.0,6.5,4.0,0.00147008,0,radudragusin5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Dejan Kulusevski,,,dejan-kulusevski,D. Kulusevski,M,21,186.0,11670,M,928124,EUR,956620800,M,21,21,True,17.0,14.0,1.0,1.0,1.0,3.0,3.0,12.0,17.0,,2.0,,,45.0,33.0,7.1,12.0,0.343597,2,dejan_k10,3.0,1.0,,6.0,2.0,,1.0,2.0,,,1.0,1.0,,,,0.0612,0.0195,2.0,1.0,2.0,4.0,2.0,,,,1.0,,,,,,,
12764127,home,Tottenham Hotspur,Yves Bissouma,,,yves-bissouma,Y. Bissouma,M,8,181.0,19161,M,844842,EUR,841363200,M,8,8,True,58.0,56.0,1.0,,0.0,13.0,14.0,43.0,44.0,2.0,1.0,,,45.0,62.0,6.9,3.0,0.022858,0,YB8,,,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Dane Scarlett,,,scarlett-dane,D. Scarlett,F,44,180.0,2424,M,998772,EUR,1080086400,F,44,44,True,4.0,4.0,,,1.0,,,4.0,4.0,1.0,1.0,,,24.0,9.0,8.2,1.0,0.0825303,1,,,,1.0,1.0,3.0,,,,,,1.0,,,1.0,1.0,0.208,0.6137,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
12764127,home,Tottenham Hotspur,Oyindamola Ajayi,,,ajayi-oyindamola,O. Ajayi,F,25,176.0,701,M,1403125,EUR,1135641600,F,63,63,True,5.0,5.0,,,0.0,2.0,2.0,3.0,3.0,,1.0,,,9.0,6.0,7.6,,0.0400359,1,,,,,,,,,,,,1.0,,,,,0.1154,0.6479,1.0,,,,,,1.0,,,,,,,,,
12764127,home,Tottenham Hotspur,Fraser Forster,,,fraser-forster,F. Forster,G,17,201.0,1214,M,19314,EUR,574560000,G,20,20,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Alfie Whiteman,,,alfie-whiteman,A. Whiteman,G,,189.0,578,M,822504,EUR,907286400,G,41,41,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Dante Cassanova,,,dante-cassanova,D. Cassanova,D,8,,281,M,1187495,EUR,1087776000,D,59,59,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764127,home,Tottenham Hotspur,Malachi Hardy,Malachi Hardy,,malachi-hardy,M. Hardy,D,4,188.0,533,M,1471592,EUR,1205107200,D,79,79,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
