match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalContest,stat_blockedScoringAttempt,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_goals,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves
12530815,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,14.0,9.0,8.0,3.0,0.0,6.0,6.0,3.0,8.0,2.0,6.0,1.0,1.0,1.0,90.0,21.0,5.8,6.0,0.00040952,0,-1.5568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530815,home,Hatayspor,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,K. A. Çörekçi,D,22,173,57,M,124728,EUR,696902400,D,2,2,False,45.0,38.0,3.0,1.0,0.0,23.0,24.0,15.0,22.0,3.0,4.0,,,,90.0,66.0,6.3,12.0,0.0170225,0,,,,True,1.0,1.0,1.0,5.0,6.0,1.0,3.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12530815,home,Hatayspor,Recep Burak Yılmaz,recep-burak-yilmaz,R. B. Yılmaz,D,15,185,31,M,904172,EUR,817430400,D,15,15,False,40.0,36.0,3.0,2.0,0.0,31.0,33.0,5.0,7.0,3.0,3.0,,,,90.0,52.0,7.0,4.0,0.00309302,1,,,,,,,4.0,1.0,7.0,,,3.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,0.1925,0.9132,1.0,,,,,,,,,,,,,,,
12530815,home,Hatayspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,4,4,False,57.0,41.0,15.0,6.0,0.0,24.0,30.0,17.0,29.0,7.0,8.0,,,,90.0,80.0,6.9,21.0,0.0166369,1,,,,,2.0,,4.0,3.0,9.0,1.0,,4.0,4.0,1.0,,,,,,2.0,0.0281,,,1.0,2.0,,,,,,,,,,,,,
12530815,home,Hatayspor,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186,55,M,929956,EUR,947116800,D,88,88,False,19.0,16.0,2.0,,0.0,9.0,11.0,7.0,8.0,,2.0,,,,35.0,35.0,7.0,5.0,0.00287819,0,,,,,,,,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12530815,home,Hatayspor,Lamine Diack,lamine-diack,L. Diack,M,25,186,193,M,982317,EUR,974246400,M,17,17,False,49.0,43.0,6.0,6.0,0.0,14.0,15.0,29.0,34.0,,6.0,,,,90.0,63.0,7.0,10.0,0.0389937,2,,,,,,,,4.0,6.0,2.0,,4.0,2.0,2.0,,,1.0,,,1.0,0.1,,,1.0,2.0,1.0,1.0,,,,,,,,,,,
12530815,home,Hatayspor,Bilal Boutobba,bilal-boutobba,B. Boutobba,M,98,172,465,M,769163,EUR,904348800,M,98,98,False,46.0,35.0,2.0,,0.0,9.0,12.0,30.0,40.0,1.0,11.0,,,,90.0,74.0,7.4,20.0,0.594459,3,,,,,6.0,2.0,,8.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,2.0,,2.0,0.4976,0.1159,7.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,
12530815,home,Hatayspor,Görkem Sağlam,gorkem-saglam,G. Sağlam,M,61,175,118,M,795001,EUR,892252800,M,5,5,False,28.0,23.0,3.0,2.0,0.0,6.0,8.0,18.0,22.0,1.0,4.0,,,,71.0,38.0,7.0,10.0,0.276905,1,,,,,2.0,,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,0.0923,0.1757,2.0,,2.0,,,1.0,,1.0,,,,,,,,
12530815,home,Hatayspor,Rui Pedro,rui-pedro,R. Pedro,M,,182,143,M,862672,EUR,890352000,M,14,14,False,28.0,23.0,2.0,2.0,0.0,12.0,13.0,11.0,15.0,,1.0,,,,77.0,39.0,6.6,8.0,0.0425735,2,,,,,,,,2.0,2.0,,1.0,,,2.0,2.0,,,,,1.0,0.4047,0.3391,,,2.0,,,,,,1.0,1.0,,,,,,
12530815,home,Hatayspor,Joelson Fernandes,joelson-fernandes,J. Fernandes,M,11,172,481,M,1032547,EUR,1046390400,M,77,77,False,18.0,14.0,1.0,1.0,0.0,6.0,7.0,9.0,15.0,,6.0,,,,71.0,35.0,6.3,15.0,0.0753379,0,,Joelson Mendes,,,4.0,,,4.0,,,1.0,,,,,,,1.0,,2.0,,,1.0,,6.0,1.0,,1.0,,,,,,,,,,
