match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_fouls,stat_totalOffside,captain,stat_outfielderBlock,stat_wasFouled,stat_penaltyWon,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAShot,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId,stat_hitWoodwork
11451122,home,Pendikspor,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,1,1,False,33.0,26.0,12.0,5.0,24.0,26.0,2.0,7.0,1.0,6.0,3.0,3.0,1.0,1.0,90.0,39.0,7.0,7.0,0.0,0.0,0.00105477,0,0.9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451122,home,Pendikspor,Serkan Asan,,,serkan-asan,S. Asan,D,61,170,62,M,952726,EUR,925257600,D,61,61,False,40.0,31.0,5.0,1.0,21.0,24.0,11.0,19.0,3.0,2.0,,,,,90.0,66.0,6.8,18.0,0.0087,0.0,0.0178441,1,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11451122,home,Pendikspor,Berkay Sülüngöz,,,berkay-sulungoz,B. Sülüngöz,D,5,185,7,M,839895,EUR,732758400,D,20,20,False,65.0,57.0,5.0,2.0,48.0,51.0,9.0,14.0,2.0,7.0,,,,,90.0,76.0,6.5,9.0,0.0265,0.0,0.00376119,1,,,,4.0,2.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11451122,home,Pendikspor,Welinton,,,welinton,Welinton,D,,181,86,M,76529,EUR,608169600,D,23,23,False,68.0,54.0,13.0,5.0,45.0,48.0,9.0,20.0,4.0,10.0,,,,,90.0,86.0,6.8,18.0,0.0,0.0,0.00700168,0,,,,5.0,2.0,,,,3.0,,,2.0,,,3.0,,,2.0,,True,1.0,2.0,,,,,,,,,,,
11451122,home,Pendikspor,Nuno Sequeira,,,nuno-sequeira,N. Sequeira,D,6,184,51,M,170117,EUR,651024000,D,6,6,False,37.0,30.0,6.0,3.0,15.0,18.0,16.0,21.0,2.0,3.0,,,,,90.0,58.0,7.4,12.0,0.0,0.0,0.0243713,0,,2.0,1.0,4.0,4.0,,,,1.0,3.0,2.0,2.0,,,3.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
11451122,home,Pendikspor,Óscar Romero,,,oscar-romero,Ó. Romero,M,11,176,1674,M,146416,EUR,710208000,M,10,10,False,34.0,26.0,6.0,3.0,7.0,10.0,20.0,28.0,1.0,2.0,,,,,90.0,60.0,7.3,19.0,0.8765,1.3647,0.0710977,4,,4.0,1.0,8.0,4.0,3.0,2.0,1.0,1.0,1.0,,3.0,1.0,,2.0,3.0,,1.0,1.0,,,1.0,,,3.0,1.0,,,,,,,
11451122,home,Pendikspor,Fredrik Midtsjø,,,fredrik-midtsjo,F. Midtsjø,M,,176,251,M,98198,EUR,745027200,M,18,18,False,32.0,21.0,4.0,2.0,9.0,13.0,12.0,19.0,,4.0,,,,,85.0,48.0,6.4,19.0,0.0,0.0,0.0116007,0,,,,9.0,7.0,4.0,2.0,,,3.0,1.0,2.0,1.0,1.0,,4.0,,2.0,,,,1.0,,,,,,,,,,,
11451122,home,Pendikspor,Josip Vuković,,,josip-vukovic,J. Vuković,M,44,186,113,M,137635,EUR,704764800,M,4,4,False,50.0,44.0,6.0,3.0,28.0,32.0,16.0,18.0,4.0,13.0,,,,,90.0,60.0,6.8,7.0,0.0,0.0,0.109013,0,,,,4.0,5.0,,,,,2.0,1.0,,,,1.0,1.0,,2.0,,,,3.0,,1.0,,,,,,,,,
11451122,home,Pendikspor,Arnaud Lusamba,,,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,66,66,False,21.0,17.0,1.0,1.0,7.0,8.0,10.0,13.0,,,,,,,74.0,24.0,6.7,5.0,0.0,0.0,0.0329429,0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
11451122,home,Pendikspor,Endri Çekiçi,,,endri-cekici,E. Çekiçi,M,22,179,229,M,187153,EUR,848707200,M,8,8,False,21.0,19.0,1.0,,3.0,4.0,17.0,19.0,,1.0,,,,,65.0,31.0,6.9,4.0,0.0215,0.0,0.0824985,1,,2.0,1.0,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,,1.0,,,,,,,,,
