match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_outfielderBlock,stat_goalAssist,stat_dispossessed,stat_fouls,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed
11204755,home,Detroit City FC,Nathan Steinwascher,nathan-steinwascher,N. Steinwascher,G,1,183.0,1,M,935961,EUR,729734400.0,G,1,1,False,35.0,22.0,25.0,12.0,13.0,16.0,9.0,19.0,1.0,2.0,13.0,1.0,1.0,1.0,2.0,3.0,90.0,45.0,6.2,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11204755,home,Detroit City FC,Michael Bryant,michael-bryant,M. Bryant,D,12,186.0,2,M,935736,EUR,796780800.0,D,12,12,False,49.0,31.0,12.0,5.0,20.0,29.0,11.0,21.0,13.0,3.0,8.0,3.0,,,,,90.0,76.0,6.9,22.0,1,,,1.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,
11204755,home,Detroit City FC,Stephen Carroll,stephen-carroll,S. Carroll,D,5,185.0,3,M,935954,EUR,754617600.0,D,5,5,False,29.0,17.0,10.0,4.0,11.0,16.0,6.0,13.0,4.0,3.0,4.0,,,,,,90.0,37.0,6.5,12.0,0,,,,,4.0,,,,,2.0,,,True,1.0,,,,,,,,,,,,,,
11204755,home,Detroit City FC,Devon Amoo-Mensah,devon-amoo-mensah,D. Amoo-Mensah,D,30,183.0,6,M,1189136,EUR,817430400.0,D,30,30,False,41.0,34.0,4.0,2.0,17.0,21.0,17.0,20.0,5.0,2.0,4.0,2.0,1.0,,,,90.0,54.0,6.3,11.0,0,Devon Amoo-Mensah,,,1.0,3.0,6.0,1.0,,,,1.0,,,,1.0,1.0,3.0,1.0,,,,,,,,,,
11204755,home,Detroit City FC,Oniel Fisher,oniel-fisher,O. Fisher,M,,175.0,19,,790169,EUR,690768000.0,M,91,91,False,23.0,17.0,1.0,,9.0,9.0,9.0,19.0,4.0,,6.0,1.0,1.0,,,,80.0,53.0,6.3,17.0,1,,,5.0,,,7.0,4.0,1.0,1.0,,3.0,2.0,,,,1.0,3.0,1.0,1.0,,,,,,,,,
11204755,home,Detroit City FC,Maxi Rodríguez,maxi-rodriguez,M. Rodríguez,M,21,180.0,10,M,883653,EUR,807926400.0,M,21,21,False,50.0,31.0,14.0,5.0,15.0,17.0,17.0,35.0,8.0,,7.0,2.0,2.0,,,,80.0,63.0,6.2,25.0,0,,,2.0,1.0,3.0,5.0,,,,,1.0,3.0,,,,4.0,,1.0,1.0,,,,,,,,,
11204755,home,Detroit City FC,Abdoulaye Diop,abdoulaye-diop,A. Diop,M,8,183.0,4,M,1025226,EUR,937526400.0,M,8,8,False,45.0,35.0,6.0,3.0,19.0,23.0,16.0,23.0,3.0,1.0,9.0,2.0,2.0,,,,90.0,65.0,6.4,17.0,0,,,1.0,,,2.0,1.0,,,,3.0,1.0,,,,1.0,,,,,,,,,,,,
11204755,home,Detroit City FC,Adrian Billhardt,adrian-billhardt,A. Billhardt,F,20,173.0,9,M,845538,EUR,877046400.0,M,19,19,False,32.0,25.0,3.0,1.0,7.0,7.0,18.0,32.0,9.0,,6.0,2.0,2.0,,,,81.0,65.0,6.7,22.0,0,,,7.0,2.0,2.0,7.0,5.0,3.0,,,1.0,2.0,,2.0,,2.0,,,,1.0,,,,,,,,
11204755,home,Detroit City FC,Connor Rutz,connor-rutz,C. Rutz,F,11,185.0,1,M,1190512,EUR,860544000.0,F,11,11,False,30.0,19.0,1.0,,8.0,11.0,11.0,20.0,7.0,,1.0,2.0,1.0,,,,90.0,48.0,6.7,15.0,3,Connor Rutz,,1.0,4.0,5.0,9.0,,,,,1.0,,,1.0,,2.0,4.0,,,,1.0,2.0,,,,,,
11204755,home,Detroit City FC,Yazeed Matthews,yazeed-matthews,Y. Matthews,F,,185.0,3,M,1396439,EUR,830131200.0,F,27,27,False,18.0,11.0,,,2.0,3.0,9.0,16.0,7.0,,1.0,1.0,1.0,,,,78.0,32.0,7.4,10.0,2,Yazeed Matthews,,1.0,4.0,2.0,5.0,3.0,2.0,1.0,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,
