match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceCreated,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_punches
11396211,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,34.0,28.0,14.0,8.0,21.0,23.0,7.0,11.0,1.0,1.0,15.0,1.0,1.0,3.0,4.0,1.0,1.0,90.0,44.0,6.9,6.0,0.0039952,0,-1.7309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396211,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,56.0,47.0,3.0,,24.0,26.0,24.0,31.0,6.0,10.0,6.0,,,,,,,71.0,71.0,8.4,9.0,0.36145,3,,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.1666,0.1823,2.0,,,,,,,,,,,,,
11396211,home,TSG Hoffenheim,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,755,M,186719,EUR,807753600,D,11,11,False,,101.0,92.0,7.0,4.0,38.0,40.0,54.0,63.0,,2.0,5.0,,,,,,,90.0,120.0,6.9,14.0,0.0473339,1,,2.0,,3.0,5.0,1.0,,,,1.0,,4.0,,4.0,,,,0.0154,,2.0,1.0,2.0,2.0,,,,,,,,,,
11396211,home,TSG Hoffenheim,Tim Drexler,drexler-tim,T. Drexler,D,21,185,185,M,1152499,EUR,1110067200,D,35,35,False,,94.0,85.0,4.0,1.0,39.0,41.0,46.0,53.0,1.0,3.0,2.0,,,,,,,90.0,100.0,6.2,10.0,0.0206435,0,,,,5.0,8.0,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,2.0,,1.0,Tim Drexler,,,,,,,,,
11396211,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,M,3,3,False,,43.0,36.0,1.0,,11.0,11.0,26.0,38.0,1.0,3.0,1.0,,,,,,,90.0,67.0,6.9,14.0,0.0520788,3,,6.0,1.0,2.0,4.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,0.2069,0.1218,,1.0,1.0,1.0,,,,,,,,,,
11396211,home,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,,43.0,37.0,2.0,,10.0,11.0,28.0,34.0,3.0,5.0,4.0,,,,,,,84.0,58.0,7.8,10.0,0.115081,4,,2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,0.3772,0.6282,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,
11396211,home,TSG Hoffenheim,Umut Tohumcu,umut-tohumcu,U. Tohumcu,M,8,176,432,M,1083410,EUR,1092182400,M,40,40,False,,55.0,51.0,3.0,1.0,17.0,17.0,34.0,38.0,,3.0,7.0,,,,,,,90.0,64.0,6.6,7.0,0.101689,0,,,,,4.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,2.0,Umut Tohumcu,,3.0,,,,,,,
11396211,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,,35.0,32.0,1.0,1.0,3.0,4.0,32.0,35.0,,6.0,4.0,,,,,,,84.0,61.0,8.8,10.0,0.459571,6,,4.0,3.0,,1.0,3.0,2.0,2.0,3.0,1.0,,2.0,,,2.0,1.0,,0.3662,0.3563,6.0,,5.0,2.0,,,,1.0,andrejkramaric,1.0,,,,
11396211,home,TSG Hoffenheim,Robert Skov,robert-skov,R. Skov,M,24,183,755,M,327863,EUR,832550400,M,29,29,False,,64.0,56.0,1.0,,20.0,20.0,36.0,46.0,1.0,2.0,4.0,,,,,,,89.0,88.0,7.4,12.0,0.236835,4,,2.0,,2.0,4.0,1.0,,2.0,,2.0,,2.0,,1.0,1.0,1.0,1.0,0.1263,,2.0,,1.0,,,,,,,1.0,,,,
11396211,home,TSG Hoffenheim,Wout Weghorst,wout-weghorst,W. Weghorst,F,25,197,6772,M,252215,EUR,713145600,F,10,10,False,,38.0,32.0,1.0,,6.0,7.0,26.0,31.0,3.0,4.0,2.0,,,,,,,90.0,47.0,8.0,9.0,0.0853953,2,,,,3.0,3.0,,,1.0,1.0,,1.0,,,,,,,0.6956,0.4416,2.0,,3.0,1.0,,,,,wout.weghorst,1.0,1.0,1.0,1.0,
