match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_wasFouled,player_lastName,captain,stat_challengeLost,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalCross,stat_goals,stat_bigChanceMissed,stat_outfielderBlock,stat_totalOffside,stat_aerialWon,stat_shotOffTarget,stat_hitWoodwork,stat_accurateCross,stat_errorLeadToAGoal
13657036,home,Columbus Crew 2,Luke Pruter,Luke Pruter,luke-pruter,L. Pruter,G,54,196.0,4,M,2046456,EUR,999475200,G,54,54,False,54.0,34.0,24.0,5.0,0.0,30.0,34.0,4.0,20.0,2.0,7.0,2.0,2.0,3.0,1.0,1.0,90.0,62.0,7.2,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13657036,home,Columbus Crew 2,Quinton Elliot,Quinton Elliot,quinton-elliot,Q. Elliot,D,32,178.0,3,M,2046457,EUR,1075420800,D,32,32,False,28.0,20.0,2.0,1.0,0.0,8.0,13.0,12.0,15.0,3.0,4.0,,,,,,90.0,49.0,7.2,14.0,1,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13657036,home,Columbus Crew 2,Málcom Palacios,,palacios-malcom,M. Palacios,D,23,192.0,35,M,1493760,EUR,1081382400,D,48,48,False,45.0,35.0,14.0,6.0,0.0,27.0,33.0,8.0,12.0,7.0,4.0,,,,,,90.0,55.0,7.0,10.0,0,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
13657036,home,Columbus Crew 2,Keesean Ferdinand,,keesean-ferdinand,K. Ferdinand,D,,182.0,24,M,1002537,EUR,1061078400,D,40,40,False,47.0,43.0,5.0,2.0,0.0,36.0,39.0,7.0,8.0,4.0,2.0,,,,,,90.0,54.0,6.9,4.0,0,1.0,2.0,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,
13657036,home,Columbus Crew 2,Chris Rogers,Chris,chris-rogers,C. Rogers,D,55,,5,M,1809118,EUR,1136073600,D,55,55,False,38.0,28.0,7.0,1.0,0.0,21.0,23.0,7.0,15.0,3.0,2.0,,,,,,90.0,48.0,6.8,10.0,0,3.0,3.0,,,,2.0,,,,2.0,,,3.0,Rogers,True,1.0,,,,,,,,,,,,,
13657036,home,Columbus Crew 2,Tristan Brown,,tristan-brown,T. Brown,D,49,,19,M,1809130,EUR,1192579200,D,49,49,False,15.0,9.0,2.0,,0.0,4.0,8.0,5.0,7.0,1.0,3.0,,,,,,90.0,39.0,6.7,13.0,0,5.0,1.0,1.0,,,3.0,,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
13657036,home,Columbus Crew 2,Nicolas Rincon,Nicolas Rincon,nicolas-rincon,N. Rincon,M,30,165.0,16,M,1198496,EUR,1132876800,M,30,30,False,24.0,20.0,,,0.0,16.0,18.0,4.0,6.0,,8.0,,,,,,89.0,38.0,6.3,13.0,0,9.0,3.0,3.0,,,,1.0,1.0,5.0,5.0,,2.0,,,,,,3.0,,,,,,,,,,,
13657036,home,Columbus Crew 2,Ibrahima Sy,,ibrahima-sy,I. Sy,M,,180.0,42,M,1002470,EUR,1039996800,M,33,33,False,37.0,34.0,2.0,1.0,0.0,23.0,24.0,11.0,13.0,2.0,4.0,,,,,,90.0,49.0,6.6,8.0,1,4.0,3.0,,,,,,,2.0,,,,3.0,,,1.0,,3.0,1.0,,,,,,,,,,
13657036,home,Columbus Crew 2,Owen Presthus,,owen-presthus,O. Presthus,D,45,,20,M,1809137,EUR,1140480000,M,45,45,False,18.0,15.0,1.0,1.0,0.0,6.0,7.0,9.0,11.0,2.0,1.0,,,,,,90.0,31.0,7.6,8.0,2,2.0,3.0,,,1.0,,3.0,3.0,2.0,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,
13657036,home,Columbus Crew 2,Cristian Ortiz,Cristian Ortiz,cristian-ortiz,C. Ortiz,F,47,185.0,34,M,1821085,EUR,1177286400,F,47,47,False,15.0,13.0,,,0.0,6.0,6.0,7.0,9.0,,5.0,,,,,,79.0,26.0,7.4,5.0,2,5.0,3.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,,
