match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,length
10411402,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
10411402,,,,,90,6.0,,1,,,substitution,121732152.0,False,True,regular,,,,,,
10411402,,,,,90,6.0,,1,,,substitution,121732151.0,False,True,regular,,,,,,
10411402,,,,,90,5.0,,1,,,card,120733817.0,,True,yellow,Teun Koopmeiners,Foul,False,803033.0,Teun Koopmeiners,
10411402,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,7.0
10411402,,,,,86,,,5,,,card,120733807.0,,True,yellow,José Luis Palomino,Foul,False,79680.0,José Luis Palomino,
10411402,,3.0,1.0,,84,,,7,,,goal,168736775.0,,True,regular,,,,803033.0,Teun Koopmeiners,
10411402,,2.0,1.0,,83,,,8,,,goal,168736772.0,,False,regular,,,,555540.0,Lorenzo Pellegrini,
10411402,,,,,82,,,9,,,substitution,121732125.0,False,True,regular,,,,,,
10411402,,,,,82,,,9,,,substitution,121732124.0,False,True,regular,,,,,,
10411402,,,,,81,,,10,,,substitution,121732126.0,False,False,regular,,,,,,
10411402,,2.0,0.0,,74,,,17,,,goal,168736747.0,,True,regular,,,,82943.0,Rafael Tolói,
10411402,,,,,74,,,17,,,substitution,121732104.0,True,True,injury,,,,,,
10411402,,,,,64,,,27,,,substitution,121732086.0,False,False,regular,,,,,,
10411402,,,,,64,,,27,,,substitution,121732085.0,False,False,regular,,,,,,
10411402,,,,,64,,,27,,,substitution,121732087.0,False,False,regular,,,,,,
10411402,,,,,64,,,27,,,substitution,121732084.0,False,False,regular,,,,,,
10411402,,,,,60,,,31,,,card,120733775.0,,False,yellow,Ola Solbakken,Foul,False,920744.0,Ola Solbakken,
10411402,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
10411402,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,4.0
10411402,,1.0,0.0,,39,,,7,,,goal,168736581.0,,True,regular,,,,190437.0,Mario Pašalić,
10411402,,,,,30,,,16,,,card,120733696.0,,True,yellow,Marten de Roon,Foul,False,100389.0,Marten de Roon,
10411402,,,,,-5,,,6,,,card,120733690.0,,True,yellow,Gian Piero Gasperini,Argument,False,,,
