match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_sofascoreId,stat_blockedScoringAttempt,stat_wonTackle,stat_aerialLost,stat_totalContest,stat_lastManTackle,stat_errorLeadToAShot,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_fouls,stat_goals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_hitWoodwork
14025248,home,Nottingham Forest,John Victor,john-victor,John,G,12,197,3305,M,840103,EUR,824169600,G,13,13,False,27.0,13.0,25.0,11.0,0.0,5.0,9.0,8.0,18.0,6.0,3.0,3.0,90.0,32.0,6.5,14.0,0.00203097,28.920270658428,5.0,10.71,8.925,0.3593,0,-0.5389,0.03,-0.07,-0.17,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025248,home,Nottingham Forest,Nicolò Savona,nicolo-savona,N. Savona,D,37,192,2582,M,1010220,EUR,1048032000,D,37,37,False,39.0,22.0,13.0,3.0,0.0,12.0,18.0,10.0,21.0,1.0,,,90.0,62.0,6.4,22.0,0.0456152,63.667174667619,9.0,16.59,11.76,,1,,0.24,0.01,-0.35,,,,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0793,1.0,-0.03,,,,,,,,,,,,,,,,,,,,
14025248,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,18.0,11.0,4.0,1.0,0.0,7.0,8.0,4.0,10.0,,,,90.0,33.0,6.9,7.0,0.00082291,17.265770714401,2.0,-9.975,-3.675,,1,,-0.03,0.0,0.19,,,,,,4.0,1.0,6.0,1.0,,8.0,2.0,1.0,1.0,,1.0,0.0289,,0.02,milenkovicn_4,1.0,1.0,,,,,,,,,,,,,,,,,
14025248,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,30.0,23.0,8.0,5.0,0.0,14.0,16.0,9.0,14.0,2.0,,,90.0,50.0,7.3,9.0,0.0121945,22.567672704043,5.0,5.775,5.04,,0,,0.19,0.02,0.67,,Murillo,,,,1.0,2.0,4.0,,,8.0,1.0,1.0,3.0,1.0,,,,,murillosantiago40,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14025248,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,3,3,False,26.0,21.0,4.0,2.0,0.0,12.0,13.0,9.0,13.0,3.0,,,90.0,46.0,6.2,12.0,0.00914481,76.004015366618,12.0,40.425,16.17,,1,,-0.11,0.09,-0.4,,,,1.0,,,6.0,5.0,3.0,,,1.0,1.0,1.0,1.0,3.0,0.035,,-0.06,,,1.0,,3.0,,,1.0,1.0,1.0,0.315,,,,,,,,,
14025248,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,56.0,47.0,8.0,7.0,0.0,26.0,29.0,21.0,27.0,10.0,,,90.0,83.0,7.4,17.0,0.0397071,119.61436024029,19.0,-8.925,11.025,,0,,0.1,0.09,-0.03,,,,7.0,1.0,2.0,5.0,10.0,1.0,,2.0,1.0,3.0,4.0,,2.0,,1.0,,,,4.0,1.0,4.0,,,,2.0,,,1.0,,,,,,,,
14025248,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,18.0,15.0,1.0,1.0,0.0,9.0,10.0,6.0,8.0,2.0,,,87.0,25.0,6.9,3.0,0.0176589,5.2077105334302,1.0,3.885,3.885,,1,,0.16,0.02,-0.02,,,,,,1.0,1.0,4.0,1.0,1.0,1.0,,,3.0,,,0.0159,,-0.11,,,2.0,,,,,,,,,,,,,,,,,
14025248,home,Nottingham Forest,Omari Hutchinson,omari-hutchinson,O. Hutchinson,M,21,174,3680,M,1090963,EUR,1067385600,M,21,21,False,21.0,19.0,,,0.0,10.0,11.0,9.0,10.0,6.0,,,90.0,41.0,7.5,13.0,0.0584024,163.07404496518,15.0,69.3,33.705,,1,,-0.01,0.28,-0.17,,,,8.0,1.0,1.0,5.0,4.0,2.0,,,,,1.0,2.0,1.0,0.2956,,0.51,,,1.0,2.0,2.0,,,,1.0,1.0,0.268,,1.0,91.26019257525,5.0,,,,,
14025248,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,27.0,23.0,2.0,1.0,0.0,5.0,7.0,18.0,20.0,4.0,,,90.0,37.0,6.7,7.0,0.0393927,54.901966978683,5.0,18.375,28.035,,0,,0.28,0.12,-0.06,,,,,,,5.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,Morgangibbs27,,1.0,2.0,2.0,,,1.0,1.0,,,,,28.24868579244,1.0,True,,,,
14025248,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,7,7,False,15.0,14.0,1.0,1.0,0.0,3.0,4.0,11.0,11.0,5.0,,,89.0,27.0,6.4,7.0,0.0149427,148.28785684808,11.0,81.585,36.33,,0,,-0.02,0.21,-0.11,,,,1.0,,,4.0,2.0,1.0,,1.0,,,,2.0,1.0,,,,Calteck10,,,,4.0,,,,1.0,,,,,41.080261391573,1.0,,,,,
