match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_blockedScoringAttempt,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox
12499279,home,Juventus,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,29,29,False,18.0,13.0,8.0,3.0,0.0,12.0,15.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,90.0,26.0,7.0,6.0,0.00072971,0,0.2127,,,,,,,,,,,,,,,,,,,,,,,,,,
12499279,home,Juventus,Nicolò Savona,,,nicolo-savona,N. Savona,D,37,192,2582,M,,1010220,EUR,1048032000,D,37,37,False,50.0,46.0,1.0,,0.0,22.0,23.0,24.0,30.0,,4.0,,,,90.0,64.0,7.2,7.0,0.0151066,0,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499279,home,Juventus,Federico Gatti,Federico Gatti,,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,64.0,62.0,1.0,1.0,0.0,46.0,46.0,16.0,18.0,4.0,10.0,,,,90.0,80.0,7.6,3.0,0.00504338,0,,,7.0,1.0,2.0,3.0,,True,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12499279,home,Juventus,Bremer,,,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,68.0,64.0,1.0,1.0,0.0,45.0,48.0,19.0,20.0,4.0,4.0,,,,90.0,83.0,7.4,6.0,0.0100996,1,,,2.0,1.0,1.0,,,,3.0,1.0,8.0,,,3.0,,1.0,4.0,1.0,1.0,0.0667,,,,,,,
12499279,home,Juventus,Juan Cabal,,,juan-cabal,J. Cabal,D,32,185,4400,M,,988037,EUR,978912000,D,32,32,False,12.0,11.0,1.0,,0.0,5.0,5.0,6.0,7.0,4.0,,,,,45.0,19.0,7.0,1.0,0.0008329,1,,,5.0,,1.0,,,,,4.0,1.0,,,,1.0,,1.0,,1.0,0.0588,,,,,,,
12499279,home,Juventus,Manuel Locatelli,,,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,65.0,60.0,5.0,3.0,0.0,32.0,33.0,28.0,32.0,2.0,3.0,,,,67.0,68.0,6.8,5.0,0.0127514,0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
12499279,home,Juventus,Nicolò Fagioli,,,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,21,21,False,38.0,32.0,5.0,1.0,0.0,21.0,22.0,11.0,17.0,,1.0,,,,67.0,42.0,6.4,8.0,0.0101576,0,,1.0,,1.0,,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,
12499279,home,Juventus,Andrea Cambiaso,,,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,M,27,27,False,45.0,39.0,3.0,2.0,0.0,15.0,18.0,24.0,29.0,1.0,6.0,,,,90.0,61.0,6.8,14.0,0.0218644,0,,2.0,2.0,,1.0,1.0,,,,,2.0,1.0,,,1.0,5.0,1.0,,,,,,,,,,
12499279,home,Juventus,Kenan Yıldız,Kenan Yıldız,,yildiz-kenan,K. Yıldız,M,10,187,82614,M,KenanYıldız,1149011,EUR,1115164800,M,10,10,False,21.0,19.0,2.0,1.0,0.0,5.0,5.0,17.0,21.0,1.0,1.0,,,,90.0,40.0,6.9,9.0,0.174405,2,,5.0,1.0,,,1.0,2.0,,2.0,,4.0,1.0,,,,3.0,1.0,1.0,1.0,0.0963,3.0,1.0,,,,,
12499279,home,Juventus,Samuel Mbangula,Samuel,Mbangula,samuel-mbangula,S. Mbangula,M,7,180,4367,M,Samu,1100836,EUR,1074211200,M,51,51,False,6.0,6.0,,,0.0,4.0,4.0,2.0,3.0,1.0,1.0,,,,45.0,14.0,6.5,3.0,0.0004367,0,,1.0,3.0,,2.0,1.0,,,,,3.0,2.0,,,1.0,,,,,,,,1.0,,,,
