match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_aerialLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_penaltyConceded,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_shotOffTarget,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_goodHighClaim,stat_ownGoals
10385689,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,18.0,9.0,11.0,2.0,8.0,10.0,1.0,8.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,90.0,28.0,7.0,9.0,0.0,0.0,0.00019608,0,0.5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385689,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,52.0,42.0,6.0,2.0,17.0,19.0,29.0,41.0,,5.0,,,,,,84.0,73.0,7.5,16.0,0.0,0.0,0.28143,0,,True,1.0,8.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,
10385689,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,24.0,18.0,4.0,1.0,8.0,12.0,10.0,14.0,5.0,4.0,,,,,,90.0,36.0,6.6,8.0,0.0,0.0,0.00415021,0,,,,2.0,,1.0,2.0,3.0,,,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
10385689,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,,910046,EUR,947635200,D,4,4,False,48.0,42.0,5.0,2.0,33.0,36.0,9.0,12.0,3.0,7.0,,,,,,90.0,60.0,7.1,6.0,0.0798,0.0,0.00834348,2,,,,,,4.0,5.0,9.0,1.0,,,,,,4.0,4.0,1.0,,,4.0,2.0,1.0,,,,,,,,,,
10385689,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,38.0,26.0,5.0,2.0,17.0,22.0,10.0,17.0,5.0,2.0,,,,,,90.0,56.0,6.6,13.0,0.0,0.0,0.00390448,0,,,,1.0,1.0,2.0,4.0,3.0,2.0,,,,,,1.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,,
10385689,home,Newcastle United,Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1652,M,,866191,EUR,878169600,M,36,36,False,43.0,38.0,1.0,1.0,16.0,18.0,22.0,26.0,,5.0,,,,,,90.0,51.0,6.2,8.0,0.0,0.0,0.0435634,0,,,,1.0,,,7.0,3.0,2.0,2.0,,,,,1.0,,1.0,3.0,,,,,,1.0,1.0,,,,,,,
10385689,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,53.0,44.0,6.0,2.0,21.0,22.0,23.0,31.0,1.0,7.0,,,,,,78.0,70.0,8.9,14.0,0.0819,0.5972,0.11602,2,,,,,,,3.0,6.0,1.0,2.0,,,2.0,2.0,4.0,1.0,1.0,,,,,,,1.0,1.0,2.0,2.0,,,,,
10385689,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,36.0,31.0,4.0,2.0,9.0,11.0,22.0,27.0,2.0,3.0,,,,,,90.0,58.0,6.4,13.0,0.2382,0.0,0.0708898,3,,,,2.0,,,4.0,2.0,,,,1.0,4.0,,,,1.0,1.0,,2.0,2.0,,,2.0,1.0,,,1.0,,,,
10385689,home,Newcastle United,Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8461,M,miguel_almiron,333373,EUR,760838400,F,24,24,False,27.0,22.0,1.0,1.0,4.0,5.0,18.0,24.0,,5.0,,,,,,84.0,44.0,7.6,12.0,0.4758,0.9993,0.0454195,4,,,,2.0,,,1.0,3.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,3.0,2.0,2.0,1.0,1.0,,,,
10385689,home,Newcastle United,Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3241,M,,113956,EUR,699148800,F,9,9,False,15.0,12.0,,,2.0,2.0,10.0,13.0,,3.0,,,,,,84.0,23.0,6.9,7.0,0.4393,0.0,0.356674,3,,,1.0,,,1.0,8.0,2.0,,1.0,1.0,,3.0,3.0,,,1.0,2.0,,5.0,1.0,,,,,,,2.0,1.0,,,
10385689,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,15.0,10.0,,,,2.0,10.0,17.0,,1.0,,,,,,66.0,25.0,7.4,9.0,0.2155,0.6261,0.00757543,2,,,,4.0,,,2.0,2.0,,,,,,1.0,,,1.0,2.0,,,,,,1.0,1.0,2.0,1.0,,,,,
10385689,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,F,7,7,True,11.0,11.0,,,4.0,4.0,7.0,8.0,3.0,1.0,,,,,,24.0,19.0,6.9,2.0,0.0,0.0,0.0504825,0,,,,1.0,,3.0,2.0,4.0,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,
10385689,home,Newcastle United,Allan Saint-Maximin,,,allan-saint-maximin,A. Saint-Maximin,F,9,173,12573,M,st_maximin,347010,EUR,858124800,F,10,10,True,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,3.0,,,,,,12.0,9.0,6.7,3.0,0.0,0.0,0.00342445,0,,,,,,,1.0,3.0,,,,,,,,,,1.0,,,,,,3.0,3.0,,,,,,,
10385689,home,Newcastle United,Matt Targett,,,matt-targett,M. Targett,D,3,183,816,M,,368134,EUR,811382400,D,13,13,True,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,10.0,3.0,6.4,1.0,0.0,0.0,1.987e-05,0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
