match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_expectedGoals,player_sofascoreId,stat_challengeLost,stat_keyPass,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,captain,stat_totalCross,stat_wonContest,player_firstName,player_lastName,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goalAssist,stat_totalOffside,stat_penaltyWon,stat_accurateCross
11407445,home,Fiorentina,Pietro Terracciano,pietro-terracciano,P. Terracciano,G,1,193,1591,M,136856,EUR,636854400,G,1,1,False,29.0,13.0,19.0,3.0,10.0,11.0,3.0,18.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,90.0,35.0,6.9,16.0,0.00071146,0,0.7048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407445,home,Fiorentina,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,788,M,972886,EUR,973728000,D,65,65,False,17.0,15.0,,,6.0,6.0,9.0,11.0,,3.0,5.0,1.0,,,,45.0,27.0,6.3,3.0,0.002839,1,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0386,,,,,,,,,,,,,,,,,,,,,,,
11407445,home,Fiorentina,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,4,4,False,29.0,26.0,5.0,2.0,17.0,17.0,9.0,12.0,2.0,5.0,3.0,,,,,90.0,38.0,6.9,3.0,0.00299276,0,,,1.0,,4.0,3.0,2.0,,,,,milenkovicn_4,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11407445,home,Fiorentina,Lucas Martínez Quarta,lucas-martinez-quarta,L. M. Quarta,D,28,183,3115,M,795297,EUR,831686400,D,28,28,False,46.0,40.0,10.0,5.0,16.0,17.0,24.0,29.0,,5.0,3.0,,,,,90.0,63.0,6.8,11.0,0.0256759,0,,,4.0,,2.0,5.0,1.0,2.0,,1.0,,chinomartinezquarta96,1.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
11407445,home,Fiorentina,Cristiano Biraghi,cristiano-biraghi,C. Biraghi,D,34,184,1338,M,122848,EUR,715305600,D,3,3,False,21.0,14.0,4.0,1.0,4.0,5.0,10.0,21.0,1.0,5.0,3.0,,,,,88.0,42.0,6.6,14.0,0.0951582,1,,2.0,7.0,1.0,2.0,3.0,2.0,1.0,,4.0,0.0155,,2.0,1.0,,1.0,,,,True,5.0,1.0,,,,,,,,,,,,
11407445,home,Fiorentina,Arthur,arthur,Arthur,M,29,172,8988,M,794927,EUR,839808000,M,6,6,False,40.0,36.0,5.0,2.0,11.0,12.0,25.0,28.0,,4.0,8.0,1.0,,,,78.0,50.0,7.1,7.0,0.0490539,0,,,2.0,,,3.0,2.0,1.0,,1.0,,arthurmelo,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,
11407445,home,Fiorentina,Alfred Duncan,alfred-duncan,A. Duncan,M,32,178,572,M,232224,EUR,731721600,M,32,32,False,29.0,23.0,3.0,1.0,7.0,9.0,16.0,20.0,7.0,10.0,9.0,1.0,,,,90.0,39.0,6.8,9.0,0.0328488,1,,1.0,5.0,,1.0,1.0,1.0,,,,0.0162,,1.0,,1.0,3.0,,1.0,,,,1.0,,,1.0,,,,,,,,,
11407445,home,Fiorentina,Nicolás González,nicolas-gonzalez,N. González,M,23,180,17229,M,901325,EUR,891820800,M,10,10,False,20.0,13.0,1.0,1.0,3.0,5.0,10.0,15.0,1.0,6.0,5.0,3.0,,,,90.0,48.0,6.8,16.0,0.0836261,5,,3.0,11.0,2.0,,,,2.0,,2.0,1.1716,nicoigonzalez,1.0,1.0,2.0,6.0,,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,1.0628,,,,,
11407445,home,Fiorentina,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,,180,1099,M,36784,EUR,619747200,M,5,5,False,23.0,17.0,2.0,1.0,7.0,8.0,10.0,15.0,,4.0,6.0,2.0,,,,89.0,32.0,7.3,10.0,0.0126353,1,,,3.0,,,1.0,,2.0,,1.0,0.0923,,,1.0,2.0,1.0,,,,,,1.0,,,,,1.0,1.0,0.5308,,,,,
11407445,home,Fiorentina,Christian Kouamé,christian-kouame,C. Kouamé,F,31,185,2375,M,812946,EUR,881366400,M,99,99,False,26.0,18.0,,,4.0,4.0,14.0,22.0,2.0,6.0,4.0,3.0,,,,90.0,43.0,6.7,17.0,0.280621,1,,5.0,10.0,1.0,1.0,,,5.0,,2.0,0.0197,christianmichael.11,,1.0,2.0,3.0,,,,,,1.0,,,,,,,,1.0,,,,
