match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_dispossessed,stat_errorLeadToAShot,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside
10411574,home,Juventus,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,1,1,False,28.0,14.0,16.0,2.0,14.0,18.0,10.0,8.0,1.0,2.0,4.0,90.0,40.0,7.7,16.0,0.0,0.0,2.812e-05,0,1.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411574,home,Juventus,Danilo,danilo,Danilo,D,13,184,15175,M,Danilo,124992,EUR,679536000,D,6,6,False,59.0,54.0,5.0,3.0,38.0,42.0,17.0,3.0,1.0,,,90.0,72.0,7.2,6.0,0.0,0.0,0.0603672,0,,True,16.0,3.0,2.0,7.0,2.0,8.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,
10411574,home,Juventus,Bremer,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,52.0,43.0,11.0,5.0,37.0,39.0,13.0,7.0,,,,90.0,70.0,7.3,9.0,0.3239,0.0,0.0065497,2,,,6.0,1.0,1.0,2.0,5.0,5.0,,3.0,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,
10411574,home,Juventus,Alex Sandro,alex-sandro,A. Sandro,D,26,181,13242,M,alxsndro12,84854,EUR,664848000,D,12,12,False,64.0,55.0,8.0,3.0,33.0,36.0,28.0,9.0,2.0,,,90.0,78.0,6.8,12.0,0.0,0.0,0.00917183,0,,,22.0,1.0,,4.0,1.0,3.0,2.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,
10411574,home,Juventus,Juan Cuadrado,juan-cuadrado,J. Cuadrado,M,11,179,11319,M,cuadrado,47743,EUR,580608000,M,11,11,False,48.0,41.0,5.0,4.0,23.0,28.0,21.0,4.0,1.0,,,90.0,60.0,6.8,9.0,0.0297,0.0,0.0446983,1,,,19.0,1.0,,2.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,
10411574,home,Juventus,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,44,44,False,28.0,26.0,5.0,4.0,13.0,14.0,15.0,4.0,2.0,,,90.0,41.0,7.7,5.0,0.1656,0.4001,0.06786,1,,,14.0,,,3.0,3.0,,,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,
10411574,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,57.0,47.0,9.0,6.0,19.0,22.0,35.0,7.0,2.0,,,90.0,68.0,7.1,12.0,0.0,0.0,0.0226483,0,,,28.0,,1.0,2.0,5.0,1.0,,2.0,2.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,
10411574,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,25,25,False,43.0,33.0,6.0,2.0,15.0,19.0,24.0,6.0,,,,90.0,62.0,7.6,13.0,0.3165,0.9248,0.0113098,2,,,18.0,2.0,2.0,8.0,10.0,1.0,,1.0,4.0,,,,1.0,,6.0,3.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,
10411574,home,Juventus,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,M,17,17,False,35.0,29.0,5.0,3.0,8.0,9.0,32.0,6.0,2.0,,,90.0,52.0,8.6,12.0,0.0868,0.2074,0.426788,2,,,23.0,,,2.0,2.0,2.0,,,2.0,,,,1.0,,,,1.0,1.0,1.0,6.0,2.0,1.0,,3.0,,,2.0,1.0,3.0,1.0,
10411574,home,Juventus,Fabio Miretti,fabio-miretti,F. Miretti,M,21,179,3225,M,,1010223,EUR,1059868800,F,20,20,False,32.0,25.0,1.0,1.0,7.0,11.0,21.0,2.0,2.0,,,81.0,47.0,6.7,12.0,0.0,0.0,0.0275194,0,,,18.0,5.0,,8.0,3.0,1.0,,,,,,,,,,,1.0,,2.0,,,,,1.0,3.0,,,2.0,,,
