match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyConceded,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_hitWoodwork,captain,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_penaltyWon
12437541,home,Villarreal,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,1,1,False,24.0,13.0,16.0,5.0,0.0,12.0,15.0,1.0,9.0,2.0,2.0,10.0,2.0,1.0,1.0,1.0,3.0,1.0,90.0,39.0,7.0,11.0,0.0031087,0,-0.7657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437541,home,Villarreal,Kiko Femenía,,,kiko-femenia,K. Femenía,D,17,176,444,M,53739,EUR,665452800,D,17,17,False,26.0,25.0,1.0,1.0,0.0,19.0,20.0,6.0,6.0,1.0,1.0,2.0,,,,,,,45.0,31.0,6.7,2.0,0.00194954,0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437541,home,Villarreal,Juan Foyth,,,juan-foyth,J. Foyth,D,8,187,6465,M,873189,EUR,884563200,D,8,8,False,51.0,45.0,8.0,4.0,0.0,37.0,40.0,8.0,11.0,1.0,5.0,1.0,,,,,,,76.0,62.0,6.4,7.0,0.00229598,2,,,,,,1.0,,juanfoyth,1.0,2.0,2.0,1.0,1.0,0.1041,,,,,,,,,,,,,,,,,,,,,
12437541,home,Villarreal,Logan Costa,,,logan-costa,L. Costa,D,2,188,677,M,911853,EUR,986083200,D,2,2,False,49.0,42.0,7.0,2.0,0.0,29.0,33.0,13.0,16.0,4.0,11.0,5.0,,,,,,,90.0,62.0,6.6,7.0,0.00362724,0,,2.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12437541,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,23,23,False,32.0,29.0,2.0,1.0,0.0,15.0,17.0,15.0,17.0,7.0,8.0,4.0,1.0,,,,,,90.0,61.0,7.1,6.0,0.0820897,2,,2.0,4.0,3.0,3.0,,1.0,,2.0,1.0,,1.0,,0.1296,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12437541,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183,12582,M,593526,EUR,801705600,M,19,19,False,25.0,19.0,1.0,1.0,2.0,8.0,11.0,13.0,17.0,10.0,2.0,3.0,2.0,,,,,,90.0,53.0,9.3,15.0,0.714462,2,,4.0,13.0,6.0,4.0,3.0,3.0,nicolas_pepe19,,,,1.0,,0.6747,3.0,2.0,1.0,6.0,2.0,3.0,,1.0,,5.0,1.0,1.0,1.0,1.0,0.9655,,,,,,
12437541,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1066,M,843678,EUR,844473600,M,14,14,False,30.0,26.0,2.0,,0.0,16.0,17.0,10.0,13.0,7.0,4.0,3.0,,,,,,,90.0,52.0,6.9,9.0,0.0206944,1,,4.0,7.0,4.0,2.0,1.0,,,2.0,,2.0,,,0.0962,,,,1.0,1.0,,1.0,1.0,,,3.0,,,,,1.0,,,,,
12437541,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180,1999,M,39182,EUR,608688000,M,10,10,False,40.0,39.0,3.0,3.0,1.0,18.0,18.0,21.0,23.0,5.0,1.0,2.0,3.0,,,,,,82.0,51.0,7.3,3.0,0.0567847,0,,1.0,2.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,True,,,,
12437541,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36528,M,879694,EUR,917136000,M,18,18,False,30.0,27.0,5.0,2.0,0.0,15.0,15.0,12.0,15.0,6.0,3.0,5.0,4.0,,,,,,70.0,48.0,7.3,6.0,0.250595,3,,1.0,2.0,1.0,1.0,1.0,,p.gueye24,1.0,1.0,,,,0.1584,,,,,,,,1.0,,,1.0,1.0,,,0.1217,,,,,,
12437541,home,Villarreal,Thierno Barry,,,thierno-barry,T. Barry,F,11,195,5887,M,1395746,EUR,1035158400,F,15,15,False,13.0,10.0,,,0.0,3.0,3.0,7.0,10.0,9.0,1.0,,6.0,,,,,,71.0,30.0,7.6,9.0,0.0252628,2,,1.0,6.0,,,3.0,2.0,t.barry29,2.0,,,,,0.2981,,,,3.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,0.3707,,,,,,
