match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,player_sofascoreId,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon
12499375,home,Borussia M'gladbach,Jonas Omlin,jonas-omlin,J. Omlin,G,18,189,396,M,571622,EUR,758160000,G,1,1,False,True,49.0,38.0,20.0,9.0,0.0,36.0,40.0,2.0,9.0,1.0,9.0,6.0,1.0,1.0,7.0,1.0,90.0,62.0,7.8,11.0,0.00061345,0,-0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499375,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,,39.0,33.0,3.0,,0.0,18.0,20.0,15.0,20.0,3.0,5.0,,,,,,90.0,62.0,5.8,11.0,0.0121541,0,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12499375,home,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,D,3,3,False,,53.0,44.0,3.0,,0.0,36.0,38.0,8.0,15.0,7.0,1.0,,,,,,90.0,70.0,6.4,12.0,0.404333,0,,,3.0,6.0,6.0,1.0,,2.0,1.0,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12499375,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,,57.0,50.0,4.0,1.0,0.0,39.0,40.0,11.0,17.0,4.0,,,,,,,90.0,68.0,7.4,7.0,0.0488724,2,,,2.0,3.0,4.0,,,2.0,1.0,,,,,,2.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,0.7045,1.1204,,,,,,,,,,
12499375,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,641,M,979144,EUR,1052956800,D,20,20,False,,35.0,31.0,2.0,1.0,0.0,19.0,22.0,13.0,14.0,2.0,1.0,,,,,,89.0,61.0,7.1,7.0,0.0794789,1,,1.0,,2.0,5.0,,2.0,4.0,2.0,,1.0,,,,,1.0,,,,,1.0,,,,4.0,0.0387,,1.0,1.0,1.0,,,,,,,
12499375,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,,38.0,32.0,3.0,,0.0,26.0,30.0,7.0,9.0,1.0,2.0,,,,,,71.0,53.0,7.0,8.0,0.00853157,3,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,2.0,,3.0,0.3105,0.7127,1.0,1.0,,1.0,,,,,,
12499375,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,,47.0,39.0,4.0,3.0,0.0,22.0,26.0,17.0,21.0,5.0,3.0,,,,,,90.0,64.0,7.2,9.0,0.0387565,1,,,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,2.0,,,,5.0,0.0321,,,,1.0,,,,,,,
12499375,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,,25.0,17.0,1.0,,0.0,7.0,9.0,10.0,19.0,2.0,5.0,,,,,,89.0,37.0,6.5,12.0,0.00571504,2,,3.0,1.0,3.0,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,0.1487,,,,,2.0,1.0,,,,,
12499375,home,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,,56.0,49.0,8.0,8.0,1.0,19.0,23.0,31.0,38.0,2.0,4.0,,,,,,90.0,82.0,8.0,14.0,0.123658,0,,5.0,1.0,3.0,9.0,,2.0,6.0,3.0,,2.0,2.0,,,,,,,,1.0,3.0,,,,2.0,,,1.0,1.0,,,,,,,,
12499375,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,M,14,14,False,,22.0,19.0,2.0,1.0,0.0,3.0,4.0,17.0,21.0,1.0,3.0,,,,,,71.0,33.0,6.7,7.0,0.164494,0,,3.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
12499375,home,Borussia M'gladbach,Tim Kleindienst,tim-kleindienst,T. Kleindienst,F,11,194,2514,M,228981,EUR,809827200,F,11,11,False,,16.0,10.0,1.0,,0.0,6.0,7.0,4.0,9.0,1.0,2.0,,,,,,89.0,32.0,7.1,13.0,0.178326,4,,,4.0,13.0,4.0,4.0,1.0,1.0,,,2.0,1.0,,,2.0,,,,,4.0,,,2.0,1.0,,0.3293,0.6814,,,,2.0,1.0,,,,,
12499375,home,Borussia M'gladbach,Philipp Sander,philipp-sander,P. Sander,M,16,185,246,M,939880,EUR,888019200,M,16,16,True,,2.0,1.0,,,0.0,,,1.0,2.0,1.0,,,,,,,19.0,10.0,6.5,1.0,0.00070473,0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
12499375,home,Borussia M'gladbach,Tomáš Čvančara,tomas-cvancara,T. Čvančara,F,11,190,835,M,929163,EUR,966124800,F,31,31,True,,3.0,2.0,,,0.0,,,3.0,4.0,,,,,,,,19.0,5.0,6.7,1.0,0.0408312,0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,
12499375,home,Borussia M'gladbach,Fabio Chiarodia,fabio-chiarodia,F. Chiarodia,D,2,186,609,M,1130067,EUR,1117929600,D,2,2,True,,,,,,0.0,,,,,,,,,,,,9.0,1.0,6.4,,,0,,,,,1.0,,,1.0,1.0,,,,Fabio Chiarodia,,,,,,,,,,,,,,,,,,,,,,,,
12499375,home,Borussia M'gladbach,Stefan Lainer,stefan-lainer,S. Lainer,D,22,176,447,M,113920,EUR,714873600,D,22,22,True,,1.0,,,,0.0,,1.0,,,,,,,,,,9.0,1.0,6.1,1.0,,0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
