match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
14572708,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
14572708,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,
14572708,,,,,85,,,6,,,substitution,,125192839.0,True,True,injury,,,,,
14572708,,,,,84,,,7,,,substitution,,125192840.0,False,False,regular,,,,,
14572708,,,,,84,,,7,,,substitution,,125192828.0,False,False,regular,,,,,
14572708,,,,,81,,,10,,,substitution,,125192790.0,False,True,regular,,,,,
14572708,,,,,74,,,17,,,substitution,,125192710.0,False,False,regular,,,,,
14572708,,,,,69,,,22,,,substitution,,125192651.0,False,True,regular,,,,,
14572708,,,,,61,,,30,,,card,,124386358.0,,False,yellow,Darius Olaru,Foul,False,812808.0,Darius Olaru
14572708,,1.0,0.0,,50,,,41,,,goal,,330557460.0,,True,regular,,,,878830.0,Bruno Duarte
14572708,,,,,46,,,45,,,substitution,,125192402.0,False,False,regular,,,,,
14572708,,,,,46,,,45,,,substitution,,125192400.0,False,False,regular,,,,,
14572708,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
14572708,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,
14572708,,,,,27,,,19,,,card,,124386164.0,,True,yellow,Young-woo Seol,Argument,False,1019333.0,Young-woo Seol
14572708,,,,,27,,,19,,,card,,124386163.0,,True,red,Franklin Tebo,Professional foul last man,False,1133882.0,Franklin Tebo
