match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_goals,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,captain,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_clearanceOffLine,stat_goalAssist,stat_hitWoodwork
11407457,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,23.0,16.0,11.0,4.0,15.0,15.0,1.0,8.0,1.0,9.0,1.0,2.0,2.0,3.0,90.0,35.0,7.2,7.0,0.00055727,0,-0.4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407457,home,Cagliari,Edoardo Goldaniga,edoardo-goldaniga,E. Goldaniga,D,5,193,345,M,295133,EUR,752198400,D,3,3,False,38.0,29.0,8.0,3.0,20.0,21.0,9.0,17.0,2.0,3.0,1.0,,,,73.0,49.0,6.9,10.0,0.00326814,2,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2285,0.0828,1.0,,,,,,,,,,,,,,,,,,,,,,
11407457,home,Cagliari,Alberto Dossena,dossena-alberto,A. Dossena,D,4,195,511,M,870211,EUR,908236800,D,4,4,False,25.0,21.0,3.0,2.0,17.0,19.0,4.0,6.0,12.0,7.0,2.0,,,,90.0,47.0,8.2,5.0,0.0788077,1,,,,6.0,,,1.0,8.0,2.0,,0.5708,0.7092,1.0,3.0,6.0,1.0,1.0,2.0,1.0,4.0,3.0,,,,,,,,,,,,,,
11407457,home,Cagliari,Pantelis Hatzidiakos,hatzidiakos-pantelis,P. Hatzidiakos,D,6,185,762,M,822163,EUR,853545600,D,17,17,False,36.0,32.0,6.0,4.0,14.0,16.0,19.0,21.0,6.0,5.0,3.0,,,,90.0,50.0,7.3,7.0,0.0390896,3,,,,2.0,1.0,,2.0,1.0,,,0.3622,0.4891,,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11407457,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,M,28,28,False,32.0,21.0,5.0,1.0,8.0,11.0,14.0,23.0,2.0,2.0,1.0,,,,90.0,42.0,6.5,14.0,0.0204508,0,,,,,,,,1.0,,,,,1.0,1.0,2.0,,,,,1.0,,2.0,1.0,,,,1.0,,,,,,,,
11407457,home,Cagliari,Matteo Prati,matteo-prati,M. Prati,M,4,182,705,M,1111640,EUR,1072569600,M,16,16,False,37.0,28.0,6.0,1.0,11.0,12.0,18.0,29.0,2.0,10.0,1.0,,,,90.0,50.0,6.9,14.0,0.0519256,2,,,,,,1.0,,,1.0,,0.0618,,1.0,,2.0,1.0,,2.0,,1.0,1.0,4.0,1.0,,1.0,1.0,,,,,,,,,
11407457,home,Cagliari,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186,535,M,920391,EUR,900720000,M,29,29,False,33.0,30.0,4.0,4.0,14.0,14.0,17.0,20.0,2.0,4.0,,,,,90.0,39.0,6.8,3.0,0.0646615,0,,,,,,,,,,,,,,1.0,3.0,,,,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,
11407457,home,Cagliari,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,27,27,False,27.0,23.0,6.0,4.0,11.0,12.0,13.0,18.0,3.0,4.0,3.0,,,,88.0,42.0,7.2,8.0,0.0757308,0,,,,,,,,2.0,1.0,,,,1.0,2.0,3.0,,,,3.0,,1.0,3.0,1.0,,,,,,,,,,,,
11407457,home,Cagliari,Nicolas Viola,nicolas-viola,N. Viola,F,10,180,280,M,21608,EUR,624153600,F,10,10,False,17.0,13.0,,,5.0,6.0,12.0,24.0,4.0,3.0,1.0,,,,73.0,48.0,7.7,20.0,0.194158,3,,,,,,2.0,1.0,1.0,,,0.0847,0.3144,2.0,2.0,4.0,2.0,,,1.0,1.0,,13.0,4.0,,,5.0,2.0,2.0,True,1.0,,,,,
11407457,home,Cagliari,Zito Luvumbo,zito-luvumbo,Z. Luvumbo,F,15,171,5304,M,1000150,EUR,1015632000,F,77,77,False,14.0,11.0,2.0,1.0,3.0,4.0,9.0,13.0,2.0,3.0,,,,,77.0,34.0,6.3,14.0,0.0231209,4,,,,1.0,,1.0,1.0,,,,0.1923,0.0384,,,8.0,,,,,1.0,1.0,3.0,1.0,,2.0,2.0,7.0,,,,LuvumboZito,,,,
