match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,player_sofascoreId,stat_onTargetScoringAttempt,stat_totalClearance,stat_aerialLost,stat_fouls,stat_totalOffside,captain,stat_blockedScoringAttempt,stat_punches,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist
12052678,home,Nottingham Forest,Matt Turner,matt-turner,M. Turner,G,30,190,1516,M,833943,EUR,772416000,G,1,1,False,28.0,18.0,17.0,8.0,14.0,16.0,4.0,12.0,14.0,1.0,3.0,6.0,90.0,45.0,8.0,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12052678,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3207,M,927356,EUR,987120000,D,7,7,False,35.0,27.0,1.0,,13.0,15.0,15.0,21.0,6.0,,,,90.0,59.0,6.6,18.0,1,,,1.0,1.0,3.0,6.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,
12052678,home,Nottingham Forest,Felipe,felipe,Felipe,D,,191,771,M,242211,EUR,611280000,D,18,18,False,33.0,29.0,1.0,,21.0,22.0,8.0,11.0,4.0,,,,90.0,47.0,7.3,5.0,0,,,,,1.0,1.0,6.0,,,3.0,,3.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,
12052678,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9927,M,1199282,EUR,1025740800,D,40,40,False,37.0,29.0,13.0,5.0,12.0,12.0,17.0,25.0,1.0,,,,90.0,49.0,7.2,10.0,2,Murillo,,,,1.0,,4.0,,,,1.0,3.0,2.0,1.0,,,,1.0,1.0,murillosantiago40,1.0,2.0,,,,,,,,,,,
12052678,home,Nottingham Forest,Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,335,M,358218,EUR,808790400,D,15,15,False,27.0,22.0,,,9.0,11.0,14.0,18.0,1.0,,,,90.0,44.0,6.9,8.0,0,,,2.0,1.0,1.0,4.0,6.0,1.0,,,,3.0,3.0,1.0,2.0,1.0,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,
12052678,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,884,M,846252,EUR,880070400,M,22,22,False,42.0,37.0,2.0,1.0,17.0,19.0,20.0,23.0,7.0,,,,89.0,52.0,6.6,7.0,0,,,,,2.0,3.0,4.0,1.0,,1.0,,,,1.0,2.0,,,,1.0,,,3.0,,1.0,,True,,,,,,,
12052678,home,Nottingham Forest,Danilo,danilo,Danilo,M,8,177,5268,M,1064039,EUR,988502400,M,28,28,False,33.0,29.0,10.0,7.0,12.0,12.0,17.0,21.0,4.0,,,,89.0,44.0,6.9,8.0,0,,,,,,5.0,3.0,1.0,2.0,1.0,,3.0,2.0,1.0,,1.0,,,1.0,Danilo,,,,1.0,,,,,,,,,
12052678,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10484,M,979232,EUR,1019865600,M,21,21,False,22.0,18.0,,,3.0,4.0,16.0,20.0,2.0,,,,90.0,37.0,6.9,10.0,2,,,2.0,1.0,,4.0,3.0,1.0,1.0,2.0,,1.0,,2.0,1.0,3.0,1.0,,1.0,anthonyelanga,,,,1.0,,,2.0,,,,,,
12052678,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6989,M,865912,EUR,948931200,M,10,10,False,32.0,30.0,5.0,5.0,9.0,9.0,24.0,32.0,3.0,,,,90.0,51.0,7.0,13.0,1,,,9.0,3.0,,3.0,2.0,,,3.0,,1.0,,2.0,,4.0,1.0,,,Morgangibbs27,,,,1.0,,,1.0,,,,,,
12052678,home,Nottingham Forest,Divock Origi,divock-origi,D. Origi,F,,189,3651,M,190399,EUR,798163200,M,27,27,False,17.0,14.0,,,4.0,4.0,10.0,14.0,3.0,,,,79.0,30.0,7.3,9.0,3,,,1.0,,1.0,3.0,3.0,,1.0,3.0,1.0,,,2.0,,1.0,2.0,,,divockorigi,2.0,,,1.0,,,,,,,,,
