match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,player_firstName,stat_interceptionWon,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_challengeLost,stat_bigChanceMissed,stat_accurateCross,player_lastName,stat_punches,stat_lastManTackle,stat_errorLeadToAShot
14083119,home,Celta Vigo,Ionuț Radu,ionut-radu,I. Radu,G,13,188.0,3683,M,815202,EUR,864777600,G,13,13,False,25.0,22.0,7.0,4.0,0.0,20.0,21.0,2.0,4.0,1.0,2.0,1.0,10.0,2.0,2.0,1.0,2.0,2.0,2.0,90.0,39.0,7.4,3.0,0.00064363,-0.0001,0,-0.0966,0.04,0.0,0.26,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083119,home,Celta Vigo,Javi Rodríguez,javi-rodriguez,J. Rodríguez,D,32,178.0,597,M,1526627,EUR,1056585600,D,32,32,False,92.0,85.0,3.0,1.0,0.0,47.0,51.0,38.0,41.0,,2.0,2.0,1.0,,,,,,,75.0,99.0,6.9,8.0,0.0430367,,0,,0.2,0.18,-0.01,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083119,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187.0,207,M,1069703,EUR,981849600,D,24,24,False,109.0,100.0,6.0,1.0,0.0,85.0,87.0,15.0,22.0,2.0,3.0,4.0,9.0,,,,,,,90.0,117.0,6.7,9.0,0.0116876,,0,,0.22,0.06,-0.13,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14083119,home,Celta Vigo,Manu Fernández,manu-fernandez,M. Fernández,D,12,185.0,116,M,1630975,EUR,987984000,D,12,12,False,87.0,82.0,8.0,5.0,0.0,36.0,38.0,46.0,49.0,,5.0,2.0,4.0,1.0,,,,,,90.0,97.0,7.3,6.0,0.0327687,,0,,0.35,0.11,-0.13,,1.0,,,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083119,home,Celta Vigo,Javier Rueda,javier-rueda,J. Rueda,D,17,176.0,386,M,1008259,EUR,1020816000,M,17,17,False,60.0,50.0,4.0,3.0,1.0,10.0,12.0,40.0,48.0,,1.0,1.0,7.0,,,,,,,90.0,81.0,7.5,17.0,0.506805,,2,,0.69,0.08,-0.04,,7.0,3.0,,,,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1204,-0.23,,,,,,,,,,,,,,
14083119,home,Celta Vigo,Hugo Sotelo,hugo-sotelo,H. Sotelo,M,22,180.0,632,M,1120669,EUR,1071792000,M,22,22,False,109.0,104.0,3.0,2.0,0.0,39.0,39.0,65.0,70.0,1.0,5.0,2.0,5.0,1.0,,,,,,90.0,123.0,7.6,8.0,0.0639325,,0,,0.37,0.25,0.23,,3.0,,,4.0,1.0,1.0,,1.0,1.0,,2.0,,,,,,,Hugo Sotelo,1.0,,,,,,,,,,,,
14083119,home,Celta Vigo,Miguel Román,miguel-roman,M. Román,M,16,178.0,303,M,1398526,EUR,1040860800,M,16,16,False,61.0,53.0,8.0,5.0,0.0,18.0,20.0,35.0,41.0,,3.0,,8.0,,,,,,,70.0,73.0,6.8,12.0,0.0381016,,1,,0.19,0.18,-0.03,,5.0,4.0,,2.0,2.0,1.0,,1.0,,,1.0,1.0,,,1.0,0.0121,-0.07,Miguel Román,1.0,,,,,,,,,,,,
14083119,home,Celta Vigo,Sergio Carreira,sergio-carreira,S. Carreira,M,5,170.0,466,M,1002764,EUR,971395200,M,5,5,False,57.0,49.0,3.0,,0.0,15.0,16.0,34.0,41.0,,5.0,1.0,1.0,1.0,,,,,,90.0,87.0,7.0,16.0,0.0405235,,0,,0.17,-0.25,0.26,,5.0,5.0,,2.0,2.0,1.0,1.0,,3.0,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,
14083119,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176.0,5000,M,19356,EUR,554774400,F,10,10,False,35.0,20.0,3.0,,0.0,4.0,5.0,16.0,30.0,,1.0,,2.0,,,,,,,70.0,43.0,6.4,18.0,0.158776,,2,,0.05,-0.03,-0.02,,2.0,2.0,,,,,1.0,2.0,,,1.0,1.0,,2.0,,0.2183,-0.43,,1.0,i.aspas10,True,,,,,,,,,,
14083119,home,Celta Vigo,Pablo Durán,pablo-duran,P. Durán,F,18,176.0,741,M,1398524,EUR,990748800,F,18,18,False,13.0,13.0,1.0,1.0,0.0,3.0,3.0,10.0,10.0,,,1.0,3.0,,,,,,,62.0,20.0,6.1,4.0,0.154989,,2,,0.02,0.05,0.13,,7.0,2.0,,,,2.0,,1.0,,2.0,2.0,,,,2.0,0.0545,-0.45,Pablo Durán,,,,,,,,,,,,,
