match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_unsuccessfulTouch,stat_challengeLost,stat_blockedScoringAttempt,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
14598950,home,Wolverhampton,Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,601,M,98427,EUR,733017600,G,31,31,False,38.0,23.0,23.0,8.0,0.0,16.0,17.0,7.0,21.0,1.0,2.0,8.0,1.0,3.0,4.0,1.0,1.0,90.0,47.0,8.9,15.0,1.3377,0,0.06,-0.03,0.16,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14598950,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182,1433,M,143047,EUR,695520000,D,2,2,False,46.0,33.0,9.0,4.0,0.0,18.0,25.0,15.0,21.0,2.0,5.0,1.0,1.0,,,,,90.0,67.0,6.9,17.0,,0,0.0,-0.01,0.26,,True,1.0,3.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14598950,home,Wolverhampton,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1181,M,846308,EUR,910569600,D,4,4,False,52.0,49.0,4.0,2.0,0.0,37.0,39.0,12.0,13.0,,3.0,1.0,1.0,,,,,90.0,67.0,6.7,4.0,,0,0.1,0.05,0.37,,,,3.0,5.0,,5.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
14598950,home,Wolverhampton,Ladislav Krejčí,ladislav-krejci,L. Krejčí,D,37,191,2132,M,856250,EUR,924566400,D,37,37,False,69.0,60.0,6.0,2.0,0.0,40.0,43.0,20.0,26.0,1.0,3.0,5.0,,,,,,90.0,82.0,7.3,9.0,,1,0.32,0.15,0.28,,,,3.0,4.0,,6.0,1.0,2.0,1.0,,1.0,,1.0,1.0,2.0,-0.01,,,,,,,,,,,,,
14598950,home,Wolverhampton,Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,796,M,1013928,EUR,1032307200,D,3,3,False,45.0,39.0,4.0,3.0,0.0,17.0,21.0,22.0,24.0,1.0,4.0,7.0,,,,,,90.0,64.0,6.9,13.0,,1,-0.01,0.27,0.14,,,2.0,3.0,5.0,,,1.0,2.0,2.0,,,2.0,1.0,,,-0.12,,,2.0,1.0,1.0,,,,,,,,
14598950,home,Wolverhampton,Marshall Munetsi,marshall-munetsi,M. Munetsi,M,18,187,1924,M,894733,EUR,835401600,M,5,5,False,10.0,7.0,,,0.0,2.0,3.0,5.0,7.0,5.0,10.0,2.0,2.0,,,,,81.0,36.0,7.6,10.0,,2,0.04,0.14,0.17,,,3.0,3.0,8.0,,4.0,2.0,3.0,1.0,2.0,,4.0,2.0,1.0,1.0,0.32,,,1.0,,,1.0,1.0,1.0,,,,,
14598950,home,Wolverhampton,André,andre,André,M,7,176,9120,M,1035996,EUR,995241600,M,7,7,False,50.0,50.0,3.0,3.0,0.0,30.0,30.0,20.0,20.0,,7.0,5.0,,,,,,87.0,67.0,7.8,1.0,,1,0.17,0.13,0.48,,,,,1.0,1.0,,1.0,5.0,4.0,,2.0,,,,,-0.07,André,,2.0,2.0,1.0,,,,Andre7,,,,
14598950,home,Wolverhampton,Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,29821,M,845273,EUR,898905600,M,27,27,False,46.0,36.0,4.0,1.0,0.0,19.0,23.0,17.0,23.0,,2.0,3.0,1.0,,,,,90.0,59.0,6.7,15.0,,0,0.32,0.17,,,,2.0,,5.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,2.0,,,,2.0,1.0,,1.0,,,,,,,
14598950,home,Wolverhampton,Jhon Arias,jhon-arias,J. Arias,M,21,170,30718,M,844096,EUR,874800000,F,10,10,False,31.0,27.0,2.0,2.0,0.0,12.0,12.0,15.0,19.0,1.0,8.0,7.0,1.0,,,,,81.0,53.0,7.4,9.0,,1,0.09,0.24,-0.05,,,6.0,1.0,7.0,,,,3.0,2.0,4.0,,2.0,2.0,,3.0,0.06,,,3.0,3.0,,3.0,1.0,,jhonariasa,,,,
14598950,home,Wolverhampton,Jørgen Strand Larsen,jorgen-strand-larsen,J. S. Larsen,F,22,193,7567,M,876599,EUR,949795200,F,9,9,False,17.0,14.0,1.0,1.0,0.0,5.0,7.0,9.0,10.0,1.0,3.0,2.0,1.0,,,,,68.0,34.0,6.2,11.0,,1,-0.15,-0.16,0.13,,,,2.0,7.0,1.0,1.0,,1.0,1.0,2.0,,5.0,,,1.0,0.2,,,2.0,,,,1.0,,,,,,
14598950,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6339,M,786186,EUR,822614400,F,11,11,False,26.0,23.0,,,0.0,10.0,12.0,13.0,14.0,,4.0,1.0,2.0,,,,,68.0,41.0,6.5,7.0,,4,-0.09,0.22,-0.01,,,1.0,,2.0,,1.0,1.0,2.0,1.0,1.0,,2.0,,2.0,,-0.55,,,1.0,,2.0,,,,Hwangso,,,,
14598950,home,Wolverhampton,Rodrigo Gomes,gomes-rodrigo,R. Gomes,M,21,171,1200,M,1006073,EUR,1057536000,D,21,21,True,4.0,2.0,,,0.0,,,2.0,4.0,,,1.0,,,,,,22.0,6.0,6.5,4.0,,0,0.03,0.02,-0.01,,,1.0,1.0,3.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
14598950,home,Wolverhampton,Tolu Arokodare,tolu-arokodare,T. Arokodare,F,14,196,5766,M,987734,EUR,974937600,F,14,14,True,5.0,3.0,,,0.0,,1.0,3.0,4.0,4.0,5.0,1.0,1.0,,,,,22.0,15.0,8.0,5.0,,2,-0.05,0.05,0.3,,,,1.0,1.0,,2.0,,,,,1.0,3.0,,,,0.52,,,,,1.0,,1.0,1.0,,,,,
14598950,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,2.0,,,,,,9.0,4.0,6.7,1.0,,0,0.01,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14598950,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14899,M,1015267,EUR,981936000,M,8,8,True,3.0,2.0,,,1.0,,,2.0,3.0,,,,,,,,,9.0,6.0,6.9,2.0,,0,0.22,-0.17,0.13,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,joaogomes.01,1.0,,,
