match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_bigChanceCreated,stat_accurateCross,stat_outfielderBlock,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,player_firstName,player_lastName,stat_errorLeadToAShot
10408525,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,31.0,26.0,9.0,5.0,25.0,27.0,1.0,4.0,1.0,10.0,1.0,2.0,3.0,1.0,1.0,90.0,42.0,7.5,5.0,0.0,0.0,0.00131417,0,0.1796,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408525,home,Real Madrid,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180,15081,M,nachofdez90,69404,EUR,632620800,D,6,6,False,57.0,51.0,1.0,1.0,17.0,21.0,34.0,38.0,2.0,9.0,1.0,,,,,90.0,73.0,6.6,12.0,0.0,0.0,0.0427036,0,,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10408525,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,62.0,50.0,8.0,5.0,25.0,31.0,25.0,31.0,12.0,4.0,1.0,,,,,90.0,81.0,7.8,14.0,0.1014,0.0704,0.0178717,2,,,1.0,2.0,,,1.0,1.0,3.0,2.0,1.0,,,6.0,1.0,1.0,1.0,4.0,4.0,,,,,,,,,
10408525,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,39.0,37.0,1.0,1.0,31.0,31.0,6.0,8.0,,2.0,,,,,,90.0,42.0,6.8,2.0,0.0,0.0,0.00188304,0,,,1.0,2.0,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,
10408525,home,Real Madrid,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,6,182,191301,M,Tacklevinga,973887,EUR,1036886400,D,12,12,False,64.0,57.0,6.0,3.0,14.0,15.0,43.0,50.0,6.0,4.0,2.0,,,,,90.0,81.0,6.8,10.0,0.0,0.0,0.048116,0,,1.0,,7.0,4.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,,,2.0,2.0,1.0,,,,,,,,
10408525,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,15,15,False,63.0,56.0,2.0,,13.0,15.0,44.0,50.0,7.0,5.0,,,,,,78.0,80.0,7.7,10.0,0.0853,0.0,0.138532,4,,2.0,1.0,2.0,,,3.0,3.0,,2.0,1.0,,3.0,2.0,4.0,,,2.0,,,1.0,1.0,,,,,,
10408525,home,Real Madrid,Toni Kroos,toni-kroos,T. Kroos,M,,183,45525,M,Kroos,26502,EUR,631411200,M,8,8,False,106.0,103.0,6.0,5.0,41.0,41.0,63.0,74.0,9.0,7.0,5.0,,,,,90.0,136.0,7.7,15.0,0.0287,0.1849,0.177934,1,,9.0,,4.0,1.0,,2.0,,,1.0,1.0,,,1.0,,1.0,2.0,3.0,3.0,,1.0,,,,,,,
10408525,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,False,80.0,75.0,1.0,1.0,21.0,21.0,55.0,60.0,9.0,9.0,3.0,,,,,77.0,100.0,7.9,7.0,0.0931,0.1144,0.283744,3,,1.0,,1.0,1.0,,4.0,4.0,,1.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,,
10408525,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,F,21,21,False,40.0,35.0,,,6.0,7.0,29.0,33.0,9.0,6.0,3.0,,,,,90.0,58.0,7.3,9.0,0.1731,0.0,0.118033,2,,,,1.0,,,4.0,3.0,,2.0,,2.0,2.0,,,,1.0,3.0,2.0,,,,2.0,,,,,
10408525,home,Real Madrid,Karim Benzema,karim-benzema,K. Benzema,F,90,184,194244,M,KBenz9,3306,EUR,566870400,F,9,9,False,42.0,37.0,,,6.0,6.0,31.0,36.0,3.0,2.0,,,,,,90.0,60.0,7.2,13.0,0.1259,0.0353,0.22107,2,,,1.0,7.0,,2.0,6.0,3.0,,1.0,1.0,,3.0,,,1.0,,,,1.0,,,1.0,True,,,,
