match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_goals,captain,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_blockedScoringAttempt
13472675,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195.0,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,33.0,30.0,8.0,6.0,0.0,29.0,30.0,1.0,3.0,1.0,1.0,2.0,9.0,1.0,3.0,2.0,90.0,43.0,7.5,3.0,0.0005097,0,0.4926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472675,home,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171.0,7450,M,,311456,EUR,732931200,D,2,2,False,47.0,44.0,2.0,2.0,2.0,22.0,22.0,22.0,25.0,,2.0,1.0,1.0,1.0,,,90.0,70.0,8.3,9.0,0.199486,1,,,,4.0,1.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0465,0.1233,2.0,,,,,,,,,,,,,
13472675,home,Flamengo,Danilo,danilo,Danilo,D,13,184.0,15246,M,Danilo,124992,EUR,679536000,D,13,13,False,120.0,113.0,11.0,8.0,0.0,84.0,88.0,29.0,32.0,3.0,3.0,6.0,6.0,1.0,,,90.0,127.0,7.3,7.0,0.0112481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472675,home,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185.0,10970,M,leortiz33,869643,EUR,820627200,D,3,3,False,96.0,94.0,3.0,2.0,1.0,65.0,65.0,29.0,31.0,3.0,6.0,4.0,2.0,,,,90.0,107.0,8.4,3.0,0.209321,1,,,,,,,,,,1.0,,2.0,2.0,1.0,0.0553,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
13472675,home,Flamengo,Alex Sandro,alex-sandro,A. Sandro,D,26,181.0,13338,M,alxsndro12,84854,EUR,664848000,D,26,26,False,58.0,51.0,4.0,2.0,0.0,32.0,34.0,19.0,24.0,,4.0,1.0,5.0,1.0,,,83.0,74.0,7.2,10.0,0.104389,0,,,,,,1.0,4.0,,1.0,,,3.0,1.0,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,
13472675,home,Flamengo,Evertton Araujo,evertton,E. Araujo,M,52,185.0,4689,M,,1145106,EUR,1046390400,M,52,52,False,55.0,49.0,2.0,2.0,0.0,22.0,23.0,27.0,32.0,,1.0,1.0,4.0,1.0,,,90.0,67.0,7.7,10.0,0.144745,2,,,,,,,7.0,2.0,3.0,,2.0,,,1.0,0.0728,0.3828,1.0,,,,1.0,,2.0,1.0,,,,,,
13472675,home,Flamengo,Gerson,gerson,Gerson,M,11,185.0,29672,M,gerson_santos,611876,EUR,864086400,M,8,8,False,65.0,58.0,4.0,3.0,0.0,27.0,29.0,31.0,36.0,,7.0,1.0,6.0,1.0,,,90.0,78.0,8.3,10.0,0.599545,0,,,,,,,5.0,1.0,1.0,2.0,,3.0,2.0,,,,5.0,4.0,3.0,,,1.0,2.0,,True,,,,,
13472675,home,Flamengo,Luiz Araújo,luiz-araujo,L. Araújo,M,7,175.0,16511,M,l_araujo11ofi,840451,EUR,833673600,M,7,7,False,25.0,19.0,2.0,1.0,0.0,9.0,11.0,10.0,14.0,,4.0,1.0,1.0,,,,78.0,42.0,8.6,13.0,0.0862658,4,,,,5.0,1.0,,4.0,1.0,1.0,,3.0,2.0,2.0,,0.6196,1.0347,2.0,3.0,2.0,1.0,,,1.0,2.0,,1.0,,,,
13472675,home,Flamengo,Giorgian De Arrascaeta,giorgian-de-arrascaeta,Arrascaeta,M,10,173.0,86686,M,G10DeArrascaeta,333587,EUR,770428800,M,10,10,False,27.0,24.0,2.0,2.0,1.0,8.0,8.0,16.0,19.0,,5.0,,2.0,1.0,,,58.0,40.0,8.2,7.0,0.104981,1,,,,,,,4.0,1.0,1.0,,1.0,1.0,,1.0,0.5554,0.8549,1.0,4.0,3.0,,,,1.0,1.0,,,1.0,,,
13472675,home,Flamengo,Everton,everton,Everton,M,11,174.0,12386,M,Evertons,386198,EUR,827452800,M,11,11,False,24.0,18.0,2.0,2.0,0.0,5.0,6.0,13.0,18.0,,4.0,,3.0,,,,59.0,41.0,6.8,12.0,0.0665183,1,,Everton,,1.0,1.0,,6.0,,2.0,,,2.0,1.0,1.0,0.0958,,,5.0,2.0,1.0,,,1.0,,,,,,,
