match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_interceptionWon,stat_aerialLost,player_sofascoreId,stat_goalAssist,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wonTackle,stat_penaltyConceded,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_totalOffside,stat_dispossessed,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot,stat_penaltyWon
10408305,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,20.0,9.0,14.0,3.0,7.0,7.0,2.0,13.0,6.0,1.0,1.0,1.0,90.0,24.0,6.0,12.0,0.0,0.0,0.00021019,0,-0.5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408305,home,Rayo Vallecano,Iván Balliu,,,ivan-balliu,I. Balliu,D,20,175,688,M,152446,EUR,694224000,D,20,20,False,35.0,28.0,3.0,1.0,6.0,7.0,23.0,30.0,1.0,,,,90.0,60.0,6.7,12.0,0.0,0.0,0.0376191,0,,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10408305,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,19,19,False,38.0,31.0,6.0,3.0,17.0,18.0,14.0,20.0,3.0,,,,90.0,45.0,6.6,7.0,0.0269,0.2331,0.0138822,1,,,,1.0,1.0,4.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408305,home,Rayo Vallecano,Alejandro Catena,,,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,5,5,False,38.0,32.0,11.0,5.0,19.0,19.0,13.0,19.0,,,,,90.0,43.0,6.2,6.0,0.0,0.0,0.00610839,0,,,,3.0,2.0,4.0,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
10408305,home,Rayo Vallecano,Fran García,,,fran-garcia,F. Garcia,D,20,170,66463,M,851271,EUR,934588800,D,3,3,False,32.0,26.0,5.0,1.0,9.0,10.0,19.0,28.0,5.0,,,,90.0,51.0,6.4,10.0,0.0313,0.0,0.184816,1,,6.0,2.0,4.0,2.0,2.0,,1.0,,3.0,2.0,,1.0,,,,frangarci11,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10408305,home,Rayo Vallecano,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1066,M,843678,EUR,844473600,M,6,6,False,28.0,25.0,1.0,1.0,6.0,7.0,19.0,22.0,8.0,,,,79.0,42.0,7.5,6.0,0.1608,0.2789,0.0744125,2,,1.0,,7.0,4.0,,,2.0,2.0,3.0,3.0,,,1.0,1.0,4.0,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,
10408305,home,Rayo Vallecano,Óscar Valentín,,,oscar-valentin,Ó. Valentín,M,23,177,443,M,900008,EUR,777340800,M,23,23,False,39.0,30.0,6.0,1.0,12.0,13.0,18.0,26.0,5.0,,,,90.0,54.0,7.0,10.0,0.0201,0.0,0.0138602,1,,,,2.0,5.0,,,3.0,2.0,,,,2.0,,4.0,,,,,,1.0,2.0,,,,1.0,,,,,,,,,
10408305,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,43.0,38.0,1.0,1.0,8.0,9.0,30.0,38.0,8.0,,,,88.0,64.0,6.8,16.0,0.0938,0.1155,0.10413,3,,4.0,,11.0,5.0,1.0,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,1.0,4.0,,,,,,,
10408305,home,Rayo Vallecano,Óscar Trejo,,,oscar-trejo,Ó. Trejo,M,8,177,550,M,21949,EUR,578016000,M,8,8,False,31.0,28.0,,,5.0,6.0,23.0,27.0,3.0,,,,71.0,47.0,6.3,14.0,0.832,0.9844,0.103973,2,,2.0,,11.0,1.0,,,1.0,,3.0,2.0,,1.0,1.0,,,,,3.0,,,1.0,,1.0,1.0,2.0,,4.0,True,1.0,,,,,
10408305,home,Rayo Vallecano,Álvaro García,,,alvaro-garcia,Á. García,M,18,168,1132,M,345111,EUR,720144000,M,18,18,False,17.0,15.0,,,2.0,3.0,13.0,18.0,6.0,,,,88.0,33.0,7.2,6.0,0.1655,0.5405,0.0234212,2,,4.0,,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,
