match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelWon,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_dispossessed,player_firstName,player_lastName,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_goals
10583791,home,Al-Fayha,Vladimir Stojković,vladimir-stojkovic,V. Stojković,G,28,194.0,228,M,13691,EUR,428198400.0,G,88,88,False,13.0,12.0,7.0,6.0,9.0,9.0,3.0,4.0,5.0,1.0,3.0,3.0,90.0,20.0,7.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583791,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200.0,D,22,22,False,41.0,33.0,3.0,,15.0,17.0,18.0,26.0,4.0,,,,78.0,55.0,6.6,11.0,0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10583791,home,Al-Fayha,Sami Al-Khaibary,sami-al-khaibary,S. Al-Khaibary,D,4,185.0,15,M,893198,EUR,622080000.0,D,4,4,False,62.0,54.0,8.0,5.0,36.0,40.0,18.0,22.0,10.0,,,,90.0,76.0,7.2,8.0,0,,8.0,4.0,2.0,True,1.0,4.0,2.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10583791,home,Al-Fayha,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600.0,D,33,33,False,72.0,60.0,13.0,7.0,37.0,39.0,23.0,34.0,6.0,,,,90.0,81.0,7.1,13.0,0,1.0,,,,,,,,4.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
10583791,home,Al-Fayha,Ahmed Bamasud,ahmed-bamasud,A. Bamasud,D,18,175.0,114,M,893197,EUR,816998400.0,D,24,24,False,46.0,40.0,3.0,2.0,19.0,21.0,22.0,29.0,7.0,,,,90.0,71.0,7.2,11.0,2,4.0,3.0,2.0,1.0,,1.0,,3.0,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10583791,home,Al-Fayha,Paulinho Paula,paulinho-paula,Paulinho,M,18,173.0,1795,M,879902,EUR,852681600.0,M,18,18,False,40.0,32.0,3.0,2.0,6.0,8.0,26.0,32.0,7.0,,,,67.0,47.0,6.8,9.0,2,,4.0,2.0,1.0,,,1.0,4.0,,1.0,2.0,,,,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,
10583791,home,Al-Fayha,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176.0,231,M,870943,EUR,762307200.0,M,37,37,False,73.0,64.0,4.0,3.0,35.0,38.0,29.0,35.0,5.0,,,,90.0,86.0,7.4,12.0,2,,6.0,2.0,,,1.0,2.0,4.0,,1.0,1.0,,2.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,
10583791,home,Al-Fayha,Ali Alnemer,ali-alnemer,A. Alnemer,M,16,,2,M,923076,EUR,683078400.0,M,16,16,False,11.0,9.0,1.0,1.0,3.0,3.0,6.0,8.0,4.0,,,,54.0,16.0,6.5,4.0,0,,2.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,2.0,,Ali,Alnemer,,,,
10583791,home,Al-Fayha,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175.0,362,M,818568,EUR,782352000.0,F,27,27,False,21.0,17.0,1.0,1.0,2.0,2.0,15.0,21.0,4.0,,,,67.0,38.0,6.3,12.0,2,2.0,,,,,,,4.0,,,1.0,,2.0,,1.0,2.0,2.0,,,,,3.0,,,,1.0,1.0,1.0,
10583791,home,Al-Fayha,Panagiotis Tachtsidis,panagiotis-tachtsidis,P. Tachtsidis,M,77,193.0,275,M,32985,EUR,666576000.0,F,77,77,False,30.0,23.0,3.0,3.0,6.0,6.0,17.0,27.0,3.0,,,,90.0,50.0,7.3,17.0,3,3.0,6.0,,,,6.0,4.0,10.0,1.0,,,,2.0,,2.0,1.0,1.0,,1.0,1.0,2.0,4.0,2.0,,,,,,
