match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_wasFouled,stat_challengeLost,stat_keyPass,stat_totalCross,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAGoal,player_sofascoreId,stat_lastManTackle
14032401,home,SV Zulte Waregem,Brent Gabriel,,,gabriel-brent,B. Gabriel,G,13,190,75,M,861977,EUR,917395200,G,13,13,False,20.0,14.0,9.0,3.0,0.0,11.0,11.0,3.0,9.0,7.0,3.0,4.0,90.0,30.0,8.0,6.0,0.00064373,38.52510702898,5.0,22.686515496167,0.0,0.4632,0,0.7811,0.05,0.02,0.26,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Benoit De Jaegere,Benoit De Jaegere,,benoit-de-jaegere,B. D. Jaegere,D,45,189,17,M,2115926,EUR,1081728000,D,45,45,False,49.0,46.0,4.0,2.0,0.0,27.0,27.0,19.0,22.0,3.0,,,90.0,67.0,7.3,5.0,0.0316059,261.07100718233,34.0,174.44854063851,1.0,,0,,0.25,0.26,0.29,,2.0,1.0,4.0,4.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,23.290555853759,26.148537243984,,,,,,,,,,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Jakob Kiilerich,,,jakob-kiilerich,J. Kiilerich,D,5,190,62,M,887822,EUR,957916800,D,5,5,False,50.0,46.0,7.0,4.0,0.0,29.0,30.0,17.0,20.0,2.0,,,90.0,65.0,7.6,4.0,0.0137216,227.53760445752,23.0,104.2815063152,1.0,,0,,0.23,0.13,0.32,,1.0,3.0,1.0,5.0,,7.0,2.0,1.0,1.0,,,17.628790639017,20.290123311602,2.0,,,,,,,,,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Lukas Willen,,,willen-lukas,L. Willen,D,31,189,70,M,1145065,EUR,1051228800,D,31,31,False,40.0,34.0,3.0,2.0,0.0,15.0,18.0,19.0,22.0,2.0,,,90.0,50.0,7.2,7.0,0.0409997,301.56103601413,23.0,198.97306489803,5.0,,0,,0.22,0.29,-0.04,,3.0,4.0,5.0,4.0,,5.0,1.0,,,1.0,1.0,32.800410606704,151.68494781899,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Benoit Nyssen,,,benoit-nyssen,B. Nyssen,D,19,186,33,M,938190,EUR,874022400,M,19,19,False,44.0,38.0,8.0,7.0,0.0,20.0,22.0,18.0,22.0,4.0,,,86.0,68.0,7.1,13.0,0.0397816,76.493456389956,11.0,36.983114835513,1.0,,1,,0.27,-0.15,0.29,,2.0,,5.0,1.0,2.0,2.0,3.0,1.0,,1.0,1.0,18.815641376625,19.467018261665,,,,2.0,1.0,0.1151,-0.23,,,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Enrique Lofolomo,,,enrique-lofolomo,E. Lofolomo,M,6,185,50,M,980923,EUR,955670400,M,6,6,False,52.0,44.0,3.0,1.0,0.0,23.0,25.0,21.0,27.0,11.0,,,90.0,67.0,7.4,10.0,0.0231723,219.65619748994,24.0,54.689160155502,2.0,,0,,0.12,0.2,0.19,,,3.0,1.0,8.0,1.0,2.0,2.0,1.0,,1.0,1.0,22.99526790864,42.243851741507,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Thomas Claes,,,claes-thomas,T. Claes,M,8,181,137,M,1188173,EUR,1080259200,M,8,8,False,33.0,26.0,2.0,,0.0,6.0,8.0,20.0,25.0,3.0,,,78.0,49.0,6.7,9.0,0.0510417,198.24163204416,21.0,55.486691711076,2.0,,3,,0.19,0.29,0.18,,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,1.0,,,37.219280504606,44.666324289723,,,,2.0,,0.2609,-0.53,,2.0,1.0,1.0,2.0,0.1672,,,,,,,,,,
14032401,home,SV Zulte Waregem,Emran Soglo,Emran Soglo,,soglo-emran,E. Soglo,D,17,178,351,M,1403124,EUR,1121040000,M,17,17,False,21.0,18.0,3.0,2.0,0.0,5.0,6.0,13.0,15.0,2.0,,,86.0,42.0,7.1,9.0,0.285186,116.81794110488,14.0,52.150909288978,2.0,,0,,0.24,0.07,-0.03,,1.0,1.0,3.0,3.0,1.0,,2.0,1.0,1.0,2.0,,19.718814485177,34.337056747252,1.0,1.0,2.0,4.0,,,,,3.0,,,,,,,,,,,,,,
14032401,home,SV Zulte Waregem,Jeppe Erenbjerg,,,erenbjerg-jeppe,J. Erenbjerg,M,10,184,356,M,1035095,EUR,956966400,F,10,10,False,33.0,27.0,2.0,1.0,0.0,7.0,7.0,20.0,26.0,4.0,,,90.0,55.0,7.4,16.0,0.419449,204.89573681387,19.0,78.435643348791,4.0,,2,,0.46,0.3,0.15,,,,4.0,4.0,5.0,1.0,1.0,,,2.0,,34.535200824722,76.328991814899,1.0,,2.0,4.0,1.0,0.179,-0.46,3.0,,2.0,,1.0,,True,1.0,,,,,,,,
14032401,home,SV Zulte Waregem,Anosike Ementa,,,anosike-ementa,A. Ementa,F,18,202,313,M,1094132,EUR,1020384000,F,18,18,False,41.0,25.0,2.0,1.0,1.0,5.0,6.0,20.0,35.0,5.0,,,90.0,51.0,6.9,20.0,0.154316,169.30973502677,23.0,-1.492823872385,1.0,,1,,0.1,0.03,-0.11,,1.0,3.0,6.0,6.0,,,,,,2.0,2.0,15.138602770993,16.915213536932,3.0,2.0,2.0,,,0.032,-0.15,,,1.0,1.0,,0.0563,,,,,,,,,,
