match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,player_sofascoreId,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
13981512,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189.0,4489,M,793986,EUR,935712000,G,99,99,False,25.0,22.0,6.0,3.0,0.0,21.0,21.0,1.0,4.0,8.0,1.0,2.0,4.0,90.0,38.0,7.1,3.0,0.00024922,0.3133,0,0.7299,0.05,0.0,-0.01,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981512,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190.0,4038,M,611210,EUR,829699200,D,23,23,False,52.0,43.0,6.0,1.0,0.0,25.0,25.0,18.0,27.0,1.0,,,,85.0,78.0,7.3,13.0,0.195106,,2,,0.38,0.15,0.21,,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,0.1773,1.0,-0.27,,,,,,,,,,,,,,,,
13981512,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190.0,9220,M,848287,EUR,935107200,D,5,5,False,65.0,62.0,3.0,2.0,0.0,43.0,44.0,19.0,21.0,4.0,,,,90.0,79.0,7.2,3.0,0.00671144,,2,,0.19,0.06,-0.15,,,,3.0,6.0,5.0,11.0,,,,,1.0,3.0,2.0,,3.0,,0.095,,-0.16,,,evanndicka,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,
13981512,home,Roma,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184.0,2630,M,353130,EUR,803433600,D,22,22,False,64.0,59.0,4.0,1.0,0.0,40.0,41.0,19.0,23.0,5.0,,,,90.0,76.0,7.6,6.0,0.0172729,,1,,0.14,0.13,-0.15,,1.0,,3.0,2.0,4.0,4.0,,,,,,2.0,2.0,,1.0,,0.0478,,0.53,,,,,,,2.0,1.0,1.0,1.0,1.0,0.3113,,,,
13981512,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180.0,2880,M,893008,EUR,856137600,M,19,19,False,46.0,38.0,,,0.0,13.0,17.0,25.0,29.0,4.0,,,,90.0,75.0,6.5,18.0,0.0180269,,1,,-0.06,0.12,-0.01,,4.0,,3.0,,5.0,4.0,,5.0,3.0,,1.0,1.0,,2.0,,1.0,0.0038,,-0.04,,,,,,,1.0,,,,,,,,,
13981512,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186.0,2731,M,186855,EUR,794188800,M,4,4,False,54.0,44.0,5.0,2.0,0.0,15.0,18.0,29.0,36.0,4.0,,,,90.0,71.0,7.2,14.0,0.371778,,3,,0.55,0.27,-0.09,,1.0,,2.0,3.0,7.0,6.0,1.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,0.1173,3.0,-0.52,,,,1.0,1.0,,2.0,2.0,3.0,,,,True,,,
13981512,home,Roma,Manu Koné,manu-kone,M. Koné,M,17,186.0,6943,M,974087,EUR,990057600,M,17,17,False,58.0,51.0,2.0,1.0,0.0,17.0,21.0,34.0,37.0,7.0,,,,90.0,70.0,6.7,9.0,0.0263288,,2,,0.18,0.24,-0.16,,,,2.0,,6.0,4.0,1.0,4.0,3.0,,1.0,,1.0,,,,0.0493,,-0.1,,,,2.0,1.0,,1.0,,,,,,,,,
13981512,home,Roma,Wesley,wesley-franca,Wesley,D,43,178.0,26776,M,1134200,EUR,1062806400,M,43,43,False,41.0,31.0,2.0,,0.0,8.0,9.0,23.0,32.0,,,,,86.0,63.0,6.5,19.0,0.0265336,,3,,0.01,0.31,-0.06,,5.0,1.0,,1.0,6.0,3.0,,4.0,1.0,,,1.0,,2.0,,,0.1209,,-0.18,,,WesleyFranca03,2.0,1.0,,1.0,1.0,1.0,2.0,,0.1176,,,,
13981512,home,Roma,Matías Soulé,matias-soule,M. Soulé,F,18,182.0,12526,M,1082406,EUR,1050364800,F,18,18,False,25.0,21.0,,,0.0,2.0,3.0,19.0,22.0,3.0,,,,73.0,40.0,6.8,12.0,0.0303703,,0,,-0.03,0.37,-0.01,,4.0,,1.0,,1.0,3.0,,2.0,2.0,,,,,3.0,,1.0,,2.0,,,,matiassoule11,,,,1.0,,,,,,,,,
13981512,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177.0,117714,M,256219,EUR,753321600,F,21,21,False,39.0,26.0,4.0,2.0,1.0,4.0,5.0,22.0,34.0,4.0,,,,90.0,61.0,7.2,23.0,0.204782,,3,,-0.14,0.31,-0.07,,11.0,5.0,1.0,2.0,5.0,6.0,2.0,3.0,2.0,,1.0,,,,1.0,,0.3306,6.0,0.13,,,LaJoya,1.0,,,1.0,,,2.0,,0.7516,,1.0,,
13981512,home,Roma,Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188.0,8346,M,999231,EUR,1098144000,F,11,11,False,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,,7.0,7.0,,1.0,0.00042113,,0,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,EvanFerguson9,,,,,,,,,,,,,
13981512,home,Roma,Leon Bailey,leon-bailey,L. Bailey,M,31,178.0,7677,M,808590,EUR,871084800,F,31,31,True,14.0,11.0,,,0.0,3.0,5.0,8.0,9.0,1.0,,,,38.0,20.0,5.9,8.0,0.00923704,,0,,-0.14,-0.36,-0.01,,,,2.0,,5.0,,,3.0,,,,,,2.0,,,,1.0,,,,leonbailey,,,,,,,,,,,,,
13981512,home,Roma,Neil El Aynaoui,neil-el-aynaoui,N. El Aynaoui,M,8,186.0,16055,M,1128530,EUR,994032000,M,8,8,True,26.0,22.0,,,0.0,11.0,13.0,11.0,13.0,4.0,,,,45.0,29.0,6.5,4.0,0.0100265,,0,,0.12,0.06,-0.04,,,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,Neil,El Aynaoui,,,,,,,1.0,,,,,,,
13981512,home,Roma,Artem Dovbyk,artem-dovbyk,A. Dovbyk,F,9,189.0,13962,M,798820,EUR,866851200,F,9,9,True,5.0,4.0,,,0.0,1.0,2.0,3.0,3.0,1.0,,,,17.0,10.0,7.5,3.0,0.0334712,,1,,-0.14,0.04,0.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,,0.0707,1.0,0.56,,,tema_dovbyk,,,,,,1.0,1.0,1.0,0.4228,,,,
13981512,home,Roma,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189.0,1128,M,1384847,EUR,1041811200,D,87,87,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,,,8.0,5.0,6.3,,0.00048736,,0,,0.01,0.01,-0.17,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13981512,home,Roma,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182.0,2446,M,982778,EUR,1042848000,D,2,2,True,,,,,0.0,,,,,,,,,4.0,2.0,,1.0,,,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981512,home,Roma,Devis Vásquez,devis-vasquez,D. Vásquez,G,32,195.0,2465,M,925285,EUR,894931200,G,32,32,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981512,home,Roma,Pierluigi Gollini,pierluigi-gollini,P. Gollini,G,95,194.0,1254,M,329175,EUR,795484800,G,95,95,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981512,home,Roma,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178.0,16200,M,786259,EUR,831859200,D,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,TK21,,,,,,,,,,,,,
13981512,home,Roma,Jan Ziółkowski,jan-ziolkowski,J. Ziółkowski,D,24,194.0,3957,M,1499991,EUR,1117929600,D,24,24,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Jan Ziólkowski,,,,,,,,,,,,,,,
