match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_duelLost,stat_fouls,stat_unsuccessfulTouch,stat_dispossessed,stat_totalContest,stat_wonContest,stat_challengeLost,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_outfielderBlock,player_firstName,player_lastName,stat_punches
10411700,home,Sampdoria,Emil Audero,emil-audero,E. Audero,G,1,190.0,10668,M,318603,EUR,853545600,G,1,1,False,True,31.0,19.0,18.0,6.0,15.0,15.0,4.0,16.0,1.0,1.0,8.0,1.0,1.0,4.0,90.0,40.0,7.9,12.0,0.0,0.0,0.00114549,0,0.5802,,,,,,,,,,,,,,,,,,,,,,,,,
10411700,home,Sampdoria,Alessandro Zanoli,zanoli-alessandro,A. Zanoli,M,59,186.0,923,M,922928,EUR,970531200,D,59,59,False,,46.0,36.0,7.0,2.0,23.0,26.0,14.0,21.0,,2.0,8.0,,,,90.0,61.0,7.3,12.0,0.0473,0.0918,0.0233251,1,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10411700,home,Sampdoria,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190.0,135,M,70930,EUR,641779200,D,17,17,False,,32.0,26.0,4.0,1.0,19.0,22.0,7.0,10.0,2.0,3.0,4.0,,,,61.0,38.0,6.6,6.0,0.0,0.0,0.00156664,0,,,,,2.0,2.0,,,1.0,,2.0,4.0,2.0,,,,,,,,,,,,,
10411700,home,Sampdoria,Bruno Amione,bruno-amione,B. Amione,D,2,189.0,503,M,990050,EUR,1010016000,D,2,2,False,,52.0,39.0,7.0,3.0,23.0,31.0,16.0,21.0,6.0,10.0,8.0,,,,90.0,73.0,7.6,16.0,0.0,0.0,0.0092737,0,,,,,5.0,4.0,3.0,2.0,1.0,,5.0,6.0,1.0,2.0,,,,,,,,,,,,
10411700,home,Sampdoria,Mehdi Léris,mehdi-leris,M. Léris,M,7,186.0,1543,M,851222,EUR,895881600,M,37,37,False,,26.0,19.0,,,8.0,9.0,11.0,17.0,2.0,4.0,6.0,,,,90.0,40.0,6.8,13.0,0.1128,0.2757,0.0461728,2,,,,2.0,2.0,,,,1.0,1.0,,4.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,
10411700,home,Sampdoria,Harry Winks,harry-winks,H. Winks,M,8,178.0,1220,M,545780,EUR,823219200,M,20,20,False,,62.0,53.0,5.0,4.0,23.0,26.0,30.0,38.0,,2.0,11.0,,,,90.0,69.0,6.9,11.0,0.0,0.0,0.0352747,0,,2.0,,,1.0,,1.0,,,1.0,1.0,4.0,1.0,,,1.0,1.0,2.0,,,,,,,,
10411700,home,Sampdoria,Tomás Rincón,tomas-rincon,T. Rincón,M,8,175.0,2735,M,46798,EUR,569030400,M,8,8,False,,65.0,54.0,7.0,4.0,16.0,20.0,38.0,47.0,3.0,10.0,7.0,,,,90.0,86.0,7.1,18.0,0.0,0.0,0.0322229,0,,2.0,,,,1.0,3.0,1.0,2.0,1.0,,6.0,3.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,
10411700,home,Sampdoria,Tommaso Augello,tommaso-augello,T. Augello,M,3,181.0,354,M,596736,EUR,778204800,M,3,3,False,,23.0,15.0,1.0,,7.0,14.0,9.0,14.0,,3.0,2.0,,,,61.0,50.0,6.7,19.0,0.0974,0.0,0.0931311,1,,5.0,1.0,,,,1.0,,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,
10411700,home,Sampdoria,Michaël Cuisance,michael-cuisance,M. Cuisance,M,10,181.0,892,M,826208,EUR,934761600,F,80,80,False,,27.0,23.0,3.0,1.0,8.0,8.0,16.0,21.0,1.0,3.0,3.0,,,,79.0,44.0,6.5,11.0,0.1169,0.0,0.108727,2,,2.0,1.0,,1.0,,2.0,1.0,,,5.0,14.0,2.0,2.0,4.0,,,3.0,2.0,1.0,,,,,,
10411700,home,Sampdoria,Abdelhamid Sabiri,abdelhamid-sabiri,A. Sabiri,M,11,186.0,4184,M,807400,EUR,849139200,F,11,11,False,,10.0,7.0,,,1.0,1.0,6.0,10.0,1.0,4.0,3.0,,,,35.0,21.0,6.7,8.0,0.0207,0.0,0.0050031,1,,1.0,,,,,,,2.0,,3.0,6.0,1.0,2.0,2.0,1.0,1.0,,1.0,,abdelhamidsabiri,,,,,
10411700,home,Sampdoria,Jesé Rodríguez,jese-rodriguez,Jesé,F,10,178.0,1129,M,110781,EUR,730684800,F,99,99,False,,10.0,8.0,1.0,1.0,2.0,2.0,6.0,8.0,,2.0,1.0,,,,61.0,20.0,6.4,5.0,0.0294,0.0,0.00527345,1,,,,,,,1.0,,1.0,,8.0,10.0,,1.0,1.0,1.0,,,,,,1.0,,,,
10411700,home,Sampdoria,Koray Günter,koray-gunter,K. Günter,D,22,185.0,217,M,138165,EUR,776995200,D,4,4,True,,45.0,37.0,3.0,,18.0,20.0,19.0,25.0,3.0,5.0,5.0,,,,55.0,53.0,7.0,8.0,0.0,0.0,0.00848692,0,,,,,2.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,
