match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_challengeLost,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_hitWoodwork
12764377,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,35.0,24.0,20.0,9.0,0.0,18.0,19.0,6.0,16.0,9.0,1.0,1.0,1.0,1.0,90.0,39.0,6.7,11.0,0.00248867,0,0.0404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764377,home,FC Twente,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,345,M,946506,EUR,990835200,D,28,28,False,49.0,38.0,7.0,3.0,0.0,23.0,29.0,17.0,23.0,5.0,,,,,90.0,75.0,7.1,13.0,0.208141,0,,,,3.0,2.0,2.0,1.0,3.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
12764377,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8858,M,1014288,EUR,989712000,D,2,2,False,74.0,59.0,10.0,,0.0,42.0,43.0,17.0,31.0,7.0,,,,,90.0,87.0,6.7,15.0,0.00954669,1,,,,,,2.0,,5.0,4.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,meeshilgerss,2.0,1.0,1.0,0.1104,,,,,,,,,,,,
12764377,home,FC Twente,Max Bruns,max-bruns,M. Bruns,D,38,186,104,M,1091627,EUR,1036540800,D,38,38,False,54.0,50.0,2.0,,0.0,28.0,31.0,22.0,23.0,5.0,,,,,90.0,66.0,6.9,4.0,0.00625869,0,,Max Bruns,,,,2.0,1.0,3.0,3.0,,,,4.0,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,
12764377,home,FC Twente,Anass Salah-Eddine,anass-salah-eddine,A. Salah-Eddine,D,2,179,6700,M,961684,EUR,1011312000,D,34,34,False,42.0,33.0,4.0,4.0,0.0,16.0,20.0,17.0,24.0,2.0,,,,,90.0,64.0,7.0,15.0,0.0395358,0,,,,2.0,,1.0,,3.0,3.0,,1.0,,3.0,3.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,
12764377,home,FC Twente,Youri Regeer,youri-regeer,Y. Regeer,M,6,177,744,M,996940,EUR,1061164800,M,8,8,False,56.0,51.0,6.0,4.0,1.0,26.0,27.0,25.0,29.0,3.0,,,,,90.0,71.0,7.4,8.0,0.404504,1,,,,,,,1.0,3.0,5.0,,2.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,,2.0,0.3609,2.0,1.0,1.0,1.0,0.3004,,,,,,,
12764377,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,422,M,798181,EUR,865209600,M,18,18,False,43.0,36.0,3.0,2.0,0.0,14.0,15.0,25.0,34.0,7.0,,,,,67.0,63.0,8.4,14.0,0.266685,3,,,,6.0,3.0,,,5.0,4.0,,4.0,1.0,1.0,,3.0,1.0,,4.0,,,,2.0,0.487,1.0,1.0,,3.0,0.8537,1.0,1.0,,,,,
12764377,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,790,M,35193,EUR,601862400,M,9,9,False,16.0,12.0,1.0,,0.0,4.0,4.0,8.0,13.0,1.0,,,,,90.0,32.0,6.6,9.0,0.0369875,1,,,,1.0,,4.0,4.0,10.0,8.0,1.0,1.0,1.0,2.0,,,,3.0,,,,1.0,5.0,0.127,3.0,,,,,,,True,,,,
12764377,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3409,M,944467,EUR,1005523200,M,14,14,False,25.0,18.0,3.0,2.0,0.0,9.0,11.0,9.0,16.0,5.0,,,,,88.0,35.0,7.1,10.0,0.0967579,3,,,,2.0,,2.0,,4.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,0.1248,,,,1.0,0.0309,,,,2.0,,,
12764377,home,FC Twente,Mitchell van Bergen,mitchell-van-bergen,M. v. Bergen,F,7,170,247,M,827662,EUR,935712000,M,7,7,False,15.0,10.0,,,0.0,3.0,3.0,10.0,16.0,4.0,,,,,67.0,29.0,6.9,10.0,0.16411,2,,,,4.0,3.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,,,,2.0,,,,,0.1124,2.0,,1.0,2.0,0.4362,,,,,1.0,,
