match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_accurateCross,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_errorLeadToAShot,player_sofascoreId
10434135,home,Konyaspor,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190,354,M,63952,EUR,589161600,G,13,13,False,True,42.0,32.0,24.0,14.0,27.0,31.0,5.0,11.0,11.0,2.0,3.0,3.0,90.0,54.0,7.5,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434135,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,,41.0,32.0,8.0,5.0,21.0,25.0,11.0,19.0,9.0,,,,90.0,73.0,7.4,19.0,0,,,3.0,1.0,2.0,4.0,9.0,2.0,1.0,6.0,2.0,4.0,1.0,1.0,3.0,,,,,,,,,,,,,
10434135,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,,56.0,50.0,6.0,4.0,43.0,46.0,7.0,10.0,5.0,,,,90.0,64.0,7.5,6.0,0,,,,,1.0,1.0,4.0,,,3.0,,3.0,2.0,,,1.0,1.0,,,,,,,,,,,
10434135,home,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,683,M,156400,EUR,710553600,D,15,15,False,,39.0,37.0,3.0,3.0,30.0,31.0,7.0,8.0,2.0,,,,90.0,47.0,7.1,3.0,0,,,,2.0,,4.0,1.0,,1.0,4.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
10434135,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,256,M,224112,EUR,638928000,D,12,12,False,,39.0,29.0,4.0,2.0,17.0,21.0,13.0,21.0,3.0,,,,90.0,60.0,7.2,15.0,0,,,3.0,,2.0,1.0,5.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,
10434135,home,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,591,M,851243,EUR,874627200,M,77,77,False,,9.0,7.0,,,3.0,4.0,4.0,6.0,5.0,,,,59.0,18.0,6.3,8.0,0,Konrad,Michalak,1.0,,,3.0,2.0,1.0,1.0,,,1.0,,3.0,1.0,,,1.0,,,,,,,,,,
10434135,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,84,M,847782,EUR,746841600,M,14,14,False,,18.0,16.0,1.0,1.0,14.0,16.0,2.0,2.0,5.0,,,,81.0,27.0,6.6,7.0,2,,,,,,2.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,
10434135,home,Konyaspor,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179,1349,M,795421,EUR,857779200,M,18,18,False,,63.0,57.0,11.0,10.0,41.0,45.0,16.0,19.0,5.0,,,,90.0,76.0,7.2,9.0,1,,,1.0,1.0,,4.0,3.0,1.0,,,2.0,1.0,,2.0,,2.0,,2.0,2.0,,,,,,1.0,,,
10434135,home,Konyaspor,Zymer Bytyqi,zymer-bytyqi,Z. Bytyqi,M,,176,256,M,226784,EUR,842400000,M,7,7,False,,14.0,11.0,1.0,1.0,2.0,4.0,9.0,13.0,2.0,,,,88.0,24.0,7.0,8.0,3,,,3.0,,,,1.0,,,,,,,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,
10434135,home,Konyaspor,Amar Rahmanović,amar-rahmanovic,A. Rahmanović,F,11,192,183,M,138123,EUR,768787200,F,8,8,False,,18.0,10.0,1.0,,4.0,4.0,6.0,14.0,3.0,,,,88.0,29.0,6.4,9.0,1,,,,3.0,5.0,4.0,8.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,
